iso_code,country,date,google_mobility_change_parks
ABW,Aruba,2020-02-15,12.0
ABW,Aruba,2020-02-16,4.0
ABW,Aruba,2020-02-17,16.0
ABW,Aruba,2020-02-18,8.0
ABW,Aruba,2020-02-19,3.0
ABW,Aruba,2020-02-20,0.0
ABW,Aruba,2020-02-21,9.0
ABW,Aruba,2020-02-22,-4.0
ABW,Aruba,2020-02-23,21.0
ABW,Aruba,2020-02-24,24.0
ABW,Aruba,2020-02-25,8.0
ABW,Aruba,2020-02-26,4.0
ABW,Aruba,2020-02-27,-1.0
ABW,Aruba,2020-02-28,7.0
ABW,Aruba,2020-02-29,10.0
ABW,Aruba,2020-03-01,5.0
ABW,Aruba,2020-03-02,2.0
ABW,Aruba,2020-03-03,20.0
ABW,Aruba,2020-03-04,9.0
ABW,Aruba,2020-03-05,-1.0
ABW,Aruba,2020-03-06,6.0
ABW,Aruba,2020-03-07,16.0
ABW,Aruba,2020-03-08,4.0
ABW,Aruba,2020-03-09,12.0
ABW,Aruba,2020-03-10,10.0
ABW,Aruba,2020-03-11,1.0
ABW,Aruba,2020-03-12,4.0
ABW,Aruba,2020-03-13,-4.0
ABW,Aruba,2020-03-14,-7.0
ABW,Aruba,2020-03-15,-6.0
ABW,Aruba,2020-03-16,-5.0
ABW,Aruba,2020-03-17,-18.0
ABW,Aruba,2020-03-18,-24.0
ABW,Aruba,2020-03-19,-41.0
ABW,Aruba,2020-03-20,-41.0
ABW,Aruba,2020-03-21,-52.0
ABW,Aruba,2020-03-22,-52.0
ABW,Aruba,2020-03-23,-48.0
ABW,Aruba,2020-03-24,-49.0
ABW,Aruba,2020-03-25,-56.0
ABW,Aruba,2020-03-26,-54.0
ABW,Aruba,2020-03-27,-50.0
ABW,Aruba,2020-03-28,-50.0
ABW,Aruba,2020-03-29,-80.0
ABW,Aruba,2020-03-30,-63.0
ABW,Aruba,2020-03-31,-61.0
ABW,Aruba,2020-04-01,-62.0
ABW,Aruba,2020-04-02,-59.0
ABW,Aruba,2020-04-03,-55.0
ABW,Aruba,2020-04-04,-57.0
ABW,Aruba,2020-04-05,-51.0
ABW,Aruba,2020-04-06,-47.0
ABW,Aruba,2020-04-07,-48.0
ABW,Aruba,2020-04-08,-53.0
ABW,Aruba,2020-04-09,-48.0
ABW,Aruba,2020-04-10,-88.0
ABW,Aruba,2020-04-11,-52.0
ABW,Aruba,2020-04-12,-82.0
ABW,Aruba,2020-04-13,-69.0
ABW,Aruba,2020-04-14,-45.0
ABW,Aruba,2020-04-15,-52.0
ABW,Aruba,2020-04-16,-48.0
ABW,Aruba,2020-04-17,-44.0
ABW,Aruba,2020-04-18,-54.0
ABW,Aruba,2020-04-19,-53.0
ABW,Aruba,2020-04-20,-45.0
ABW,Aruba,2020-04-21,-47.0
ABW,Aruba,2020-04-22,-52.0
ABW,Aruba,2020-04-23,-45.0
ABW,Aruba,2020-04-24,-44.0
ABW,Aruba,2020-04-25,-44.0
ABW,Aruba,2020-04-26,-40.0
ABW,Aruba,2020-04-27,-31.0
ABW,Aruba,2020-04-28,-37.0
ABW,Aruba,2020-04-29,-42.0
ABW,Aruba,2020-04-30,-38.0
ABW,Aruba,2020-05-01,-35.0
ABW,Aruba,2020-05-02,-39.0
ABW,Aruba,2020-05-03,-35.0
ABW,Aruba,2020-05-04,-29.0
ABW,Aruba,2020-05-05,-28.0
ABW,Aruba,2020-05-06,-36.0
ABW,Aruba,2020-05-07,-35.0
ABW,Aruba,2020-05-08,-31.0
ABW,Aruba,2020-05-09,-26.0
ABW,Aruba,2020-05-10,-26.0
ABW,Aruba,2020-05-11,-23.0
ABW,Aruba,2020-05-12,-28.0
ABW,Aruba,2020-05-13,-34.0
ABW,Aruba,2020-05-14,-32.0
ABW,Aruba,2020-05-15,-29.0
ABW,Aruba,2020-05-16,-28.0
ABW,Aruba,2020-05-17,-21.0
ABW,Aruba,2020-05-18,-18.0
ABW,Aruba,2020-05-19,-26.0
ABW,Aruba,2020-05-20,-30.0
ABW,Aruba,2020-05-21,-3.0
ABW,Aruba,2020-05-22,-19.0
ABW,Aruba,2020-05-23,-20.0
ABW,Aruba,2020-05-24,-12.0
ABW,Aruba,2020-05-25,-22.0
ABW,Aruba,2020-05-26,-28.0
ABW,Aruba,2020-05-27,-28.0
ABW,Aruba,2020-05-28,-24.0
ABW,Aruba,2020-05-29,-10.0
ABW,Aruba,2020-05-30,-9.0
ABW,Aruba,2020-05-31,-9.0
ABW,Aruba,2020-06-01,-18.0
ABW,Aruba,2020-06-02,-20.0
ABW,Aruba,2020-06-03,-30.0
ABW,Aruba,2020-06-04,-23.0
ABW,Aruba,2020-06-05,-7.0
ABW,Aruba,2020-06-06,-9.0
ABW,Aruba,2020-06-07,-6.0
ABW,Aruba,2020-06-08,-17.0
ABW,Aruba,2020-06-09,-20.0
ABW,Aruba,2020-06-10,-32.0
ABW,Aruba,2020-06-11,-21.0
ABW,Aruba,2020-06-12,-8.0
ABW,Aruba,2020-06-13,-5.0
ABW,Aruba,2020-06-14,-3.0
ABW,Aruba,2020-06-15,-14.0
ABW,Aruba,2020-06-16,-20.0
