iso_code,country,date,google_mobility_change_residential
ABW,Aruba,2020-02-15,-2.0
ABW,Aruba,2020-02-16,0.0
ABW,Aruba,2020-02-17,6.0
ABW,Aruba,2020-02-18,4.0
ABW,Aruba,2020-02-19,4.0
ABW,Aruba,2020-02-20,1.0
ABW,Aruba,2020-02-21,1.0
ABW,Aruba,2020-02-22,0.0
ABW,Aruba,2020-02-23,-5.0
ABW,Aruba,2020-02-24,18.0
ABW,Aruba,2020-02-25,0.0
ABW,Aruba,2020-02-26,1.0
ABW,Aruba,2020-02-27,0.0
ABW,Aruba,2020-02-28,-3.0
ABW,Aruba,2020-02-29,0.0
ABW,Aruba,2020-03-01,0.0
ABW,Aruba,2020-03-02,1.0
ABW,Aruba,2020-03-03,0.0
ABW,Aruba,2020-03-04,1.0
ABW,Aruba,2020-03-05,0.0
ABW,Aruba,2020-03-06,-2.0
ABW,Aruba,2020-03-07,1.0
ABW,Aruba,2020-03-08,1.0
ABW,Aruba,2020-03-09,1.0
ABW,Aruba,2020-03-10,1.0
ABW,Aruba,2020-03-11,2.0
ABW,Aruba,2020-03-12,2.0
ABW,Aruba,2020-03-13,1.0
ABW,Aruba,2020-03-14,7.0
ABW,Aruba,2020-03-15,6.0
ABW,Aruba,2020-03-16,12.0
ABW,Aruba,2020-03-17,15.0
ABW,Aruba,2020-03-18,32.0
ABW,Aruba,2020-03-19,21.0
ABW,Aruba,2020-03-20,22.0
ABW,Aruba,2020-03-21,21.0
ABW,Aruba,2020-03-23,24.0
ABW,Aruba,2020-03-24,26.0
ABW,Aruba,2020-03-25,27.0
ABW,Aruba,2020-03-26,27.0
ABW,Aruba,2020-03-27,25.0
ABW,Aruba,2020-03-28,20.0
ABW,Aruba,2020-03-30,35.0
ABW,Aruba,2020-03-31,34.0
ABW,Aruba,2020-04-01,34.0
ABW,Aruba,2020-04-02,35.0
ABW,Aruba,2020-04-03,34.0
ABW,Aruba,2020-04-06,32.0
ABW,Aruba,2020-04-07,31.0
ABW,Aruba,2020-04-08,31.0
ABW,Aruba,2020-04-09,30.0
ABW,Aruba,2020-04-14,29.0
ABW,Aruba,2020-04-15,32.0
ABW,Aruba,2020-04-16,32.0
ABW,Aruba,2020-04-17,32.0
ABW,Aruba,2020-04-20,30.0
ABW,Aruba,2020-04-21,30.0
ABW,Aruba,2020-04-22,30.0
ABW,Aruba,2020-04-23,30.0
ABW,Aruba,2020-04-24,29.0
ABW,Aruba,2020-04-25,23.0
ABW,Aruba,2020-04-28,21.0
ABW,Aruba,2020-04-29,27.0
ABW,Aruba,2020-04-30,25.0
ABW,Aruba,2020-05-02,21.0
ABW,Aruba,2020-05-04,24.0
ABW,Aruba,2020-05-05,24.0
ABW,Aruba,2020-05-06,24.0
ABW,Aruba,2020-05-07,25.0
ABW,Aruba,2020-05-08,23.0
ABW,Aruba,2020-05-09,19.0
ABW,Aruba,2020-05-11,23.0
ABW,Aruba,2020-05-12,23.0
ABW,Aruba,2020-05-13,24.0
ABW,Aruba,2020-05-14,22.0
ABW,Aruba,2020-05-15,23.0
ABW,Aruba,2020-05-16,19.0
ABW,Aruba,2020-05-18,20.0
ABW,Aruba,2020-05-19,20.0
ABW,Aruba,2020-05-20,19.0
ABW,Aruba,2020-05-21,31.0
ABW,Aruba,2020-05-22,21.0
ABW,Aruba,2020-05-23,15.0
ABW,Aruba,2020-05-25,17.0
ABW,Aruba,2020-05-26,16.0
ABW,Aruba,2020-05-27,17.0
ABW,Aruba,2020-05-28,16.0
ABW,Aruba,2020-05-29,14.0
ABW,Aruba,2020-05-30,11.0
ABW,Aruba,2020-06-01,14.0
ABW,Aruba,2020-06-02,13.0
ABW,Aruba,2020-06-03,15.0
ABW,Aruba,2020-06-04,15.0
ABW,Aruba,2020-06-05,12.0
ABW,Aruba,2020-06-06,11.0
ABW,Aruba,2020-06-08,13.0
ABW,Aruba,2020-06-09,13.0
ABW,Aruba,2020-06-10,15.0
ABW,Aruba,2020-06-11,15.0
ABW,Aruba,2020-06-12,12.0
ABW,Aruba,2020-06-13,12.0
ABW,Aruba,2020-06-14,9.0
ABW,Aruba,2020-06-15,13.0
ABW,Aruba,2020-06-16,12.0
ABW,Aruba,2020-06-17,14.0
ABW,Aruba,2020-06-18,14.0
ABW,Aruba,2020-06-19,9.0
ABW,Aruba,2020-06-20,10.0
ABW,Aruba,2020-06-21,6.0
ABW,Aruba,2020-06-22,14.0
ABW,Aruba,2020-06-23,12.0
ABW,Aruba,2020-06-24,13.0
ABW,Aruba,2020-06-25,12.0
ABW,Aruba,2020-06-26,9.0
ABW,Aruba,2020-06-27,9.0
ABW,Aruba,2020-06-28,7.0
ABW,Aruba,2020-06-29,11.0
ABW,Aruba,2020-06-30,10.0
ABW,Aruba,2020-07-01,10.0
ABW,Aruba,2020-07-02,11.0
ABW,Aruba,2020-07-03,8.0
ABW,Aruba,2020-07-04,8.0
ABW,Aruba,2020-07-05,6.0
ABW,Aruba,2020-07-06,11.0
ABW,Aruba,2020-07-07,12.0
ABW,Aruba,2020-07-08,11.0
ABW,Aruba,2020-07-09,11.0
ABW,Aruba,2020-07-10,9.0
ABW,Aruba,2020-07-11,8.0
ABW,Aruba,2020-07-12,7.0
ABW,Aruba,2020-07-13,11.0
ABW,Aruba,2020-07-14,12.0
ABW,Aruba,2020-07-15,12.0
ABW,Aruba,2020-07-16,12.0
ABW,Aruba,2020-07-17,10.0
ABW,Aruba,2020-07-18,8.0
ABW,Aruba,2020-07-19,5.0
ABW,Aruba,2020-07-20,11.0
ABW,Aruba,2020-07-21,11.0
ABW,Aruba,2020-07-22,11.0
ABW,Aruba,2020-07-23,11.0
ABW,Aruba,2020-07-24,9.0
ABW,Aruba,2020-07-25,10.0
ABW,Aruba,2020-07-26,7.0
ABW,Aruba,2020-07-27,11.0
ABW,Aruba,2020-07-28,10.0
ABW,Aruba,2020-07-29,10.0
ABW,Aruba,2020-07-30,9.0
ABW,Aruba,2020-07-31,7.0
ABW,Aruba,2020-08-01,4.0
ABW,Aruba,2020-08-02,3.0
ABW,Aruba,2020-08-03,10.0
ABW,Aruba,2020-08-04,11.0
ABW,Aruba,2020-08-05,13.0
ABW,Aruba,2020-08-06,15.0
ABW,Aruba,2020-08-07,16.0
ABW,Aruba,2020-08-08,14.0
ABW,Aruba,2020-08-10,16.0
ABW,Aruba,2020-08-11,16.0
ABW,Aruba,2020-08-12,17.0
ABW,Aruba,2020-08-13,16.0
ABW,Aruba,2020-08-14,15.0
ABW,Aruba,2020-08-15,13.0
ABW,Aruba,2020-08-16,10.0
ABW,Aruba,2020-08-17,14.0
ABW,Aruba,2020-08-18,16.0
ABW,Aruba,2020-08-19,16.0
ABW,Aruba,2020-08-20,15.0
ABW,Aruba,2020-08-21,13.0
ABW,Aruba,2020-08-22,11.0
ABW,Aruba,2020-08-23,9.0
ABW,Aruba,2020-08-24,13.0
ABW,Aruba,2020-08-25,13.0
ABW,Aruba,2020-08-26,14.0
ABW,Aruba,2020-08-27,13.0
ABW,Aruba,2020-08-28,12.0
ABW,Aruba,2020-08-29,11.0
ABW,Aruba,2020-08-30,8.0
ABW,Aruba,2020-08-31,12.0
ABW,Aruba,2020-09-01,11.0
ABW,Aruba,2020-09-02,13.0
ABW,Aruba,2020-09-03,12.0
ABW,Aruba,2020-09-04,11.0
ABW,Aruba,2020-09-05,10.0
ABW,Aruba,2020-09-06,8.0
ABW,Aruba,2020-09-07,11.0
ABW,Aruba,2020-09-08,11.0
ABW,Aruba,2020-09-09,12.0
ABW,Aruba,2020-09-10,12.0
ABW,Aruba,2020-09-11,11.0
ABW,Aruba,2020-09-12,11.0
ABW,Aruba,2020-09-14,11.0
ABW,Aruba,2020-09-15,11.0
ABW,Aruba,2020-09-16,12.0
ABW,Aruba,2020-09-17,13.0
ABW,Aruba,2020-09-18,12.0
ABW,Aruba,2020-09-19,14.0
ABW,Aruba,2020-09-21,13.0
ABW,Aruba,2020-09-22,11.0
ABW,Aruba,2020-09-23,11.0
ABW,Aruba,2020-09-24,13.0
ABW,Aruba,2020-09-25,11.0
ABW,Aruba,2020-09-26,11.0
ABW,Aruba,2020-09-27,9.0
ABW,Aruba,2020-09-28,12.0
ABW,Aruba,2020-09-29,11.0
ABW,Aruba,2020-09-30,9.0
ABW,Aruba,2020-10-01,8.0
ABW,Aruba,2020-10-02,10.0
ABW,Aruba,2020-10-03,12.0
ABW,Aruba,2020-10-04,6.0
ABW,Aruba,2020-10-05,9.0
ABW,Aruba,2020-10-06,10.0
ABW,Aruba,2020-10-07,10.0
ABW,Aruba,2020-10-08,12.0
ABW,Aruba,2020-10-09,10.0
ABW,Aruba,2020-10-10,8.0
ABW,Aruba,2020-10-11,7.0
ABW,Aruba,2020-10-12,9.0
ABW,Aruba,2020-10-13,9.0
ABW,Aruba,2020-10-14,10.0
ABW,Aruba,2020-10-15,10.0
ABW,Aruba,2020-10-16,8.0
ABW,Aruba,2020-10-17,10.0
ABW,Aruba,2020-10-18,8.0
ABW,Aruba,2020-10-19,9.0
ABW,Aruba,2020-10-20,13.0
ABW,Aruba,2020-10-21,8.0
ABW,Aruba,2020-10-22,8.0
ABW,Aruba,2020-10-23,5.0
ABW,Aruba,2020-10-24,6.0
ABW,Aruba,2020-10-25,6.0
ABW,Aruba,2020-10-26,7.0
ABW,Aruba,2020-10-27,7.0
ABW,Aruba,2020-10-28,7.0
ABW,Aruba,2020-10-29,6.0
ABW,Aruba,2020-10-30,3.0
AFG,Afghanistan,2020-02-15,5.0
AFG,Afghanistan,2020-02-16,0.0
AFG,Afghanistan,2020-02-17,-1.0
AFG,Afghanistan,2020-02-18,-1.0
AFG,Afghanistan,2020-02-19,1.0
AFG,Afghanistan,2020-02-20,1.0
AFG,Afghanistan,2020-02-21,0.0
AFG,Afghanistan,2020-02-22,0.0
AFG,Afghanistan,2020-02-23,1.0
AFG,Afghanistan,2020-02-24,0.0
AFG,Afghanistan,2020-02-25,0.0
AFG,Afghanistan,2020-02-26,1.0
AFG,Afghanistan,2020-02-27,2.0
AFG,Afghanistan,2020-02-28,2.0
AFG,Afghanistan,2020-02-29,1.0
AFG,Afghanistan,2020-03-01,0.0
AFG,Afghanistan,2020-03-02,-1.0
AFG,Afghanistan,2020-03-03,0.0
AFG,Afghanistan,2020-03-04,1.0
AFG,Afghanistan,2020-03-05,1.0
AFG,Afghanistan,2020-03-06,1.0
AFG,Afghanistan,2020-03-07,1.0
AFG,Afghanistan,2020-03-08,0.0
AFG,Afghanistan,2020-03-09,6.0
AFG,Afghanistan,2020-03-10,1.0
AFG,Afghanistan,2020-03-11,1.0
AFG,Afghanistan,2020-03-12,1.0
AFG,Afghanistan,2020-03-13,0.0
AFG,Afghanistan,2020-03-14,0.0
AFG,Afghanistan,2020-03-15,0.0
AFG,Afghanistan,2020-03-16,1.0
AFG,Afghanistan,2020-03-17,0.0
AFG,Afghanistan,2020-03-18,1.0
AFG,Afghanistan,2020-03-19,2.0
AFG,Afghanistan,2020-03-20,1.0
AFG,Afghanistan,2020-03-21,6.0
AFG,Afghanistan,2020-03-22,1.0
AFG,Afghanistan,2020-03-23,2.0
AFG,Afghanistan,2020-03-24,3.0
AFG,Afghanistan,2020-03-25,6.0
AFG,Afghanistan,2020-03-26,7.0
AFG,Afghanistan,2020-03-27,5.0
AFG,Afghanistan,2020-03-28,11.0
AFG,Afghanistan,2020-03-29,10.0
AFG,Afghanistan,2020-03-30,11.0
AFG,Afghanistan,2020-03-31,12.0
AFG,Afghanistan,2020-04-01,11.0
AFG,Afghanistan,2020-04-02,13.0
AFG,Afghanistan,2020-04-03,6.0
AFG,Afghanistan,2020-04-04,10.0
AFG,Afghanistan,2020-04-05,12.0
AFG,Afghanistan,2020-04-06,11.0
AFG,Afghanistan,2020-04-07,10.0
AFG,Afghanistan,2020-04-08,14.0
AFG,Afghanistan,2020-04-09,17.0
AFG,Afghanistan,2020-04-10,11.0
