iso_code,country,date,google_mobility_change_retail_and_recreation
ABW,Aruba,2020-02-15,2.0
ABW,Aruba,2020-02-16,-1.0
ABW,Aruba,2020-02-17,-1.0
ABW,Aruba,2020-02-18,-2.0
ABW,Aruba,2020-02-19,1.0
ABW,Aruba,2020-02-20,4.0
ABW,Aruba,2020-02-21,7.0
ABW,Aruba,2020-02-22,-2.0
ABW,Aruba,2020-02-23,14.0
ABW,Aruba,2020-02-24,-23.0
ABW,Aruba,2020-02-25,6.0
ABW,Aruba,2020-02-26,-1.0
ABW,Aruba,2020-02-27,-1.0
ABW,Aruba,2020-02-28,7.0
ABW,Aruba,2020-02-29,5.0
ABW,Aruba,2020-03-01,8.0
ABW,Aruba,2020-03-02,1.0
ABW,Aruba,2020-03-03,5.0
ABW,Aruba,2020-03-04,3.0
ABW,Aruba,2020-03-05,-1.0
ABW,Aruba,2020-03-06,3.0
ABW,Aruba,2020-03-07,3.0
ABW,Aruba,2020-03-08,2.0
ABW,Aruba,2020-03-09,-1.0
ABW,Aruba,2020-03-10,-2.0
ABW,Aruba,2020-03-11,-4.0
ABW,Aruba,2020-03-12,-10.0
ABW,Aruba,2020-03-13,-10.0
ABW,Aruba,2020-03-14,-23.0
ABW,Aruba,2020-03-15,-28.0
ABW,Aruba,2020-03-16,-28.0
ABW,Aruba,2020-03-17,-38.0
ABW,Aruba,2020-03-18,-65.0
ABW,Aruba,2020-03-19,-52.0
ABW,Aruba,2020-03-20,-53.0
ABW,Aruba,2020-03-21,-62.0
ABW,Aruba,2020-03-22,-70.0
ABW,Aruba,2020-03-23,-53.0
ABW,Aruba,2020-03-24,-55.0
ABW,Aruba,2020-03-25,-57.0
ABW,Aruba,2020-03-26,-57.0
ABW,Aruba,2020-03-27,-50.0
ABW,Aruba,2020-03-28,-49.0
ABW,Aruba,2020-03-29,-88.0
ABW,Aruba,2020-03-30,-74.0
ABW,Aruba,2020-03-31,-71.0
ABW,Aruba,2020-04-01,-70.0
ABW,Aruba,2020-04-02,-70.0
ABW,Aruba,2020-04-03,-69.0
ABW,Aruba,2020-04-04,-71.0
ABW,Aruba,2020-04-05,-76.0
ABW,Aruba,2020-04-06,-66.0
ABW,Aruba,2020-04-07,-65.0
ABW,Aruba,2020-04-08,-63.0
ABW,Aruba,2020-04-09,-62.0
ABW,Aruba,2020-04-10,-96.0
ABW,Aruba,2020-04-11,-71.0
ABW,Aruba,2020-04-12,-90.0
ABW,Aruba,2020-04-13,-88.0
ABW,Aruba,2020-04-14,-61.0
ABW,Aruba,2020-04-15,-65.0
ABW,Aruba,2020-04-16,-66.0
ABW,Aruba,2020-04-17,-66.0
ABW,Aruba,2020-04-18,-73.0
ABW,Aruba,2020-04-19,-77.0
ABW,Aruba,2020-04-20,-66.0
ABW,Aruba,2020-04-21,-68.0
ABW,Aruba,2020-04-22,-65.0
ABW,Aruba,2020-04-23,-64.0
ABW,Aruba,2020-04-24,-61.0
ABW,Aruba,2020-04-25,-64.0
ABW,Aruba,2020-04-26,-71.0
ABW,Aruba,2020-04-27,-77.0
ABW,Aruba,2020-04-28,-54.0
ABW,Aruba,2020-04-29,-54.0
ABW,Aruba,2020-04-30,-51.0
ABW,Aruba,2020-05-01,-75.0
ABW,Aruba,2020-05-02,-56.0
ABW,Aruba,2020-05-03,-65.0
ABW,Aruba,2020-05-04,-46.0
ABW,Aruba,2020-05-05,-47.0
ABW,Aruba,2020-05-06,-47.0
ABW,Aruba,2020-05-07,-49.0
ABW,Aruba,2020-05-08,-46.0
ABW,Aruba,2020-05-09,-47.0
ABW,Aruba,2020-05-10,-61.0
ABW,Aruba,2020-05-11,-50.0
ABW,Aruba,2020-05-12,-50.0
ABW,Aruba,2020-05-13,-51.0
ABW,Aruba,2020-05-14,-51.0
ABW,Aruba,2020-05-15,-51.0
ABW,Aruba,2020-05-16,-54.0
ABW,Aruba,2020-05-17,-61.0
ABW,Aruba,2020-05-18,-46.0
ABW,Aruba,2020-05-19,-46.0
ABW,Aruba,2020-05-20,-37.0
ABW,Aruba,2020-05-21,-62.0
ABW,Aruba,2020-05-22,-36.0
ABW,Aruba,2020-05-23,-43.0
ABW,Aruba,2020-05-24,-52.0
ABW,Aruba,2020-05-25,-33.0
ABW,Aruba,2020-05-26,-35.0
ABW,Aruba,2020-05-27,-34.0
ABW,Aruba,2020-05-28,-34.0
ABW,Aruba,2020-05-29,-28.0
ABW,Aruba,2020-05-30,-29.0
ABW,Aruba,2020-05-31,-40.0
ABW,Aruba,2020-06-01,-26.0
ABW,Aruba,2020-06-02,-30.0
ABW,Aruba,2020-06-03,-31.0
ABW,Aruba,2020-06-04,-32.0
ABW,Aruba,2020-06-05,-26.0
ABW,Aruba,2020-06-06,-28.0
ABW,Aruba,2020-06-07,-38.0
ABW,Aruba,2020-06-08,-31.0
ABW,Aruba,2020-06-09,-33.0
ABW,Aruba,2020-06-10,-32.0
ABW,Aruba,2020-06-11,-34.0
ABW,Aruba,2020-06-12,-25.0
ABW,Aruba,2020-06-13,-31.0
ABW,Aruba,2020-06-14,-36.0
ABW,Aruba,2020-06-15,-33.0
ABW,Aruba,2020-06-16,-33.0
ABW,Aruba,2020-06-17,-32.0
ABW,Aruba,2020-06-18,-34.0
ABW,Aruba,2020-06-19,-24.0
ABW,Aruba,2020-06-20,-25.0
ABW,Aruba,2020-06-21,-35.0
ABW,Aruba,2020-06-22,-35.0
ABW,Aruba,2020-06-23,-28.0
ABW,Aruba,2020-06-24,-27.0
ABW,Aruba,2020-06-25,-26.0
ABW,Aruba,2020-06-26,-15.0
ABW,Aruba,2020-06-27,-21.0
ABW,Aruba,2020-06-28,-26.0
ABW,Aruba,2020-06-29,-21.0
ABW,Aruba,2020-06-30,-18.0
ABW,Aruba,2020-07-01,-18.0
ABW,Aruba,2020-07-02,-22.0
ABW,Aruba,2020-07-03,-14.0
ABW,Aruba,2020-07-04,-21.0
ABW,Aruba,2020-07-05,-24.0
ABW,Aruba,2020-07-06,-22.0
ABW,Aruba,2020-07-07,-26.0
ABW,Aruba,2020-07-08,-22.0
ABW,Aruba,2020-07-09,-24.0
ABW,Aruba,2020-07-10,-17.0
ABW,Aruba,2020-07-11,-23.0
ABW,Aruba,2020-07-12,-30.0
ABW,Aruba,2020-07-13,-25.0
ABW,Aruba,2020-07-14,-26.0
ABW,Aruba,2020-07-15,-23.0
ABW,Aruba,2020-07-16,-25.0
ABW,Aruba,2020-07-17,-18.0
ABW,Aruba,2020-07-18,-22.0
ABW,Aruba,2020-07-19,-24.0
ABW,Aruba,2020-07-20,-22.0
ABW,Aruba,2020-07-21,-22.0
ABW,Aruba,2020-07-22,-21.0
ABW,Aruba,2020-07-23,-19.0
ABW,Aruba,2020-07-24,-13.0
ABW,Aruba,2020-07-25,-26.0
ABW,Aruba,2020-07-26,-29.0
ABW,Aruba,2020-07-27,-15.0
ABW,Aruba,2020-07-28,-15.0
ABW,Aruba,2020-07-29,-16.0
ABW,Aruba,2020-07-30,-17.0
ABW,Aruba,2020-07-31,-10.0
ABW,Aruba,2020-08-01,-12.0
ABW,Aruba,2020-08-02,-17.0
ABW,Aruba,2020-08-03,-13.0
ABW,Aruba,2020-08-04,-19.0
ABW,Aruba,2020-08-05,-25.0
ABW,Aruba,2020-08-06,-32.0
ABW,Aruba,2020-08-07,-35.0
ABW,Aruba,2020-08-08,-41.0
ABW,Aruba,2020-08-09,-45.0
ABW,Aruba,2020-08-10,-33.0
ABW,Aruba,2020-08-11,-33.0
ABW,Aruba,2020-08-12,-35.0
ABW,Aruba,2020-08-13,-35.0
ABW,Aruba,2020-08-14,-33.0
ABW,Aruba,2020-08-15,-35.0
ABW,Aruba,2020-08-16,-41.0
ABW,Aruba,2020-09-11,-22.0
ABW,Aruba,2020-09-12,-28.0
ABW,Aruba,2020-09-13,-30.0
ABW,Aruba,2020-09-14,-25.0
ABW,Aruba,2020-09-15,-25.0
ABW,Aruba,2020-09-16,-28.0
ABW,Aruba,2020-09-17,-32.0
ABW,Aruba,2020-09-18,-26.0
ABW,Aruba,2020-09-19,-34.0
ABW,Aruba,2020-09-20,-37.0
ABW,Aruba,2020-09-21,-27.0
ABW,Aruba,2020-09-22,-29.0
ABW,Aruba,2020-09-23,-29.0
ABW,Aruba,2020-09-24,-30.0
ABW,Aruba,2020-09-25,-23.0
ABW,Aruba,2020-09-26,-24.0
ABW,Aruba,2020-09-27,-31.0
ABW,Aruba,2020-09-28,-24.0
ABW,Aruba,2020-09-29,-24.0
ABW,Aruba,2020-09-30,-21.0
ABW,Aruba,2020-10-01,-20.0
ABW,Aruba,2020-10-02,-18.0
ABW,Aruba,2020-10-03,-31.0
ABW,Aruba,2020-10-04,-25.0
ABW,Aruba,2020-10-05,-19.0
ABW,Aruba,2020-10-06,-21.0
ABW,Aruba,2020-10-07,-21.0
ABW,Aruba,2020-10-08,-24.0
ABW,Aruba,2020-10-09,-20.0
ABW,Aruba,2020-10-10,-23.0
ABW,Aruba,2020-10-11,-26.0
ABW,Aruba,2020-10-12,-23.0
ABW,Aruba,2020-10-13,-23.0
ABW,Aruba,2020-10-14,-24.0
ABW,Aruba,2020-10-15,-26.0
ABW,Aruba,2020-10-16,-21.0
ABW,Aruba,2020-10-17,-24.0
ABW,Aruba,2020-10-18,-28.0
ABW,Aruba,2020-10-19,-25.0
ABW,Aruba,2020-10-20,-37.0
ABW,Aruba,2020-10-21,-22.0
ABW,Aruba,2020-10-22,-21.0
ABW,Aruba,2020-10-23,-14.0
