country,date,jhu-cases
AFG,2020-01-22,0
AFG,2020-01-23,0
AFG,2020-01-24,0
AFG,2020-01-25,0
AFG,2020-01-26,0
AFG,2020-01-27,0
AFG,2020-01-28,0
AFG,2020-01-29,0
AFG,2020-01-30,0
AFG,2020-01-31,0
AFG,2020-02-01,0
AFG,2020-02-02,0
AFG,2020-02-03,0
AFG,2020-02-04,0
AFG,2020-02-05,0
AFG,2020-02-06,0
AFG,2020-02-07,0
AFG,2020-02-08,0
AFG,2020-02-09,0
AFG,2020-02-10,0
AFG,2020-02-11,0
AFG,2020-02-12,0
AFG,2020-02-13,0
AFG,2020-02-14,0
AFG,2020-02-15,0
AFG,2020-02-16,0
AFG,2020-02-17,0
AFG,2020-02-18,0
AFG,2020-02-19,0
AFG,2020-02-20,0
AFG,2020-02-21,0
AFG,2020-02-22,0
AFG,2020-02-23,0
AFG,2020-02-24,1
AFG,2020-02-25,1
AFG,2020-02-26,1
AFG,2020-02-27,1
AFG,2020-02-28,1
AFG,2020-02-29,1
AFG,2020-03-01,1
AFG,2020-03-02,1
AFG,2020-03-03,1
AFG,2020-03-04,1
AFG,2020-03-05,1
AFG,2020-03-06,1
AFG,2020-03-07,1
AFG,2020-03-08,4
AFG,2020-03-09,4
AFG,2020-03-10,5
AFG,2020-03-11,7
AFG,2020-03-12,7
AFG,2020-03-13,7
AFG,2020-03-14,11
AFG,2020-03-15,16
AFG,2020-03-16,21
AFG,2020-03-17,22
AFG,2020-03-18,22
AFG,2020-03-19,22
AFG,2020-03-20,24
AFG,2020-03-21,24
AFG,2020-03-22,40
AFG,2020-03-23,40
AFG,2020-03-24,74
AFG,2020-03-25,84
AFG,2020-03-26,94
AFG,2020-03-27,110
AFG,2020-03-28,110
AFG,2020-03-29,120
AFG,2020-03-30,170
AFG,2020-03-31,174
AFG,2020-04-01,237
AFG,2020-04-02,273
AFG,2020-04-03,281
AFG,2020-04-04,299
AFG,2020-04-05,349
AFG,2020-04-06,367
AFG,2020-04-07,423
AFG,2020-04-08,444
AFG,2020-04-09,484
AFG,2020-04-10,521
AFG,2020-04-11,555
AFG,2020-04-12,607
AFG,2020-04-13,665
AFG,2020-04-14,714
AFG,2020-04-15,784
AFG,2020-04-16,840
AFG,2020-04-17,906
AFG,2020-04-18,933
AFG,2020-04-19,996
AFG,2020-04-20,1026
AFG,2020-04-21,1092
AFG,2020-04-22,1176
AFG,2020-04-23,1279
AFG,2020-04-24,1351
AFG,2020-04-25,1463
AFG,2020-04-26,1531
AFG,2020-04-27,1703
AFG,2020-04-28,1828
AFG,2020-04-29,1939
AFG,2020-04-30,2171
AFG,2020-05-01,2335
AFG,2020-05-02,2469
AFG,2020-05-03,2704
AFG,2020-05-04,2894
AFG,2020-05-05,3224
AFG,2020-05-06,3392
AFG,2020-05-07,3563
AFG,2020-05-08,3778
AFG,2020-05-09,4033
AFG,2020-05-10,4402
AFG,2020-05-11,4687
AFG,2020-05-12,4963
AFG,2020-05-13,5226
AFG,2020-05-14,5639
AFG,2020-05-15,6053
AFG,2020-05-16,6402
AFG,2020-05-17,6664
AFG,2020-05-18,7072
AFG,2020-05-19,7653
AFG,2020-05-20,8145
AFG,2020-05-21,8676
AFG,2020-05-22,9216
AFG,2020-05-23,9998
AFG,2020-05-24,10582
AFG,2020-05-25,11173
AFG,2020-05-26,11831
AFG,2020-05-27,12456
AFG,2020-05-28,13036
AFG,2020-05-29,13659
AFG,2020-05-30,14525
AFG,2020-05-31,15205
AFG,2020-06-01,15750
AFG,2020-06-02,16509
AFG,2020-06-03,17267
AFG,2020-06-04,18054
AFG,2020-06-05,18969
AFG,2020-06-06,19551
AFG,2020-06-07,20342
AFG,2020-06-08,20917
AFG,2020-06-09,21459
AFG,2020-06-10,22142
AFG,2020-06-11,22890
AFG,2020-06-12,23546
AFG,2020-06-13,24102
AFG,2020-06-14,24766
AFG,2020-06-15,25527
AFG,2020-06-16,26310
AFG,2020-06-17,26874
AFG,2020-06-18,27532
AFG,2020-06-19,27878
AFG,2020-06-20,28424
AFG,2020-06-21,28833
AFG,2020-06-22,29157
AFG,2020-06-23,29481
AFG,2020-06-24,29640
AFG,2020-06-25,30175
AFG,2020-06-26,30451
AFG,2020-06-27,30616
AFG,2020-06-28,30967
AFG,2020-06-29,31238
AFG,2020-06-30,31517
AFG,2020-07-01,31836
AFG,2020-07-02,32022
AFG,2020-07-03,32324
AFG,2020-07-04,32672
AFG,2020-07-05,32951
AFG,2020-07-06,33190
AFG,2020-07-07,33384
AFG,2020-07-08,33594
AFG,2020-07-09,33908
AFG,2020-07-10,34194
AFG,2020-07-11,34366
AFG,2020-07-12,34451
AFG,2020-07-13,34455
AFG,2020-07-14,34740
AFG,2020-07-15,34994
AFG,2020-07-16,35070
AFG,2020-07-17,35229
AFG,2020-07-18,35301
AFG,2020-07-19,35475
AFG,2020-07-20,35526
AFG,2020-07-21,35615
AFG,2020-07-22,35727
AFG,2020-07-23,35928
AFG,2020-07-24,35981
AFG,2020-07-25,36036
AGO,2020-01-22,0
AGO,2020-01-23,0
AGO,2020-01-24,0
AGO,2020-01-25,0
AGO,2020-01-26,0
AGO,2020-01-27,0
AGO,2020-01-28,0
AGO,2020-01-29,0
AGO,2020-01-30,0
AGO,2020-01-31,0
AGO,2020-02-01,0
AGO,2020-02-02,0
AGO,2020-02-03,0
AGO,2020-02-04,0
AGO,2020-02-05,0
AGO,2020-02-06,0
AGO,2020-02-07,0
AGO,2020-02-08,0
AGO,2020-02-09,0
AGO,2020-02-10,0
AGO,2020-02-11,0
AGO,2020-02-12,0
AGO,2020-02-13,0
AGO,2020-02-14,0
AGO,2020-02-15,0
AGO,2020-02-16,0
AGO,2020-02-17,0
AGO,2020-02-18,0
AGO,2020-02-19,0
AGO,2020-02-20,0
AGO,2020-02-21,0
AGO,2020-02-22,0
AGO,2020-02-23,0
AGO,2020-02-24,0
AGO,2020-02-25,0
AGO,2020-02-26,0
AGO,2020-02-27,0
AGO,2020-02-28,0
AGO,2020-02-29,0
AGO,2020-03-01,0
AGO,2020-03-02,0
AGO,2020-03-03,0
AGO,2020-03-04,0
AGO,2020-03-05,0
AGO,2020-03-06,0
AGO,2020-03-07,0
AGO,2020-03-08,0
AGO,2020-03-09,0
AGO,2020-03-10,0
AGO,2020-03-11,0
AGO,2020-03-12,0
AGO,2020-03-13,0
AGO,2020-03-14,0
AGO,2020-03-15,0
AGO,2020-03-16,0
AGO,2020-03-17,0
AGO,2020-03-18,0
AGO,2020-03-19,0
AGO,2020-03-20,1
AGO,2020-03-21,2
AGO,2020-03-22,2
AGO,2020-03-23,3
AGO,2020-03-24,3
AGO,2020-03-25,3
AGO,2020-03-26,4
AGO,2020-03-27,4
AGO,2020-03-28,5
AGO,2020-03-29,7
AGO,2020-03-30,7
AGO,2020-03-31,7
AGO,2020-04-01,8
AGO,2020-04-02,8
AGO,2020-04-03,8
AGO,2020-04-04,10
AGO,2020-04-05,14
AGO,2020-04-06,16
AGO,2020-04-07,17
AGO,2020-04-08,19
AGO,2020-04-09,19
AGO,2020-04-10,19
AGO,2020-04-11,19
AGO,2020-04-12,19
AGO,2020-04-13,19
AGO,2020-04-14,19
AGO,2020-04-15,19
AGO,2020-04-16,19
AGO,2020-04-17,19
AGO,2020-04-18,24
AGO,2020-04-19,24
AGO,2020-04-20,24
AGO,2020-04-21,24
AGO,2020-04-22,25
AGO,2020-04-23,25
AGO,2020-04-24,25
AGO,2020-04-25,25
AGO,2020-04-26,26
AGO,2020-04-27,27
AGO,2020-04-28,27
AGO,2020-04-29,27
AGO,2020-04-30,27
AGO,2020-05-01,30
AGO,2020-05-02,35
AGO,2020-05-03,35
AGO,2020-05-04,35
AGO,2020-05-05,36
AGO,2020-05-06,36
AGO,2020-05-07,36
AGO,2020-05-08,43
AGO,2020-05-09,43
AGO,2020-05-10,45
AGO,2020-05-11,45
AGO,2020-05-12,45
AGO,2020-05-13,45
AGO,2020-05-14,48
AGO,2020-05-15,48
AGO,2020-05-16,48
AGO,2020-05-17,48
AGO,2020-05-18,50
AGO,2020-05-19,52
AGO,2020-05-20,52
AGO,2020-05-21,58
AGO,2020-05-22,60
AGO,2020-05-23,61
AGO,2020-05-24,69
AGO,2020-05-25,70
AGO,2020-05-26,70
AGO,2020-05-27,71
AGO,2020-05-28,74
AGO,2020-05-29,81
AGO,2020-05-30,84
AGO,2020-05-31,86
AGO,2020-06-01,86
AGO,2020-06-02,86
AGO,2020-06-03,86
AGO,2020-06-04,86
AGO,2020-06-05,86
AGO,2020-06-06,88
AGO,2020-06-07,91
AGO,2020-06-08,92
AGO,2020-06-09,96
AGO,2020-06-10,113
AGO,2020-06-11,118
AGO,2020-06-12,130
AGO,2020-06-13,138
AGO,2020-06-14,140
AGO,2020-06-15,142
AGO,2020-06-16,148
AGO,2020-06-17,155
AGO,2020-06-18,166
AGO,2020-06-19,172
AGO,2020-06-20,176
AGO,2020-06-21,183
AGO,2020-06-22,186
AGO,2020-06-23,189
AGO,2020-06-24,197
AGO,2020-06-25,212
AGO,2020-06-26,212
AGO,2020-06-27,259
AGO,2020-06-28,267
AGO,2020-06-29,276
AGO,2020-06-30,284
AGO,2020-07-01,291
AGO,2020-07-02,315
AGO,2020-07-03,328
AGO,2020-07-04,346
AGO,2020-07-05,346
AGO,2020-07-06,346
AGO,2020-07-07,386
AGO,2020-07-08,386
AGO,2020-07-09,396
AGO,2020-07-10,458
AGO,2020-07-11,462
AGO,2020-07-12,506
AGO,2020-07-13,525
AGO,2020-07-14,541
AGO,2020-07-15,576
AGO,2020-07-16,607
AGO,2020-07-17,638
AGO,2020-07-18,687
AGO,2020-07-19,705
AGO,2020-07-20,749
AGO,2020-07-21,779
AGO,2020-07-22,812
AGO,2020-07-23,851
AGO,2020-07-24,880
AGO,2020-07-25,916
ALB,2020-01-22,0
ALB,2020-01-23,0
ALB,2020-01-24,0
ALB,2020-01-25,0
ALB,2020-01-26,0
ALB,2020-01-27,0
ALB,2020-01-28,0
ALB,2020-01-29,0
ALB,2020-01-30,0
ALB,2020-01-31,0
ALB,2020-02-01,0
ALB,2020-02-02,0
ALB,2020-02-03,0
ALB,2020-02-04,0
ALB,2020-02-05,0
ALB,2020-02-06,0
ALB,2020-02-07,0
ALB,2020-02-08,0
ALB,2020-02-09,0
ALB,2020-02-10,0
ALB,2020-02-11,0
ALB,2020-02-12,0
ALB,2020-02-13,0
ALB,2020-02-14,0
ALB,2020-02-15,0
ALB,2020-02-16,0
ALB,2020-02-17,0
ALB,2020-02-18,0
ALB,2020-02-19,0
ALB,2020-02-20,0
ALB,2020-02-21,0
ALB,2020-02-22,0
ALB,2020-02-23,0
ALB,2020-02-24,0
ALB,2020-02-25,0
ALB,2020-02-26,0
ALB,2020-02-27,0
ALB,2020-02-28,0
ALB,2020-02-29,0
ALB,2020-03-01,0
ALB,2020-03-02,0
ALB,2020-03-03,0
ALB,2020-03-04,0
ALB,2020-03-05,0
ALB,2020-03-06,0
ALB,2020-03-07,0
ALB,2020-03-08,0
ALB,2020-03-09,2
ALB,2020-03-10,10
ALB,2020-03-11,12
ALB,2020-03-12,23
ALB,2020-03-13,33
ALB,2020-03-14,38
ALB,2020-03-15,42
ALB,2020-03-16,51
ALB,2020-03-17,55
ALB,2020-03-18,59
ALB,2020-03-19,64
ALB,2020-03-20,70
ALB,2020-03-21,76
ALB,2020-03-22,89
ALB,2020-03-23,104
ALB,2020-03-24,123
ALB,2020-03-25,146
ALB,2020-03-26,174
ALB,2020-03-27,186
ALB,2020-03-28,197
ALB,2020-03-29,212
ALB,2020-03-30,223
ALB,2020-03-31,243
ALB,2020-04-01,259
ALB,2020-04-02,277
ALB,2020-04-03,304
ALB,2020-04-04,333
ALB,2020-04-05,361
ALB,2020-04-06,377
ALB,2020-04-07,383
ALB,2020-04-08,400
ALB,2020-04-09,409
ALB,2020-04-10,416
ALB,2020-04-11,433
ALB,2020-04-12,446
ALB,2020-04-13,467
ALB,2020-04-14,475
ALB,2020-04-15,494
ALB,2020-04-16,518
ALB,2020-04-17,539
ALB,2020-04-18,548
ALB,2020-04-19,562
ALB,2020-04-20,584
ALB,2020-04-21,609
ALB,2020-04-22,634
ALB,2020-04-23,663
ALB,2020-04-24,678
ALB,2020-04-25,712
ALB,2020-04-26,726
ALB,2020-04-27,736
ALB,2020-04-28,750
ALB,2020-04-29,766
ALB,2020-04-30,773
ALB,2020-05-01,782
ALB,2020-05-02,789
ALB,2020-05-03,795
ALB,2020-05-04,803
ALB,2020-05-05,820
ALB,2020-05-06,832
ALB,2020-05-07,842
ALB,2020-05-08,850
ALB,2020-05-09,856
ALB,2020-05-10,868
ALB,2020-05-11,872
ALB,2020-05-12,876
ALB,2020-05-13,880
ALB,2020-05-14,898
ALB,2020-05-15,916
ALB,2020-05-16,933
ALB,2020-05-17,946
ALB,2020-05-18,948
ALB,2020-05-19,949
ALB,2020-05-20,964
ALB,2020-05-21,969
ALB,2020-05-22,981
ALB,2020-05-23,989
ALB,2020-05-24,998
ALB,2020-05-25,1004
ALB,2020-05-26,1029
ALB,2020-05-27,1050
ALB,2020-05-28,1076
ALB,2020-05-29,1099
ALB,2020-05-30,1122
ALB,2020-05-31,1137
ALB,2020-06-01,1143
ALB,2020-06-02,1164
ALB,2020-06-03,1184
ALB,2020-06-04,1197
ALB,2020-06-05,1212
ALB,2020-06-06,1232
ALB,2020-06-07,1246
ALB,2020-06-08,1263
ALB,2020-06-09,1299
ALB,2020-06-10,1341
ALB,2020-06-11,1385
ALB,2020-06-12,1416
ALB,2020-06-13,1464
ALB,2020-06-14,1521
ALB,2020-06-15,1590
ALB,2020-06-16,1672
ALB,2020-06-17,1722
ALB,2020-06-18,1788
ALB,2020-06-19,1838
ALB,2020-06-20,1891
ALB,2020-06-21,1962
ALB,2020-06-22,1995
