country,date,jhu-recoveries
AFG,2020-01-22,0
AFG,2020-01-23,0
AFG,2020-01-24,0
AFG,2020-01-25,0
AFG,2020-01-26,0
AFG,2020-01-27,0
AFG,2020-01-28,0
AFG,2020-01-29,0
AFG,2020-01-30,0
AFG,2020-01-31,0
AFG,2020-02-01,0
AFG,2020-02-02,0
AFG,2020-02-03,0
AFG,2020-02-04,0
AFG,2020-02-05,0
AFG,2020-02-06,0
AFG,2020-02-07,0
AFG,2020-02-08,0
AFG,2020-02-09,0
AFG,2020-02-10,0
AFG,2020-02-11,0
AFG,2020-02-12,0
AFG,2020-02-13,0
AFG,2020-02-14,0
AFG,2020-02-15,0
AFG,2020-02-16,0
AFG,2020-02-17,0
AFG,2020-02-18,0
AFG,2020-02-19,0
AFG,2020-02-20,0
AFG,2020-02-21,0
AFG,2020-02-22,0
AFG,2020-02-23,0
AFG,2020-02-24,0
AFG,2020-02-25,0
AFG,2020-02-26,0
AFG,2020-02-27,0
AFG,2020-02-28,0
AFG,2020-02-29,0
AFG,2020-03-01,0
AFG,2020-03-02,0
AFG,2020-03-03,0
AFG,2020-03-04,0
AFG,2020-03-05,0
AFG,2020-03-06,0
AFG,2020-03-07,0
AFG,2020-03-08,0
AFG,2020-03-09,0
AFG,2020-03-10,0
AFG,2020-03-11,0
AFG,2020-03-12,0
AFG,2020-03-13,0
AFG,2020-03-14,0
AFG,2020-03-15,0
AFG,2020-03-16,1
AFG,2020-03-17,1
AFG,2020-03-18,1
AFG,2020-03-19,1
AFG,2020-03-20,1
AFG,2020-03-21,1
AFG,2020-03-22,1
AFG,2020-03-23,1
AFG,2020-03-24,1
AFG,2020-03-25,2
AFG,2020-03-26,2
AFG,2020-03-27,2
AFG,2020-03-28,2
AFG,2020-03-29,2
AFG,2020-03-30,2
AFG,2020-03-31,5
AFG,2020-04-01,5
AFG,2020-04-02,10
AFG,2020-04-03,10
AFG,2020-04-04,10
AFG,2020-04-05,15
AFG,2020-04-06,18
AFG,2020-04-07,18
AFG,2020-04-08,29
AFG,2020-04-09,32
AFG,2020-04-10,32
AFG,2020-04-11,32
AFG,2020-04-12,32
AFG,2020-04-13,32
AFG,2020-04-14,40
AFG,2020-04-15,43
AFG,2020-04-16,54
AFG,2020-04-17,99
AFG,2020-04-18,112
AFG,2020-04-19,131
AFG,2020-04-20,135
AFG,2020-04-21,150
AFG,2020-04-22,166
AFG,2020-04-23,179
AFG,2020-04-24,188
AFG,2020-04-25,188
AFG,2020-04-26,207
AFG,2020-04-27,220
AFG,2020-04-28,228
AFG,2020-04-29,252
AFG,2020-04-30,260
AFG,2020-05-01,310
AFG,2020-05-02,331
AFG,2020-05-03,345
AFG,2020-05-04,397
AFG,2020-05-05,421
AFG,2020-05-06,458
AFG,2020-05-07,468
AFG,2020-05-08,472
AFG,2020-05-09,502
AFG,2020-05-10,558
AFG,2020-05-11,558
AFG,2020-05-12,610
AFG,2020-05-13,648
AFG,2020-05-14,691
AFG,2020-05-15,745
AFG,2020-05-16,745
AFG,2020-05-17,778
AFG,2020-05-18,801
AFG,2020-05-19,850
AFG,2020-05-20,930
AFG,2020-05-21,938
AFG,2020-05-22,996
AFG,2020-05-23,1040
AFG,2020-05-24,1075
AFG,2020-05-25,1097
AFG,2020-05-26,1128
AFG,2020-05-27,1138
AFG,2020-05-28,1209
AFG,2020-05-29,1259
AFG,2020-05-30,1303
AFG,2020-05-31,1328
AFG,2020-06-01,1428
AFG,2020-06-02,1450
AFG,2020-06-03,1522
AFG,2020-06-04,1585
AFG,2020-06-05,1762
AFG,2020-06-06,1830
AFG,2020-06-07,1875
AFG,2020-06-08,2171
AFG,2020-06-09,2651
AFG,2020-06-10,3013
AFG,2020-06-11,3326
AFG,2020-06-12,3928
AFG,2020-06-13,4201
AFG,2020-06-14,4725
AFG,2020-06-15,5164
AFG,2020-06-16,5508
AFG,2020-06-17,6158
AFG,2020-06-18,7660
AFG,2020-06-19,7962
AFG,2020-06-20,8292
AFG,2020-06-21,8764
AFG,2020-06-22,8841
AFG,2020-06-23,9260
AFG,2020-06-24,9869
AFG,2020-06-25,10174
AFG,2020-06-26,10306
AFG,2020-06-27,10674
AFG,2020-06-28,12604
AFG,2020-06-29,13934
AFG,2020-06-30,14131
AFG,2020-07-01,15651
AFG,2020-07-02,16041
AFG,2020-07-03,17331
AFG,2020-07-04,19164
AFG,2020-07-05,19366
AFG,2020-07-06,20103
AFG,2020-07-07,20179
AFG,2020-07-08,20700
AFG,2020-07-09,20847
AFG,2020-07-10,20882
AFG,2020-07-11,21135
AFG,2020-07-12,21216
AFG,2020-07-13,21254
AFG,2020-07-14,21454
AFG,2020-07-15,22456
AFG,2020-07-16,22824
AFG,2020-07-17,23151
AFG,2020-07-18,23273
AFG,2020-07-19,23634
AFG,2020-07-20,23741
AFG,2020-07-21,23741
AFG,2020-07-22,23924
AFG,2020-07-23,24550
AFG,2020-07-24,24602
AFG,2020-07-25,24793
AGO,2020-01-22,0
AGO,2020-01-23,0
AGO,2020-01-24,0
AGO,2020-01-25,0
AGO,2020-01-26,0
AGO,2020-01-27,0
AGO,2020-01-28,0
AGO,2020-01-29,0
AGO,2020-01-30,0
AGO,2020-01-31,0
AGO,2020-02-01,0
AGO,2020-02-02,0
AGO,2020-02-03,0
AGO,2020-02-04,0
AGO,2020-02-05,0
AGO,2020-02-06,0
AGO,2020-02-07,0
AGO,2020-02-08,0
AGO,2020-02-09,0
AGO,2020-02-10,0
AGO,2020-02-11,0
AGO,2020-02-12,0
AGO,2020-02-13,0
AGO,2020-02-14,0
AGO,2020-02-15,0
AGO,2020-02-16,0
AGO,2020-02-17,0
AGO,2020-02-18,0
AGO,2020-02-19,0
AGO,2020-02-20,0
AGO,2020-02-21,0
AGO,2020-02-22,0
AGO,2020-02-23,0
AGO,2020-02-24,0
AGO,2020-02-25,0
AGO,2020-02-26,0
AGO,2020-02-27,0
AGO,2020-02-28,0
AGO,2020-02-29,0
AGO,2020-03-01,0
AGO,2020-03-02,0
AGO,2020-03-03,0
AGO,2020-03-04,0
AGO,2020-03-05,0
AGO,2020-03-06,0
AGO,2020-03-07,0
AGO,2020-03-08,0
AGO,2020-03-09,0
AGO,2020-03-10,0
AGO,2020-03-11,0
AGO,2020-03-12,0
AGO,2020-03-13,0
AGO,2020-03-14,0
AGO,2020-03-15,0
AGO,2020-03-16,0
AGO,2020-03-17,0
AGO,2020-03-18,0
AGO,2020-03-19,0
AGO,2020-03-20,0
AGO,2020-03-21,0
AGO,2020-03-22,0
AGO,2020-03-23,0
AGO,2020-03-24,0
AGO,2020-03-25,0
AGO,2020-03-26,0
AGO,2020-03-27,0
AGO,2020-03-28,0
AGO,2020-03-29,0
AGO,2020-03-30,0
AGO,2020-03-31,1
AGO,2020-04-01,1
AGO,2020-04-02,1
AGO,2020-04-03,1
AGO,2020-04-04,2
AGO,2020-04-05,2
AGO,2020-04-06,2
AGO,2020-04-07,2
AGO,2020-04-08,2
AGO,2020-04-09,2
AGO,2020-04-10,2
AGO,2020-04-11,4
AGO,2020-04-12,4
AGO,2020-04-13,4
AGO,2020-04-14,5
AGO,2020-04-15,5
AGO,2020-04-16,5
AGO,2020-04-17,5
AGO,2020-04-18,6
AGO,2020-04-19,6
AGO,2020-04-20,6
AGO,2020-04-21,6
AGO,2020-04-22,6
AGO,2020-04-23,6
AGO,2020-04-24,6
AGO,2020-04-25,6
AGO,2020-04-26,6
AGO,2020-04-27,6
AGO,2020-04-28,6
AGO,2020-04-29,7
AGO,2020-04-30,7
AGO,2020-05-01,11
AGO,2020-05-02,11
AGO,2020-05-03,11
AGO,2020-05-04,11
AGO,2020-05-05,11
AGO,2020-05-06,11
AGO,2020-05-07,11
AGO,2020-05-08,11
AGO,2020-05-09,13
AGO,2020-05-10,13
AGO,2020-05-11,13
AGO,2020-05-12,13
AGO,2020-05-13,14
AGO,2020-05-14,14
AGO,2020-05-15,17
AGO,2020-05-16,17
AGO,2020-05-17,17
AGO,2020-05-18,17
AGO,2020-05-19,17
AGO,2020-05-20,17
AGO,2020-05-21,17
AGO,2020-05-22,17
AGO,2020-05-23,18
AGO,2020-05-24,18
AGO,2020-05-25,18
AGO,2020-05-26,18
AGO,2020-05-27,18
AGO,2020-05-28,18
AGO,2020-05-29,18
AGO,2020-05-30,18
AGO,2020-05-31,18
AGO,2020-06-01,18
AGO,2020-06-02,18
AGO,2020-06-03,18
AGO,2020-06-04,18
AGO,2020-06-05,21
AGO,2020-06-06,24
AGO,2020-06-07,24
AGO,2020-06-08,38
AGO,2020-06-09,38
AGO,2020-06-10,40
AGO,2020-06-11,41
AGO,2020-06-12,42
AGO,2020-06-13,61
AGO,2020-06-14,61
AGO,2020-06-15,64
AGO,2020-06-16,64
AGO,2020-06-17,64
AGO,2020-06-18,64
AGO,2020-06-19,66
AGO,2020-06-20,66
AGO,2020-06-21,77
AGO,2020-06-22,77
AGO,2020-06-23,77
AGO,2020-06-24,77
AGO,2020-06-25,81
AGO,2020-06-26,81
AGO,2020-06-27,81
AGO,2020-06-28,81
AGO,2020-06-29,93
AGO,2020-06-30,93
AGO,2020-07-01,97
AGO,2020-07-02,97
AGO,2020-07-03,107
AGO,2020-07-04,108
AGO,2020-07-05,108
AGO,2020-07-06,108
AGO,2020-07-07,117
AGO,2020-07-08,117
AGO,2020-07-09,117
AGO,2020-07-10,117
AGO,2020-07-11,118
AGO,2020-07-12,118
AGO,2020-07-13,118
AGO,2020-07-14,118
AGO,2020-07-15,124
AGO,2020-07-16,124
AGO,2020-07-17,199
AGO,2020-07-18,210
AGO,2020-07-19,221
AGO,2020-07-20,221
AGO,2020-07-21,221
AGO,2020-07-22,221
AGO,2020-07-23,236
AGO,2020-07-24,241
AGO,2020-07-25,242
ALB,2020-01-22,0
ALB,2020-01-23,0
ALB,2020-01-24,0
ALB,2020-01-25,0
ALB,2020-01-26,0
ALB,2020-01-27,0
ALB,2020-01-28,0
ALB,2020-01-29,0
ALB,2020-01-30,0
ALB,2020-01-31,0
ALB,2020-02-01,0
ALB,2020-02-02,0
ALB,2020-02-03,0
ALB,2020-02-04,0
ALB,2020-02-05,0
ALB,2020-02-06,0
ALB,2020-02-07,0
ALB,2020-02-08,0
ALB,2020-02-09,0
ALB,2020-02-10,0
ALB,2020-02-11,0
ALB,2020-02-12,0
ALB,2020-02-13,0
ALB,2020-02-14,0
ALB,2020-02-15,0
ALB,2020-02-16,0
ALB,2020-02-17,0
ALB,2020-02-18,0
ALB,2020-02-19,0
ALB,2020-02-20,0
ALB,2020-02-21,0
ALB,2020-02-22,0
ALB,2020-02-23,0
ALB,2020-02-24,0
ALB,2020-02-25,0
ALB,2020-02-26,0
ALB,2020-02-27,0
ALB,2020-02-28,0
ALB,2020-02-29,0
ALB,2020-03-01,0
ALB,2020-03-02,0
ALB,2020-03-03,0
ALB,2020-03-04,0
ALB,2020-03-05,0
ALB,2020-03-06,0
ALB,2020-03-07,0
ALB,2020-03-08,0
ALB,2020-03-09,0
ALB,2020-03-10,0
ALB,2020-03-11,0
ALB,2020-03-12,0
ALB,2020-03-13,0
ALB,2020-03-14,0
ALB,2020-03-15,0
ALB,2020-03-16,0
ALB,2020-03-17,0
ALB,2020-03-18,0
ALB,2020-03-19,0
ALB,2020-03-20,0
ALB,2020-03-21,2
ALB,2020-03-22,2
ALB,2020-03-23,2
ALB,2020-03-24,10
ALB,2020-03-25,17
ALB,2020-03-26,17
ALB,2020-03-27,31
ALB,2020-03-28,31
ALB,2020-03-29,33
ALB,2020-03-30,44
ALB,2020-03-31,52
ALB,2020-04-01,67
ALB,2020-04-02,76
ALB,2020-04-03,89
ALB,2020-04-04,99
ALB,2020-04-05,104
ALB,2020-04-06,116
ALB,2020-04-07,131
ALB,2020-04-08,154
ALB,2020-04-09,165
ALB,2020-04-10,182
ALB,2020-04-11,197
ALB,2020-04-12,217
ALB,2020-04-13,232
ALB,2020-04-14,248
ALB,2020-04-15,251
ALB,2020-04-16,277
ALB,2020-04-17,283
ALB,2020-04-18,302
ALB,2020-04-19,314
ALB,2020-04-20,327
ALB,2020-04-21,345
ALB,2020-04-22,356
ALB,2020-04-23,385
ALB,2020-04-24,394
ALB,2020-04-25,403
ALB,2020-04-26,410
ALB,2020-04-27,422
ALB,2020-04-28,431
ALB,2020-04-29,455
ALB,2020-04-30,470
ALB,2020-05-01,488
ALB,2020-05-02,519
ALB,2020-05-03,531
ALB,2020-05-04,543
ALB,2020-05-05,570
ALB,2020-05-06,595
ALB,2020-05-07,605
ALB,2020-05-08,620
ALB,2020-05-09,627
ALB,2020-05-10,650
ALB,2020-05-11,654
ALB,2020-05-12,682
ALB,2020-05-13,688
ALB,2020-05-14,694
ALB,2020-05-15,705
ALB,2020-05-16,714
ALB,2020-05-17,715
ALB,2020-05-18,727
ALB,2020-05-19,742
ALB,2020-05-20,758
ALB,2020-05-21,771
ALB,2020-05-22,777
ALB,2020-05-23,783
ALB,2020-05-24,789
ALB,2020-05-25,795
ALB,2020-05-26,803
ALB,2020-05-27,812
ALB,2020-05-28,823
ALB,2020-05-29,851
ALB,2020-05-30,857
ALB,2020-05-31,872
ALB,2020-06-01,877
ALB,2020-06-02,891
ALB,2020-06-03,898
ALB,2020-06-04,898
ALB,2020-06-05,910
ALB,2020-06-06,925
ALB,2020-06-07,938
ALB,2020-06-08,945
ALB,2020-06-09,960
ALB,2020-06-10,980
ALB,2020-06-11,1001
ALB,2020-06-12,1034
ALB,2020-06-13,1039
ALB,2020-06-14,1044
ALB,2020-06-15,1055
ALB,2020-06-16,1064
ALB,2020-06-17,1077
ALB,2020-06-18,1086
ALB,2020-06-19,1114
ALB,2020-06-20,1126
ALB,2020-06-21,1134
ALB,2020-06-22,1159
ALB,2020-06-23,1195
ALB,2020-06-24,1217
ALB,2020-06-25,1250
ALB,2020-06-26,1298
