country,indicator,date,value
AFG,jhu_cases,2020-01-22,0
AFG,jhu_cases,2020-01-23,0
AFG,jhu_cases,2020-01-24,0
AFG,jhu_cases,2020-01-25,0
AFG,jhu_cases,2020-01-26,0
AFG,jhu_cases,2020-01-27,0
AFG,jhu_cases,2020-01-28,0
AFG,jhu_cases,2020-01-29,0
AFG,jhu_cases,2020-01-30,0
AFG,jhu_cases,2020-01-31,0
AFG,jhu_cases,2020-02-01,0
AFG,jhu_cases,2020-02-02,0
AFG,jhu_cases,2020-02-03,0
AFG,jhu_cases,2020-02-04,0
AFG,jhu_cases,2020-02-05,0
AFG,jhu_cases,2020-02-06,0
AFG,jhu_cases,2020-02-07,0
AFG,jhu_cases,2020-02-08,0
AFG,jhu_cases,2020-02-09,0
AFG,jhu_cases,2020-02-10,0
AFG,jhu_cases,2020-02-11,0
AFG,jhu_cases,2020-02-12,0
AFG,jhu_cases,2020-02-13,0
AFG,jhu_cases,2020-02-14,0
AFG,jhu_cases,2020-02-15,0
AFG,jhu_cases,2020-02-16,0
AFG,jhu_cases,2020-02-17,0
AFG,jhu_cases,2020-02-18,0
AFG,jhu_cases,2020-02-19,0
AFG,jhu_cases,2020-02-20,0
AFG,jhu_cases,2020-02-21,0
AFG,jhu_cases,2020-02-22,0
AFG,jhu_cases,2020-02-23,0
AFG,jhu_cases,2020-02-24,1
AFG,jhu_cases,2020-02-25,1
AFG,jhu_cases,2020-02-26,1
AFG,jhu_cases,2020-02-27,1
AFG,jhu_cases,2020-02-28,1
AFG,jhu_cases,2020-02-29,1
AFG,jhu_cases,2020-03-01,1
AFG,jhu_cases,2020-03-02,1
AFG,jhu_cases,2020-03-03,1
AFG,jhu_cases,2020-03-04,1
AFG,jhu_cases,2020-03-05,1
AFG,jhu_cases,2020-03-06,1
AFG,jhu_cases,2020-03-07,1
AFG,jhu_cases,2020-03-08,4
AFG,jhu_cases,2020-03-09,4
AFG,jhu_cases,2020-03-10,5
AFG,jhu_cases,2020-03-11,7
AFG,jhu_cases,2020-03-12,7
AFG,jhu_cases,2020-03-13,7
AFG,jhu_cases,2020-03-14,11
AFG,jhu_cases,2020-03-15,16
AFG,jhu_cases,2020-03-16,21
AFG,jhu_cases,2020-03-17,22
AFG,jhu_cases,2020-03-18,22
AFG,jhu_cases,2020-03-19,22
AFG,jhu_cases,2020-03-20,24
AFG,jhu_cases,2020-03-21,24
AFG,jhu_cases,2020-03-22,40
AFG,jhu_cases,2020-03-23,40
AFG,jhu_cases,2020-03-24,74
AFG,jhu_cases,2020-03-25,84
AFG,jhu_cases,2020-03-26,94
AFG,jhu_cases,2020-03-27,110
AFG,jhu_cases,2020-03-28,110
AFG,jhu_cases,2020-03-29,120
AFG,jhu_cases,2020-03-30,170
AFG,jhu_cases,2020-03-31,174
AFG,jhu_cases,2020-04-01,237
AFG,jhu_cases,2020-04-02,273
AFG,jhu_cases,2020-04-03,281
AFG,jhu_cases,2020-04-04,299
AFG,jhu_cases,2020-04-05,349
AFG,jhu_cases,2020-04-06,367
AFG,jhu_cases,2020-04-07,423
AFG,jhu_cases,2020-04-08,444
AFG,jhu_cases,2020-04-09,484
AFG,jhu_cases,2020-04-10,521
AFG,jhu_cases,2020-04-11,555
AFG,jhu_cases,2020-04-12,607
AFG,jhu_cases,2020-04-13,665
AFG,jhu_cases,2020-04-14,714
AFG,jhu_cases,2020-04-15,784
AFG,jhu_cases,2020-04-16,840
AFG,jhu_cases,2020-04-17,906
AFG,jhu_cases,2020-04-18,933
AFG,jhu_cases,2020-04-19,996
AFG,jhu_cases,2020-04-20,1026
AFG,jhu_cases,2020-04-21,1092
AFG,jhu_cases,2020-04-22,1176
AFG,jhu_cases,2020-04-23,1279
AFG,jhu_cases,2020-04-24,1351
AFG,jhu_cases,2020-04-25,1463
AFG,jhu_cases,2020-04-26,1531
AFG,jhu_cases,2020-04-27,1703
AFG,jhu_cases,2020-04-28,1828
AFG,jhu_cases,2020-04-29,1939
