country,date,owid-total_cases_per_million
ABW,2020-03-13,18.733
ABW,2020-03-20,37.465
ABW,2020-03-24,112.395
ABW,2020-03-25,159.227
ABW,2020-03-26,177.959
ABW,2020-03-27,262.256
ABW,2020-03-28,262.256
ABW,2020-03-29,262.256
ABW,2020-03-30,468.314
ABW,2020-04-01,515.145
ABW,2020-04-02,515.145
ABW,2020-04-03,561.977
ABW,2020-04-04,580.7090000000001
ABW,2020-04-05,599.442
ABW,2020-04-06,599.442
ABW,2020-04-07,665.0060000000001
ABW,2020-04-08,693.105
ABW,2020-04-09,721.203
ABW,2020-04-10,768.035
ABW,2020-04-11,805.5
ABW,2020-04-12,861.698
ABW,2020-04-13,861.698
ABW,2020-04-14,861.698
ABW,2020-04-15,861.698
ABW,2020-04-16,871.064
ABW,2020-04-17,889.796
ABW,2020-04-18,899.163
ABW,2020-04-19,899.163
ABW,2020-04-20,908.529
ABW,2020-04-21,908.529
ABW,2020-04-22,908.529
ABW,2020-04-23,936.628
ABW,2020-04-24,936.628
ABW,2020-04-25,936.628
ABW,2020-04-26,936.628
ABW,2020-04-27,936.628
ABW,2020-04-28,936.628
ABW,2020-04-29,936.628
ABW,2020-04-30,936.628
ABW,2020-05-01,936.628
ABW,2020-05-02,936.628
ABW,2020-05-03,936.628
ABW,2020-05-04,936.628
ABW,2020-05-05,936.628
ABW,2020-05-06,936.628
ABW,2020-05-07,945.9939999999999
ABW,2020-05-08,945.9939999999999
ABW,2020-05-09,945.9939999999999
ABW,2020-05-10,945.9939999999999
ABW,2020-05-11,945.9939999999999
ABW,2020-05-12,945.9939999999999
ABW,2020-05-13,945.9939999999999
ABW,2020-05-14,945.9939999999999
ABW,2020-05-15,945.9939999999999
ABW,2020-05-16,945.9939999999999
ABW,2020-05-17,945.9939999999999
ABW,2020-05-18,945.9939999999999
ABW,2020-05-19,945.9939999999999
ABW,2020-05-20,945.9939999999999
ABW,2020-05-21,945.9939999999999
ABW,2020-05-22,945.9939999999999
ABW,2020-05-23,945.9939999999999
ABW,2020-05-24,945.9939999999999
