country,indicator,date,value
ABW,owid-total_deaths_per_million,2020-03-13,0.0
ABW,owid-total_deaths_per_million,2020-03-20,0.0
ABW,owid-total_deaths_per_million,2020-03-24,0.0
ABW,owid-total_deaths_per_million,2020-03-25,0.0
ABW,owid-total_deaths_per_million,2020-03-26,0.0
ABW,owid-total_deaths_per_million,2020-03-27,0.0
ABW,owid-total_deaths_per_million,2020-03-28,0.0
ABW,owid-total_deaths_per_million,2020-03-29,0.0
ABW,owid-total_deaths_per_million,2020-03-30,0.0
ABW,owid-total_deaths_per_million,2020-04-01,0.0
ABW,owid-total_deaths_per_million,2020-04-02,0.0
ABW,owid-total_deaths_per_million,2020-04-03,0.0
ABW,owid-total_deaths_per_million,2020-04-04,0.0
ABW,owid-total_deaths_per_million,2020-04-05,0.0
ABW,owid-total_deaths_per_million,2020-04-06,0.0
ABW,owid-total_deaths_per_million,2020-04-07,0.0
ABW,owid-total_deaths_per_million,2020-04-08,0.0
ABW,owid-total_deaths_per_million,2020-04-09,0.0
ABW,owid-total_deaths_per_million,2020-04-10,0.0
ABW,owid-total_deaths_per_million,2020-04-11,0.0
ABW,owid-total_deaths_per_million,2020-04-12,0.0
ABW,owid-total_deaths_per_million,2020-04-13,0.0
ABW,owid-total_deaths_per_million,2020-04-14,0.0
ABW,owid-total_deaths_per_million,2020-04-15,0.0
ABW,owid-total_deaths_per_million,2020-04-16,9.366
ABW,owid-total_deaths_per_million,2020-04-17,9.366
ABW,owid-total_deaths_per_million,2020-04-18,18.733
ABW,owid-total_deaths_per_million,2020-04-19,18.733
ABW,owid-total_deaths_per_million,2020-04-20,18.733
ABW,owid-total_deaths_per_million,2020-04-21,18.733
ABW,owid-total_deaths_per_million,2020-04-22,18.733
ABW,owid-total_deaths_per_million,2020-04-23,18.733
ABW,owid-total_deaths_per_million,2020-04-24,18.733
ABW,owid-total_deaths_per_million,2020-04-25,18.733
ABW,owid-total_deaths_per_million,2020-04-26,18.733
ABW,owid-total_deaths_per_million,2020-04-27,18.733
ABW,owid-total_deaths_per_million,2020-04-28,18.733
ABW,owid-total_deaths_per_million,2020-04-29,18.733
ABW,owid-total_deaths_per_million,2020-04-30,18.733
ABW,owid-total_deaths_per_million,2020-05-01,18.733
ABW,owid-total_deaths_per_million,2020-05-02,18.733
