iso_code,country,date,owid_cardiovasc_death_rate
AFG,Afghanistan,2019-12-31,597.029
AFG,Afghanistan,2020-01-01,597.029
AFG,Afghanistan,2020-01-02,597.029
AFG,Afghanistan,2020-01-03,597.029
AFG,Afghanistan,2020-01-04,597.029
AFG,Afghanistan,2020-01-05,597.029
AFG,Afghanistan,2020-01-06,597.029
AFG,Afghanistan,2020-01-07,597.029
AFG,Afghanistan,2020-01-08,597.029
AFG,Afghanistan,2020-01-09,597.029
AFG,Afghanistan,2020-01-10,597.029
AFG,Afghanistan,2020-01-11,597.029
AFG,Afghanistan,2020-01-12,597.029
AFG,Afghanistan,2020-01-13,597.029
AFG,Afghanistan,2020-01-14,597.029
AFG,Afghanistan,2020-01-15,597.029
AFG,Afghanistan,2020-01-16,597.029
AFG,Afghanistan,2020-01-17,597.029
AFG,Afghanistan,2020-01-18,597.029
AFG,Afghanistan,2020-01-19,597.029
AFG,Afghanistan,2020-01-20,597.029
AFG,Afghanistan,2020-01-21,597.029
AFG,Afghanistan,2020-01-22,597.029
AFG,Afghanistan,2020-01-23,597.029
AFG,Afghanistan,2020-01-24,597.029
AFG,Afghanistan,2020-01-25,597.029
AFG,Afghanistan,2020-01-26,597.029
AFG,Afghanistan,2020-01-27,597.029
AFG,Afghanistan,2020-01-28,597.029
AFG,Afghanistan,2020-01-29,597.029
AFG,Afghanistan,2020-01-30,597.029
AFG,Afghanistan,2020-01-31,597.029
AFG,Afghanistan,2020-02-01,597.029
AFG,Afghanistan,2020-02-02,597.029
AFG,Afghanistan,2020-02-03,597.029
AFG,Afghanistan,2020-02-04,597.029
AFG,Afghanistan,2020-02-05,597.029
AFG,Afghanistan,2020-02-06,597.029
AFG,Afghanistan,2020-02-07,597.029
AFG,Afghanistan,2020-02-08,597.029
AFG,Afghanistan,2020-02-09,597.029
AFG,Afghanistan,2020-02-10,597.029
AFG,Afghanistan,2020-02-11,597.029
AFG,Afghanistan,2020-02-12,597.029
AFG,Afghanistan,2020-02-13,597.029
AFG,Afghanistan,2020-02-14,597.029
AFG,Afghanistan,2020-02-15,597.029
AFG,Afghanistan,2020-02-16,597.029
AFG,Afghanistan,2020-02-17,597.029
AFG,Afghanistan,2020-02-18,597.029
AFG,Afghanistan,2020-02-19,597.029
AFG,Afghanistan,2020-02-20,597.029
AFG,Afghanistan,2020-02-21,597.029
AFG,Afghanistan,2020-02-22,597.029
AFG,Afghanistan,2020-02-23,597.029
AFG,Afghanistan,2020-02-24,597.029
AFG,Afghanistan,2020-02-25,597.029
AFG,Afghanistan,2020-02-26,597.029
AFG,Afghanistan,2020-02-27,597.029
AFG,Afghanistan,2020-02-28,597.029
AFG,Afghanistan,2020-02-29,597.029
AFG,Afghanistan,2020-03-01,597.029
AFG,Afghanistan,2020-03-02,597.029
AFG,Afghanistan,2020-03-03,597.029
AFG,Afghanistan,2020-03-04,597.029
AFG,Afghanistan,2020-03-05,597.029
AFG,Afghanistan,2020-03-06,597.029
AFG,Afghanistan,2020-03-07,597.029
AFG,Afghanistan,2020-03-08,597.029
AFG,Afghanistan,2020-03-09,597.029
AFG,Afghanistan,2020-03-10,597.029
AFG,Afghanistan,2020-03-11,597.029
AFG,Afghanistan,2020-03-12,597.029
AFG,Afghanistan,2020-03-13,597.029
AFG,Afghanistan,2020-03-14,597.029
AFG,Afghanistan,2020-03-15,597.029
AFG,Afghanistan,2020-03-16,597.029
AFG,Afghanistan,2020-03-17,597.029
AFG,Afghanistan,2020-03-18,597.029
AFG,Afghanistan,2020-03-19,597.029
AFG,Afghanistan,2020-03-20,597.029
AFG,Afghanistan,2020-03-21,597.029
AFG,Afghanistan,2020-03-22,597.029
AFG,Afghanistan,2020-03-23,597.029
AFG,Afghanistan,2020-03-24,597.029
AFG,Afghanistan,2020-03-25,597.029
AFG,Afghanistan,2020-03-26,597.029
AFG,Afghanistan,2020-03-27,597.029
AFG,Afghanistan,2020-03-28,597.029
AFG,Afghanistan,2020-03-29,597.029
AFG,Afghanistan,2020-03-30,597.029
AFG,Afghanistan,2020-03-31,597.029
AFG,Afghanistan,2020-04-01,597.029
AFG,Afghanistan,2020-04-02,597.029
AFG,Afghanistan,2020-04-03,597.029
AFG,Afghanistan,2020-04-04,597.029
AFG,Afghanistan,2020-04-05,597.029
AFG,Afghanistan,2020-04-06,597.029
AFG,Afghanistan,2020-04-07,597.029
AFG,Afghanistan,2020-04-08,597.029
AFG,Afghanistan,2020-04-09,597.029
AFG,Afghanistan,2020-04-10,597.029
AFG,Afghanistan,2020-04-11,597.029
AFG,Afghanistan,2020-04-12,597.029
AFG,Afghanistan,2020-04-13,597.029
AFG,Afghanistan,2020-04-14,597.029
AFG,Afghanistan,2020-04-15,597.029
