iso_code,country,date,owid_diabetes_prevalence
ABW,Aruba,2020-03-13,11.62
ABW,Aruba,2020-03-19,11.62
ABW,Aruba,2020-03-20,11.62
ABW,Aruba,2020-03-21,11.62
ABW,Aruba,2020-03-22,11.62
ABW,Aruba,2020-03-23,11.62
ABW,Aruba,2020-03-24,11.62
ABW,Aruba,2020-03-25,11.62
ABW,Aruba,2020-03-26,11.62
ABW,Aruba,2020-03-27,11.62
ABW,Aruba,2020-03-28,11.62
ABW,Aruba,2020-03-29,11.62
ABW,Aruba,2020-03-30,11.62
ABW,Aruba,2020-03-31,11.62
ABW,Aruba,2020-04-01,11.62
ABW,Aruba,2020-04-02,11.62
ABW,Aruba,2020-04-03,11.62
ABW,Aruba,2020-04-04,11.62
ABW,Aruba,2020-04-05,11.62
ABW,Aruba,2020-04-06,11.62
ABW,Aruba,2020-04-07,11.62
ABW,Aruba,2020-04-08,11.62
ABW,Aruba,2020-04-09,11.62
ABW,Aruba,2020-04-10,11.62
ABW,Aruba,2020-04-11,11.62
ABW,Aruba,2020-04-12,11.62
ABW,Aruba,2020-04-13,11.62
ABW,Aruba,2020-04-14,11.62
ABW,Aruba,2020-04-15,11.62
ABW,Aruba,2020-04-16,11.62
ABW,Aruba,2020-04-17,11.62
ABW,Aruba,2020-04-18,11.62
ABW,Aruba,2020-04-19,11.62
ABW,Aruba,2020-04-20,11.62
ABW,Aruba,2020-04-21,11.62
ABW,Aruba,2020-04-22,11.62
ABW,Aruba,2020-04-23,11.62
ABW,Aruba,2020-04-24,11.62
ABW,Aruba,2020-04-25,11.62
ABW,Aruba,2020-04-26,11.62
ABW,Aruba,2020-04-27,11.62
ABW,Aruba,2020-04-28,11.62
ABW,Aruba,2020-04-29,11.62
ABW,Aruba,2020-04-30,11.62
ABW,Aruba,2020-05-01,11.62
ABW,Aruba,2020-05-02,11.62
ABW,Aruba,2020-05-03,11.62
ABW,Aruba,2020-05-04,11.62
ABW,Aruba,2020-05-05,11.62
ABW,Aruba,2020-05-06,11.62
ABW,Aruba,2020-05-07,11.62
ABW,Aruba,2020-05-08,11.62
ABW,Aruba,2020-05-09,11.62
ABW,Aruba,2020-05-10,11.62
ABW,Aruba,2020-05-11,11.62
ABW,Aruba,2020-05-12,11.62
ABW,Aruba,2020-05-13,11.62
ABW,Aruba,2020-05-14,11.62
ABW,Aruba,2020-05-15,11.62
ABW,Aruba,2020-05-16,11.62
ABW,Aruba,2020-05-17,11.62
ABW,Aruba,2020-05-18,11.62
ABW,Aruba,2020-05-19,11.62
ABW,Aruba,2020-05-20,11.62
ABW,Aruba,2020-05-21,11.62
ABW,Aruba,2020-05-22,11.62
ABW,Aruba,2020-05-23,11.62
ABW,Aruba,2020-05-24,11.62
ABW,Aruba,2020-05-25,11.62
ABW,Aruba,2020-05-26,11.62
ABW,Aruba,2020-05-27,11.62
ABW,Aruba,2020-05-28,11.62
ABW,Aruba,2020-05-29,11.62
ABW,Aruba,2020-05-30,11.62
ABW,Aruba,2020-05-31,11.62
ABW,Aruba,2020-06-01,11.62
ABW,Aruba,2020-06-02,11.62
ABW,Aruba,2020-06-03,11.62
ABW,Aruba,2020-06-04,11.62
ABW,Aruba,2020-06-05,11.62
ABW,Aruba,2020-06-06,11.62
ABW,Aruba,2020-06-07,11.62
ABW,Aruba,2020-06-08,11.62
ABW,Aruba,2020-06-09,11.62
ABW,Aruba,2020-06-10,11.62
ABW,Aruba,2020-06-11,11.62
ABW,Aruba,2020-06-12,11.62
ABW,Aruba,2020-06-13,11.62
ABW,Aruba,2020-06-14,11.62
ABW,Aruba,2020-06-15,11.62
ABW,Aruba,2020-06-16,11.62
ABW,Aruba,2020-06-17,11.62
ABW,Aruba,2020-06-18,11.62
ABW,Aruba,2020-06-19,11.62
ABW,Aruba,2020-06-20,11.62
ABW,Aruba,2020-06-21,11.62
ABW,Aruba,2020-06-22,11.62
ABW,Aruba,2020-06-23,11.62
ABW,Aruba,2020-06-24,11.62
ABW,Aruba,2020-06-25,11.62
ABW,Aruba,2020-06-26,11.62
ABW,Aruba,2020-06-27,11.62
ABW,Aruba,2020-06-28,11.62
ABW,Aruba,2020-06-29,11.62
ABW,Aruba,2020-06-30,11.62
ABW,Aruba,2020-07-01,11.62
ABW,Aruba,2020-07-02,11.62
ABW,Aruba,2020-07-03,11.62
ABW,Aruba,2020-07-04,11.62
ABW,Aruba,2020-07-05,11.62
ABW,Aruba,2020-07-06,11.62
ABW,Aruba,2020-07-07,11.62
ABW,Aruba,2020-07-08,11.62
ABW,Aruba,2020-07-09,11.62
ABW,Aruba,2020-07-10,11.62
ABW,Aruba,2020-07-11,11.62
ABW,Aruba,2020-07-12,11.62
ABW,Aruba,2020-07-13,11.62
ABW,Aruba,2020-07-14,11.62
ABW,Aruba,2020-07-15,11.62
ABW,Aruba,2020-07-16,11.62
ABW,Aruba,2020-07-17,11.62
ABW,Aruba,2020-07-18,11.62
ABW,Aruba,2020-07-19,11.62
ABW,Aruba,2020-07-20,11.62
ABW,Aruba,2020-07-21,11.62
ABW,Aruba,2020-07-22,11.62
ABW,Aruba,2020-07-23,11.62
ABW,Aruba,2020-07-24,11.62
ABW,Aruba,2020-07-25,11.62
ABW,Aruba,2020-07-26,11.62
ABW,Aruba,2020-07-27,11.62
ABW,Aruba,2020-07-28,11.62
ABW,Aruba,2020-07-29,11.62
ABW,Aruba,2020-07-30,11.62
ABW,Aruba,2020-07-31,11.62
ABW,Aruba,2020-08-01,11.62
ABW,Aruba,2020-08-02,11.62
ABW,Aruba,2020-08-03,11.62
ABW,Aruba,2020-08-04,11.62
