iso_code,country,date,owid_life_expectancy
AFG,Afghanistan,2020-02-24,64.83
AFG,Afghanistan,2020-02-25,64.83
AFG,Afghanistan,2020-02-26,64.83
AFG,Afghanistan,2020-02-27,64.83
AFG,Afghanistan,2020-02-28,64.83
AFG,Afghanistan,2020-02-29,64.83
AFG,Afghanistan,2020-03-01,64.83
AFG,Afghanistan,2020-03-02,64.83
AFG,Afghanistan,2020-03-03,64.83
AFG,Afghanistan,2020-03-04,64.83
AFG,Afghanistan,2020-03-05,64.83
AFG,Afghanistan,2020-03-06,64.83
AFG,Afghanistan,2020-03-07,64.83
AFG,Afghanistan,2020-03-08,64.83
AFG,Afghanistan,2020-03-09,64.83
AFG,Afghanistan,2020-03-10,64.83
AFG,Afghanistan,2020-03-11,64.83
AFG,Afghanistan,2020-03-12,64.83
AFG,Afghanistan,2020-03-13,64.83
AFG,Afghanistan,2020-03-14,64.83
AFG,Afghanistan,2020-03-15,64.83
AFG,Afghanistan,2020-03-16,64.83
AFG,Afghanistan,2020-03-17,64.83
AFG,Afghanistan,2020-03-18,64.83
AFG,Afghanistan,2020-03-19,64.83
AFG,Afghanistan,2020-03-20,64.83
AFG,Afghanistan,2020-03-21,64.83
AFG,Afghanistan,2020-03-22,64.83
AFG,Afghanistan,2020-03-23,64.83
AFG,Afghanistan,2020-03-24,64.83
AFG,Afghanistan,2020-03-25,64.83
AFG,Afghanistan,2020-03-26,64.83
AFG,Afghanistan,2020-03-27,64.83
AFG,Afghanistan,2020-03-28,64.83
AFG,Afghanistan,2020-03-29,64.83
AFG,Afghanistan,2020-03-30,64.83
AFG,Afghanistan,2020-03-31,64.83
AFG,Afghanistan,2020-04-01,64.83
AFG,Afghanistan,2020-04-02,64.83
AFG,Afghanistan,2020-04-03,64.83
AFG,Afghanistan,2020-04-04,64.83
AFG,Afghanistan,2020-04-05,64.83
AFG,Afghanistan,2020-04-06,64.83
AFG,Afghanistan,2020-04-07,64.83
AFG,Afghanistan,2020-04-08,64.83
AFG,Afghanistan,2020-04-09,64.83
AFG,Afghanistan,2020-04-10,64.83
AFG,Afghanistan,2020-04-11,64.83
AFG,Afghanistan,2020-04-12,64.83
