iso_code,country,date,owid_male_smokers
ALB,Albania,2020-01-23,51.2
ALB,Albania,2020-01-24,51.2
ALB,Albania,2020-01-25,51.2
ALB,Albania,2020-01-26,51.2
ALB,Albania,2020-01-27,51.2
ALB,Albania,2020-01-28,51.2
ALB,Albania,2020-01-29,51.2
ALB,Albania,2020-01-30,51.2
ALB,Albania,2020-01-31,51.2
ALB,Albania,2020-02-01,51.2
ALB,Albania,2020-02-02,51.2
ALB,Albania,2020-02-03,51.2
ALB,Albania,2020-02-04,51.2
ALB,Albania,2020-02-05,51.2
ALB,Albania,2020-02-06,51.2
ALB,Albania,2020-02-07,51.2
ALB,Albania,2020-02-08,51.2
ALB,Albania,2020-02-09,51.2
ALB,Albania,2020-02-10,51.2
ALB,Albania,2020-02-11,51.2
ALB,Albania,2020-02-12,51.2
ALB,Albania,2020-02-13,51.2
ALB,Albania,2020-02-14,51.2
ALB,Albania,2020-02-15,51.2
ALB,Albania,2020-02-16,51.2
ALB,Albania,2020-02-17,51.2
ALB,Albania,2020-02-18,51.2
ALB,Albania,2020-02-19,51.2
ALB,Albania,2020-02-20,51.2
ALB,Albania,2020-02-21,51.2
ALB,Albania,2020-02-22,51.2
ALB,Albania,2020-02-23,51.2
ALB,Albania,2020-02-24,51.2
ALB,Albania,2020-02-25,51.2
ALB,Albania,2020-02-26,51.2
ALB,Albania,2020-02-27,51.2
ALB,Albania,2020-02-28,51.2
ALB,Albania,2020-02-29,51.2
ALB,Albania,2020-03-01,51.2
ALB,Albania,2020-03-02,51.2
ALB,Albania,2020-03-03,51.2
ALB,Albania,2020-03-04,51.2
ALB,Albania,2020-03-05,51.2
ALB,Albania,2020-03-06,51.2
ALB,Albania,2020-03-07,51.2
ALB,Albania,2020-03-08,51.2
ALB,Albania,2020-03-09,51.2
ALB,Albania,2020-03-10,51.2
ALB,Albania,2020-03-11,51.2
ALB,Albania,2020-03-12,51.2
ALB,Albania,2020-03-13,51.2
ALB,Albania,2020-03-14,51.2
ALB,Albania,2020-03-15,51.2
ALB,Albania,2020-03-16,51.2
ALB,Albania,2020-03-17,51.2
ALB,Albania,2020-03-18,51.2
ALB,Albania,2020-03-19,51.2
ALB,Albania,2020-03-20,51.2
ALB,Albania,2020-03-21,51.2
ALB,Albania,2020-03-22,51.2
ALB,Albania,2020-03-23,51.2
ALB,Albania,2020-03-24,51.2
ALB,Albania,2020-03-25,51.2
ALB,Albania,2020-03-26,51.2
ALB,Albania,2020-03-27,51.2
ALB,Albania,2020-03-28,51.2
ALB,Albania,2020-03-29,51.2
ALB,Albania,2020-03-30,51.2
ALB,Albania,2020-03-31,51.2
ALB,Albania,2020-04-01,51.2
ALB,Albania,2020-04-02,51.2
ALB,Albania,2020-04-03,51.2
ALB,Albania,2020-04-04,51.2
ALB,Albania,2020-04-05,51.2
ALB,Albania,2020-04-06,51.2
ALB,Albania,2020-04-07,51.2
ALB,Albania,2020-04-08,51.2
ALB,Albania,2020-04-09,51.2
ALB,Albania,2020-04-10,51.2
ALB,Albania,2020-04-11,51.2
ALB,Albania,2020-04-12,51.2
ALB,Albania,2020-04-13,51.2
ALB,Albania,2020-04-14,51.2
ALB,Albania,2020-04-15,51.2
ALB,Albania,2020-04-16,51.2
ALB,Albania,2020-04-17,51.2
ALB,Albania,2020-04-18,51.2
ALB,Albania,2020-04-19,51.2
ALB,Albania,2020-04-20,51.2
ALB,Albania,2020-04-21,51.2
ALB,Albania,2020-04-22,51.2
ALB,Albania,2020-04-23,51.2
ALB,Albania,2020-04-24,51.2
ALB,Albania,2020-04-25,51.2
ALB,Albania,2020-04-26,51.2
ALB,Albania,2020-04-27,51.2
ALB,Albania,2020-04-28,51.2
ALB,Albania,2020-04-29,51.2
ALB,Albania,2020-04-30,51.2
ALB,Albania,2020-05-01,51.2
ALB,Albania,2020-05-02,51.2
ALB,Albania,2020-05-03,51.2
