iso_code,country,date,owid_new_cases_per_million
AFG,Afghanistan,2020-02-24,0.126
AFG,Afghanistan,2020-02-25,0.0
AFG,Afghanistan,2020-02-26,0.0
AFG,Afghanistan,2020-02-27,0.0
AFG,Afghanistan,2020-02-28,0.0
AFG,Afghanistan,2020-02-29,0.0
AFG,Afghanistan,2020-03-01,0.0
AFG,Afghanistan,2020-03-02,0.0
AFG,Afghanistan,2020-03-03,0.0
AFG,Afghanistan,2020-03-04,0.0
AFG,Afghanistan,2020-03-05,0.0
AFG,Afghanistan,2020-03-06,0.0
AFG,Afghanistan,2020-03-07,0.075
AFG,Afghanistan,2020-03-08,0.0
AFG,Afghanistan,2020-03-09,0.0
AFG,Afghanistan,2020-03-10,0.0
AFG,Afghanistan,2020-03-11,0.075
AFG,Afghanistan,2020-03-12,0.0
AFG,Afghanistan,2020-03-13,0.0
AFG,Afghanistan,2020-03-14,0.075
AFG,Afghanistan,2020-03-15,0.151
AFG,Afghanistan,2020-03-16,0.126
AFG,Afghanistan,2020-03-17,0.025
AFG,Afghanistan,2020-03-18,0.0
AFG,Afghanistan,2020-03-19,0.0
AFG,Afghanistan,2020-03-20,-0.05
AFG,Afghanistan,2020-03-21,0.0
AFG,Afghanistan,2020-03-22,0.251
AFG,Afghanistan,2020-03-23,0.151
AFG,Afghanistan,2020-03-24,0.05
AFG,Afghanistan,2020-03-25,0.803
AFG,Afghanistan,2020-03-26,0.151
AFG,Afghanistan,2020-03-27,0.276
AFG,Afghanistan,2020-03-28,0.377
AFG,Afghanistan,2020-03-29,0.201
AFG,Afghanistan,2020-03-30,0.0
AFG,Afghanistan,2020-03-31,1.305
AFG,Afghanistan,2020-04-01,0.653
AFG,Afghanistan,2020-04-02,1.079
AFG,Afghanistan,2020-04-03,0.854
AFG,Afghanistan,2020-04-04,0.025
AFG,Afghanistan,2020-04-05,0.728
AFG,Afghanistan,2020-04-06,0.954
AFG,Afghanistan,2020-04-07,0.753
AFG,Afghanistan,2020-04-08,1.406
AFG,Afghanistan,2020-04-09,0.527
AFG,Afghanistan,2020-04-10,1.933
AFG,Afghanistan,2020-04-11,0.0
AFG,Afghanistan,2020-04-12,0.854
AFG,Afghanistan,2020-04-13,1.305
AFG,Afghanistan,2020-04-14,1.456
AFG,Afghanistan,2020-04-15,2.636
AFG,Afghanistan,2020-04-16,0.602
AFG,Afghanistan,2020-04-17,1.28
AFG,Afghanistan,2020-04-18,1.582
AFG,Afghanistan,2020-04-19,0.628
AFG,Afghanistan,2020-04-20,1.582
AFG,Afghanistan,2020-04-21,0.753
AFG,Afghanistan,2020-04-22,1.657
AFG,Afghanistan,2020-04-23,2.109
AFG,Afghanistan,2020-04-24,1.255
AFG,Afghanistan,2020-04-25,2.611
AFG,Afghanistan,2020-04-26,3.339
AFG,Afghanistan,2020-04-27,1.707
AFG,Afghanistan,2020-04-28,4.318
AFG,Afghanistan,2020-04-29,3.113
AFG,Afghanistan,2020-04-30,0.0
AFG,Afghanistan,2020-05-01,8.636
AFG,Afghanistan,2020-05-02,7.481
AFG,Afghanistan,2020-05-03,0.0
AFG,Afghanistan,2020-05-04,0.0
AFG,Afghanistan,2020-05-05,0.0
AFG,Afghanistan,2020-05-06,18.953
AFG,Afghanistan,2020-05-07,4.217
AFG,Afghanistan,2020-05-08,4.293
AFG,Afghanistan,2020-05-09,0.0
AFG,Afghanistan,2020-05-10,21.062
AFG,Afghanistan,2020-05-11,6.577
AFG,Afghanistan,2020-05-12,7.606
AFG,Afghanistan,2020-05-13,0.0
AFG,Afghanistan,2020-05-14,9.338
AFG,Afghanistan,2020-05-15,17.924
AFG,Afghanistan,2020-05-16,8.761
AFG,Afghanistan,2020-05-17,5.849
AFG,Afghanistan,2020-05-18,10.97
AFG,Afghanistan,2020-05-19,14.635
AFG,Afghanistan,2020-05-20,12.301
AFG,Afghanistan,2020-05-21,13.33
AFG,Afghanistan,2020-05-22,13.556
AFG,Afghanistan,2020-05-23,18.476
AFG,Afghanistan,2020-05-24,17.974
AFG,Afghanistan,2020-05-25,12.853
AFG,Afghanistan,2020-05-26,18.501
AFG,Afghanistan,2020-05-27,13.757
AFG,Afghanistan,2020-05-28,15.991
AFG,Afghanistan,2020-05-29,16.141
AFG,Afghanistan,2020-05-30,19.681
AFG,Afghanistan,2020-05-31,16.342
AFG,Afghanistan,2020-06-01,16.468
AFG,Afghanistan,2020-06-02,18.627
AFG,Afghanistan,2020-06-03,19.455
AFG,Afghanistan,2020-06-04,15.664
AFG,Afghanistan,2020-06-05,27.061
AFG,Afghanistan,2020-06-06,14.61
AFG,Afghanistan,2020-06-07,19.857
AFG,Afghanistan,2020-06-08,14.434
AFG,Afghanistan,2020-06-09,7.657
AFG,Afghanistan,2020-06-10,23.095
AFG,Afghanistan,2020-06-11,18.777
AFG,Afghanistan,2020-06-12,16.468
AFG,Afghanistan,2020-06-13,13.957
AFG,Afghanistan,2020-06-14,16.669
AFG,Afghanistan,2020-06-15,19.104
AFG,Afghanistan,2020-06-16,2.661
AFG,Afghanistan,2020-06-17,31.153
AFG,Afghanistan,2020-06-18,11.623
AFG,Afghanistan,2020-06-19,13.581
AFG,Afghanistan,2020-06-20,10.518
AFG,Afghanistan,2020-06-21,13.455
AFG,Afghanistan,2020-06-22,7.782
AFG,Afghanistan,2020-06-23,8.485
AFG,Afghanistan,2020-06-24,3.991
AFG,Afghanistan,2020-06-25,13.43
AFG,Afghanistan,2020-06-26,2.134
AFG,Afghanistan,2020-06-27,8.937
AFG,Afghanistan,2020-06-28,8.811
AFG,Afghanistan,2020-06-29,6.803
AFG,Afghanistan,2020-06-30,3.037
AFG,Afghanistan,2020-07-01,10.117
AFG,Afghanistan,2020-07-02,6.527
AFG,Afghanistan,2020-07-03,7.581
AFG,Afghanistan,2020-07-04,8.736
AFG,Afghanistan,2020-07-05,7.004
AFG,Afghanistan,2020-07-06,2.837
AFG,Afghanistan,2020-07-07,8.033
AFG,Afghanistan,2020-07-08,5.272
AFG,Afghanistan,2020-07-09,1.481
AFG,Afghanistan,2020-07-10,13.581
AFG,Afghanistan,2020-07-11,3.941
AFG,Afghanistan,2020-07-12,2.51
