iso_code,country,date,owid_stringency_index
ABW,Aruba,2020-03-13,0.0
ABW,Aruba,2020-03-19,33.33
ABW,Aruba,2020-03-20,33.33
ABW,Aruba,2020-03-21,44.44
ABW,Aruba,2020-03-22,44.44
ABW,Aruba,2020-03-23,44.44
ABW,Aruba,2020-03-24,44.44
ABW,Aruba,2020-03-25,44.44
ABW,Aruba,2020-03-26,44.44
ABW,Aruba,2020-03-27,44.44
ABW,Aruba,2020-03-28,44.44
ABW,Aruba,2020-03-29,85.19
ABW,Aruba,2020-03-30,85.19
ABW,Aruba,2020-03-31,85.19
ABW,Aruba,2020-04-01,85.19
ABW,Aruba,2020-04-02,85.19
ABW,Aruba,2020-04-03,85.19
ABW,Aruba,2020-04-04,85.19
ABW,Aruba,2020-04-05,85.19
ABW,Aruba,2020-04-06,85.19
ABW,Aruba,2020-04-07,85.19
ABW,Aruba,2020-04-08,85.19
ABW,Aruba,2020-04-09,85.19
ABW,Aruba,2020-04-10,88.89
ABW,Aruba,2020-04-11,85.19
ABW,Aruba,2020-04-12,88.89
ABW,Aruba,2020-04-13,88.89
ABW,Aruba,2020-04-14,85.19
ABW,Aruba,2020-04-15,85.19
ABW,Aruba,2020-04-16,85.19
ABW,Aruba,2020-04-17,85.19
ABW,Aruba,2020-04-18,85.19
ABW,Aruba,2020-04-19,85.19
ABW,Aruba,2020-04-20,85.19
ABW,Aruba,2020-04-21,85.19
ABW,Aruba,2020-04-22,85.19
ABW,Aruba,2020-04-23,85.19
ABW,Aruba,2020-04-24,85.19
ABW,Aruba,2020-04-25,85.19
ABW,Aruba,2020-04-26,85.19
ABW,Aruba,2020-04-27,85.19
ABW,Aruba,2020-04-28,85.19
ABW,Aruba,2020-04-29,85.19
ABW,Aruba,2020-04-30,85.19
ABW,Aruba,2020-05-01,85.19
ABW,Aruba,2020-05-02,85.19
ABW,Aruba,2020-05-03,85.19
ABW,Aruba,2020-05-04,81.48
ABW,Aruba,2020-05-05,81.48
ABW,Aruba,2020-05-06,81.48
ABW,Aruba,2020-05-07,81.48
ABW,Aruba,2020-05-08,81.48
ABW,Aruba,2020-05-09,81.48
ABW,Aruba,2020-05-10,81.48
ABW,Aruba,2020-05-11,81.48
ABW,Aruba,2020-05-12,81.48
ABW,Aruba,2020-05-13,81.48
ABW,Aruba,2020-05-14,81.48
ABW,Aruba,2020-05-15,81.48
ABW,Aruba,2020-05-16,81.48
ABW,Aruba,2020-05-17,81.48
ABW,Aruba,2020-05-18,48.15
ABW,Aruba,2020-05-19,48.15
ABW,Aruba,2020-05-20,48.15
ABW,Aruba,2020-05-21,48.15
ABW,Aruba,2020-05-22,48.15
ABW,Aruba,2020-05-23,48.15
ABW,Aruba,2020-05-24,48.15
ABW,Aruba,2020-05-25,48.15
ABW,Aruba,2020-05-26,48.15
ABW,Aruba,2020-05-27,48.15
ABW,Aruba,2020-05-28,44.44
ABW,Aruba,2020-05-29,44.44
ABW,Aruba,2020-05-30,44.44
ABW,Aruba,2020-05-31,38.89
ABW,Aruba,2020-06-01,38.89
ABW,Aruba,2020-06-02,38.89
ABW,Aruba,2020-06-03,38.89
ABW,Aruba,2020-06-04,38.89
ABW,Aruba,2020-06-05,38.89
ABW,Aruba,2020-06-06,38.89
ABW,Aruba,2020-06-07,38.89
ABW,Aruba,2020-06-08,38.89
ABW,Aruba,2020-06-09,38.89
ABW,Aruba,2020-06-10,32.41
ABW,Aruba,2020-06-11,32.41
ABW,Aruba,2020-06-12,32.41
ABW,Aruba,2020-06-13,32.41
ABW,Aruba,2020-06-14,32.41
ABW,Aruba,2020-06-15,32.41
ABW,Aruba,2020-06-16,32.41
ABW,Aruba,2020-06-17,32.41
ABW,Aruba,2020-06-18,32.41
ABW,Aruba,2020-06-19,32.41
ABW,Aruba,2020-06-20,32.41
ABW,Aruba,2020-06-21,32.41
ABW,Aruba,2020-06-22,32.41
ABW,Aruba,2020-06-23,32.41
ABW,Aruba,2020-06-24,32.41
ABW,Aruba,2020-06-25,32.41
ABW,Aruba,2020-06-26,32.41
ABW,Aruba,2020-06-27,32.41
ABW,Aruba,2020-06-28,32.41
