iso_code,country,date,owid_total_cases
AFG,Afghanistan,2020-02-24,1.0
AFG,Afghanistan,2020-02-25,1.0
AFG,Afghanistan,2020-02-26,1.0
AFG,Afghanistan,2020-02-27,1.0
AFG,Afghanistan,2020-02-28,1.0
AFG,Afghanistan,2020-02-29,1.0
AFG,Afghanistan,2020-03-01,1.0
AFG,Afghanistan,2020-03-02,1.0
AFG,Afghanistan,2020-03-03,2.0
AFG,Afghanistan,2020-03-04,4.0
AFG,Afghanistan,2020-03-05,4.0
AFG,Afghanistan,2020-03-06,4.0
AFG,Afghanistan,2020-03-07,4.0
AFG,Afghanistan,2020-03-08,5.0
AFG,Afghanistan,2020-03-09,7.0
AFG,Afghanistan,2020-03-10,8.0
AFG,Afghanistan,2020-03-11,11.0
AFG,Afghanistan,2020-03-12,12.0
AFG,Afghanistan,2020-03-13,13.0
AFG,Afghanistan,2020-03-14,15.0
AFG,Afghanistan,2020-03-15,16.0
AFG,Afghanistan,2020-03-16,18.0
AFG,Afghanistan,2020-03-17,20.0
AFG,Afghanistan,2020-03-18,24.0
AFG,Afghanistan,2020-03-19,25.0
AFG,Afghanistan,2020-03-20,29.0
AFG,Afghanistan,2020-03-21,30.0
AFG,Afghanistan,2020-03-22,34.0
AFG,Afghanistan,2020-03-23,41.0
AFG,Afghanistan,2020-03-24,43.0
AFG,Afghanistan,2020-03-25,76.0
AFG,Afghanistan,2020-03-26,80.0
AFG,Afghanistan,2020-03-27,91.0
AFG,Afghanistan,2020-03-28,107.0
AFG,Afghanistan,2020-03-29,118.0
AFG,Afghanistan,2020-03-30,146.0
AFG,Afghanistan,2020-03-31,175.0
AFG,Afghanistan,2020-04-01,197.0
AFG,Afghanistan,2020-04-02,240.0
AFG,Afghanistan,2020-04-03,275.0
AFG,Afghanistan,2020-04-04,300.0
AFG,Afghanistan,2020-04-05,338.0
AFG,Afghanistan,2020-04-06,368.0
AFG,Afghanistan,2020-04-07,424.0
AFG,Afghanistan,2020-04-08,445.0
AFG,Afghanistan,2020-04-09,485.0
AFG,Afghanistan,2020-04-10,532.0
AFG,Afghanistan,2020-04-11,556.0
AFG,Afghanistan,2020-04-12,608.0
AFG,Afghanistan,2020-04-13,666.0
AFG,Afghanistan,2020-04-14,715.0
AFG,Afghanistan,2020-04-15,785.0
AFG,Afghanistan,2020-04-16,841.0
AFG,Afghanistan,2020-04-17,907.0
AFG,Afghanistan,2020-04-18,934.0
AFG,Afghanistan,2020-04-19,997.0
AFG,Afghanistan,2020-04-20,1027.0
AFG,Afghanistan,2020-04-21,1093.0
AFG,Afghanistan,2020-04-22,1177.0
AFG,Afghanistan,2020-04-23,1236.0
AFG,Afghanistan,2020-04-24,1331.0
AFG,Afghanistan,2020-04-25,1464.0
AFG,Afghanistan,2020-04-26,1532.0
AFG,Afghanistan,2020-04-27,1704.0
AFG,Afghanistan,2020-04-28,1830.0
AFG,Afghanistan,2020-04-29,1940.0
AFG,Afghanistan,2020-04-30,2127.0
AFG,Afghanistan,2020-05-01,2291.0
AFG,Afghanistan,2020-05-02,2470.0
AFG,Afghanistan,2020-05-03,2705.0
AFG,Afghanistan,2020-05-04,2895.0
AFG,Afghanistan,2020-05-05,3225.0
AFG,Afghanistan,2020-05-06,3393.0
AFG,Afghanistan,2020-05-07,3564.0
AFG,Afghanistan,2020-05-08,3781.0
AFG,Afghanistan,2020-05-09,4042.0
AFG,Afghanistan,2020-05-10,4403.0
AFG,Afghanistan,2020-05-11,4687.0
AFG,Afghanistan,2020-05-12,4968.0
AFG,Afghanistan,2020-05-13,5227.0
AFG,Afghanistan,2020-05-14,5640.0
AFG,Afghanistan,2020-05-15,6054.0
AFG,Afghanistan,2020-05-16,6403.0
AFG,Afghanistan,2020-05-17,6665.0
AFG,Afghanistan,2020-05-18,7073.0
AFG,Afghanistan,2020-05-19,7654.0
AFG,Afghanistan,2020-05-20,8146.0
AFG,Afghanistan,2020-05-21,8677.0
AFG,Afghanistan,2020-05-22,9219.0
AFG,Afghanistan,2020-05-23,10001.0
AFG,Afghanistan,2020-05-24,10585.0
AFG,Afghanistan,2020-05-25,11176.0
AFG,Afghanistan,2020-05-26,11834.0
AFG,Afghanistan,2020-05-27,12459.0
AFG,Afghanistan,2020-05-28,13039.0
AFG,Afghanistan,2020-05-29,13662.0
AFG,Afghanistan,2020-05-30,14528.0
AFG,Afghanistan,2020-05-31,15208.0
AFG,Afghanistan,2020-06-01,15753.0
AFG,Afghanistan,2020-06-02,16512.0
AFG,Afghanistan,2020-06-03,17270.0
AFG,Afghanistan,2020-06-04,18057.0
AFG,Afghanistan,2020-06-05,18972.0
AFG,Afghanistan,2020-06-06,19554.0
AFG,Afghanistan,2020-06-07,20345.0
AFG,Afghanistan,2020-06-08,20920.0
AFG,Afghanistan,2020-06-09,21462.0
AFG,Afghanistan,2020-06-10,22146.0
AFG,Afghanistan,2020-06-11,22894.0
