iso_code,country,date,owid_weekly_excess_mortality_p_score_15_64
AUT,Austria,2020-01-05,-4.56
AUT,Austria,2020-01-12,-1.45
AUT,Austria,2020-01-19,-7.32
AUT,Austria,2020-01-26,14.2
AUT,Austria,2020-02-02,-5.91
AUT,Austria,2020-02-09,-16.28
AUT,Austria,2020-02-16,-4.52
AUT,Austria,2020-02-23,-6.12
AUT,Austria,2020-03-01,-2.48
AUT,Austria,2020-03-08,6.27
AUT,Austria,2020-03-15,5.4
AUT,Austria,2020-03-22,11.83
AUT,Austria,2020-03-29,6.07
AUT,Austria,2020-04-05,12.8
AUT,Austria,2020-04-12,14.38
AUT,Austria,2020-04-19,3.67
AUT,Austria,2020-04-26,7.78
AUT,Austria,2020-05-03,8.21
AUT,Austria,2020-05-10,5.43
AUT,Austria,2020-05-17,-5.35
AUT,Austria,2020-05-24,-6.86
AUT,Austria,2020-05-31,14.3
AUT,Austria,2020-06-07,11.69
AUT,Austria,2020-06-14,-0.27
AUT,Austria,2020-06-21,-6.08
AUT,Austria,2020-06-28,-6.57
AUT,Austria,2020-07-05,1.21
AUT,Austria,2020-07-12,-1.09
AUT,Austria,2020-07-19,-10.12
AUT,Austria,2020-07-26,2.05
AUT,Austria,2020-08-02,0.26
AUT,Austria,2020-08-09,-0.54
AUT,Austria,2020-08-16,-2.61
AUT,Austria,2020-08-23,-8.64
AUT,Austria,2020-08-30,-3.83
AUT,Austria,2020-09-06,4.03
AUT,Austria,2020-09-13,19.25
AUT,Austria,2020-09-20,2.16
AUT,Austria,2020-09-27,-1.01
AUT,Austria,2020-10-04,-2.39
AUT,Austria,2020-10-11,10.95
AUT,Austria,2020-10-18,3.14
AUT,Austria,2020-10-25,4.15
AUT,Austria,2020-11-01,12.83
AUT,Austria,2020-11-08,16.39
AUT,Austria,2020-11-15,-1.82
AUT,Austria,2020-11-22,33.76
AUT,Austria,2020-11-29,18.58
AUT,Austria,2020-12-06,27.98
AUT,Austria,2020-12-13,31.32
AUT,Austria,2020-12-20,15.73
AUT,Austria,2020-12-27,-0.52
AUT,Austria,2021-01-03,0.78
AUT,Austria,2021-01-10,-4.23
AUT,Austria,2021-01-17,-0.37
AUT,Austria,2021-01-24,-8.55
BEL,Belgium,2020-01-05,-6.12
BEL,Belgium,2020-01-12,-1.25
BEL,Belgium,2020-01-19,-12.04
BEL,Belgium,2020-01-26,-11.95
BEL,Belgium,2020-02-02,0.87
BEL,Belgium,2020-02-09,-4.24
BEL,Belgium,2020-02-16,-3.64
BEL,Belgium,2020-02-23,-1.76
BEL,Belgium,2020-03-01,-22.72
BEL,Belgium,2020-03-08,-7.1
BEL,Belgium,2020-03-15,5.95
BEL,Belgium,2020-03-22,-0.28
BEL,Belgium,2020-03-29,7.73
BEL,Belgium,2020-04-05,26.41
BEL,Belgium,2020-04-12,26.43
BEL,Belgium,2020-04-19,8.99
BEL,Belgium,2020-04-26,10.07
BEL,Belgium,2020-05-03,-5.91
BEL,Belgium,2020-05-10,-5.78
BEL,Belgium,2020-05-17,-1.18
BEL,Belgium,2020-05-24,-5.29
BEL,Belgium,2020-05-31,5.76
BEL,Belgium,2020-06-07,-12.14
BEL,Belgium,2020-06-14,-0.53
BEL,Belgium,2020-06-21,-12.14
BEL,Belgium,2020-06-28,-6.41
BEL,Belgium,2020-07-05,-10.98
BEL,Belgium,2020-07-12,-8.46
BEL,Belgium,2020-07-19,-5.21
BEL,Belgium,2020-07-26,-11.84
BEL,Belgium,2020-08-02,-2.56
BEL,Belgium,2020-08-09,-8.09
BEL,Belgium,2020-08-16,23.75
BEL,Belgium,2020-08-23,7.33
BEL,Belgium,2020-08-30,-10.97
BEL,Belgium,2020-09-06,8.11
BEL,Belgium,2020-09-13,0.95
BEL,Belgium,2020-09-20,-3.19
BEL,Belgium,2020-09-27,2.87
BEL,Belgium,2020-10-04,-10.74
BEL,Belgium,2020-10-11,-4.3
BEL,Belgium,2020-10-18,8.65
BEL,Belgium,2020-10-25,12.78
BEL,Belgium,2020-11-01,24.41
BEL,Belgium,2020-11-08,25.9
BEL,Belgium,2020-11-15,25.9
BEL,Belgium,2020-11-22,12.16
BEL,Belgium,2020-11-29,8.01
BEL,Belgium,2020-12-06,9.93
BEL,Belgium,2020-12-13,9.77
BEL,Belgium,2020-12-20,-5.45
BEL,Belgium,2020-12-27,-6.93
BEL,Belgium,2021-01-03,-3.75
BEL,Belgium,2021-01-10,-16.42
BEL,Belgium,2021-01-17,-11.96
BGR,Bulgaria,2020-01-05,-22.02
BGR,Bulgaria,2020-01-12,-11.42
BGR,Bulgaria,2020-01-19,-16.76
BGR,Bulgaria,2020-01-26,-5.84
BGR,Bulgaria,2020-02-02,-9.3
BGR,Bulgaria,2020-02-09,2.51
BGR,Bulgaria,2020-02-16,7.33
BGR,Bulgaria,2020-02-23,-2.62
BGR,Bulgaria,2020-03-01,-8.88
BGR,Bulgaria,2020-03-08,-15.08
BGR,Bulgaria,2020-03-15,-3.52
BGR,Bulgaria,2020-03-22,-8.34
BGR,Bulgaria,2020-03-29,-9.28
BGR,Bulgaria,2020-04-05,4.02
BGR,Bulgaria,2020-04-12,1.5
BGR,Bulgaria,2020-04-19,8.31
BGR,Bulgaria,2020-04-26,0.77
BGR,Bulgaria,2020-05-03,-3.65
BGR,Bulgaria,2020-05-10,-7.39
BGR,Bulgaria,2020-05-17,-1.4
BGR,Bulgaria,2020-05-24,-7.56
BGR,Bulgaria,2020-05-31,-9.16
BGR,Bulgaria,2020-06-07,-9.05
BGR,Bulgaria,2020-06-14,2.96
BGR,Bulgaria,2020-06-21,4.41
BGR,Bulgaria,2020-06-28,-0.44
BGR,Bulgaria,2020-07-05,11.17
BGR,Bulgaria,2020-07-12,1.78
