iso_code,country,date,sdsn_positive_rate_smoothed
ARE,United Arab Emirates,2020-02-11,0.0028571428571428576
ARE,United Arab Emirates,2020-02-12,0.002625
ARE,United Arab Emirates,2020-02-13,0.002444444444444445
ARE,United Arab Emirates,2020-02-14,0.0023000000000000004
ARE,United Arab Emirates,2020-02-15,0.002090909090909091
ARE,United Arab Emirates,2020-02-16,0.001916666666666667
ARE,United Arab Emirates,2020-02-17,0.0018461538461538465
ARE,United Arab Emirates,2020-02-18,0.0017142857142857146
ARE,United Arab Emirates,2020-02-19,0.001142857142857143
ARE,United Arab Emirates,2020-02-20,0.0010000000000000002
ARE,United Arab Emirates,2020-02-21,0.0008571428571428572
ARE,United Arab Emirates,2020-02-22,0.0005
ARE,United Arab Emirates,2020-02-23,0.0005
ARE,United Arab Emirates,2020-02-24,0.0005
ARE,United Arab Emirates,2020-02-25,0.0005
ARE,United Arab Emirates,2020-02-26,0.0005
ARE,United Arab Emirates,2020-02-27,0.0005
ARE,United Arab Emirates,2020-02-28,0.0005
ARE,United Arab Emirates,2020-02-29,0.0005714285714285715
ARE,United Arab Emirates,2020-03-01,0.0006428571428571429
ARE,United Arab Emirates,2020-03-02,0.0006428571428571429
ARE,United Arab Emirates,2020-03-03,0.0007142857142857144
ARE,United Arab Emirates,2020-03-04,0.000785714285714286
ARE,United Arab Emirates,2020-03-05,0.000785714285714286
ARE,United Arab Emirates,2020-03-06,0.000785714285714286
ARE,United Arab Emirates,2020-03-07,0.000785714285714286
ARE,United Arab Emirates,2020-03-08,0.000785714285714286
ARE,United Arab Emirates,2020-03-09,0.000785714285714286
ARE,United Arab Emirates,2020-03-10,0.000785714285714286
ARE,United Arab Emirates,2020-03-11,0.0008571428571428573
ARE,United Arab Emirates,2020-03-12,0.0009285714285714287
ARE,United Arab Emirates,2020-03-13,0.001
ARE,United Arab Emirates,2020-03-14,0.0010714285714285715
ARE,United Arab Emirates,2020-03-15,0.0010714285714285715
ARE,United Arab Emirates,2020-03-16,0.0010714285714285717
ARE,United Arab Emirates,2020-03-17,0.0010714285714285717
ARE,United Arab Emirates,2020-03-18,0.0010714285714285717
ARE,United Arab Emirates,2020-03-19,0.0011428571428571432
ARE,United Arab Emirates,2020-03-20,0.0012142857142857146
ARE,United Arab Emirates,2020-03-21,0.001285714285714286
ARE,United Arab Emirates,2020-03-22,0.001285714285714286
ARE,United Arab Emirates,2020-03-23,0.001285714285714286
ARE,United Arab Emirates,2020-03-24,0.0013571428571428573
ARE,United Arab Emirates,2020-03-25,0.0013571428571428573
ARE,United Arab Emirates,2020-03-26,0.0015
ARE,United Arab Emirates,2020-03-27,0.0015714285714285715
ARE,United Arab Emirates,2020-03-28,0.0017142857142857144
ARE,United Arab Emirates,2020-03-29,0.002
ARE,United Arab Emirates,2020-03-30,0.002428571428571429
ARE,United Arab Emirates,2020-03-31,0.002785714285714286
ARE,United Arab Emirates,2020-04-01,0.0030714285714285713
ARE,United Arab Emirates,2020-04-02,0.0033571428571428567
ARE,United Arab Emirates,2020-04-03,0.0037142857142857142
ARE,United Arab Emirates,2020-04-04,0.0040714285714285705
ARE,United Arab Emirates,2020-04-05,0.004357142857142856
ARE,United Arab Emirates,2020-04-06,0.004642857142857142
ARE,United Arab Emirates,2020-04-07,0.004857142857142858
ARE,United Arab Emirates,2020-04-08,0.005142857142857143
ARE,United Arab Emirates,2020-04-09,0.005285714285714285
ARE,United Arab Emirates,2020-04-10,0.0055
ARE,United Arab Emirates,2020-04-11,0.005642857142857143
ARE,United Arab Emirates,2020-04-12,0.005857142857142857
ARE,United Arab Emirates,2020-04-13,0.005928571428571428
ARE,United Arab Emirates,2020-04-14,0.006214285714285713
ARE,United Arab Emirates,2020-04-15,0.006642857142857143
ARE,United Arab Emirates,2020-04-16,0.007142857142857143
ARE,United Arab Emirates,2020-04-17,0.0077142857142857135
ARE,United Arab Emirates,2020-04-18,0.008357142857142856
ARE,United Arab Emirates,2020-04-19,0.009071428571428572
ARE,United Arab Emirates,2020-04-20,0.009785714285714286
ARE,United Arab Emirates,2020-04-21,0.010642857142857145
ARE,United Arab Emirates,2020-04-22,0.011571428571428571
ARE,United Arab Emirates,2020-04-23,0.012499999999999999
ARE,United Arab Emirates,2020-04-24,0.013428571428571427
ARE,United Arab Emirates,2020-04-25,0.014428571428571426
ARE,United Arab Emirates,2020-04-26,0.015285714285714283
ARE,United Arab Emirates,2020-04-27,0.01614285714285714
ARE,United Arab Emirates,2020-04-28,0.016857142857142852
ARE,United Arab Emirates,2020-04-29,0.017499999999999995
ARE,United Arab Emirates,2020-04-30,0.017999999999999995
ARE,United Arab Emirates,2020-05-01,0.018357142857142853
ARE,United Arab Emirates,2020-05-02,0.01871428571428571
ARE,United Arab Emirates,2020-05-03,0.01907142857142857
ARE,United Arab Emirates,2020-05-04,0.01942857142857143
ARE,United Arab Emirates,2020-05-05,0.01964285714285714
ARE,United Arab Emirates,2020-05-06,0.01957142857142857
ARE,United Arab Emirates,2020-05-07,0.019499999999999997
ARE,United Arab Emirates,2020-05-08,0.01942857142857143
ARE,United Arab Emirates,2020-05-09,0.019214285714285715
ARE,United Arab Emirates,2020-05-10,0.019000000000000006
ARE,United Arab Emirates,2020-05-11,0.01878571428571429
ARE,United Arab Emirates,2020-05-12,0.018642857142857152
ARE,United Arab Emirates,2020-05-13,0.01857142857142858
ARE,United Arab Emirates,2020-05-14,0.01864285714285715
ARE,United Arab Emirates,2020-05-15,0.018714285714285718
ARE,United Arab Emirates,2020-05-16,0.018714285714285715
ARE,United Arab Emirates,2020-05-17,0.018714285714285715
ARE,United Arab Emirates,2020-05-18,0.018642857142857138
ARE,United Arab Emirates,2020-05-19,0.01857142857142857
ARE,United Arab Emirates,2020-05-20,0.018642857142857138
ARE,United Arab Emirates,2020-05-21,0.01871428571428571
ARE,United Arab Emirates,2020-05-22,0.018857142857142854
ARE,United Arab Emirates,2020-05-23,0.01914285714285714
ARE,United Arab Emirates,2020-05-24,0.01942857142857143
ARE,United Arab Emirates,2020-05-25,0.019857142857142858
ARE,United Arab Emirates,2020-05-26,0.020214285714285712
ARE,United Arab Emirates,2020-05-27,0.02057142857142857
ARE,United Arab Emirates,2020-05-28,0.020857142857142855
ARE,United Arab Emirates,2020-05-29,0.020999999999999998
ARE,United Arab Emirates,2020-05-30,0.021142857142857147
ARE,United Arab Emirates,2020-05-31,0.021214285714285713
ARE,United Arab Emirates,2020-06-01,0.021214285714285713
ARE,United Arab Emirates,2020-06-02,0.02114285714285714
ARE,United Arab Emirates,2020-06-03,0.02092857142857143
ARE,United Arab Emirates,2020-06-04,0.02064285714285714
ARE,United Arab Emirates,2020-06-05,0.02028571428571429
ARE,United Arab Emirates,2020-06-06,0.019857142857142858
ARE,United Arab Emirates,2020-06-07,0.01935714285714286
ARE,United Arab Emirates,2020-06-08,0.018714285714285718
ARE,United Arab Emirates,2020-06-09,0.018071428571428575
ARE,United Arab Emirates,2020-06-10,0.01735714285714286
ARE,United Arab Emirates,2020-06-11,0.01664285714285715
ARE,United Arab Emirates,2020-06-12,0.016071428571428577
ARE,United Arab Emirates,2020-06-13,0.015500000000000005
ARE,United Arab Emirates,2020-06-14,0.014928571428571433
ARE,United Arab Emirates,2020-06-15,0.014500000000000004
ARE,United Arab Emirates,2020-06-16,0.014071428571428577
ARE,United Arab Emirates,2020-06-17,0.013714285714285719
ARE,United Arab Emirates,2020-06-18,0.013428571428571432
ARE,United Arab Emirates,2020-06-19,0.013071428571428576
ARE,United Arab Emirates,2020-06-20,0.012642857142857145
ARE,United Arab Emirates,2020-06-21,0.012285714285714287
ARE,United Arab Emirates,2020-06-22,0.01192857142857143
ARE,United Arab Emirates,2020-06-23,0.011571428571428575
ARE,United Arab Emirates,2020-06-24,0.011214285714285717
ARE,United Arab Emirates,2020-06-25,0.010785714285714289
ARE,United Arab Emirates,2020-06-26,0.01035714285714286
ARE,United Arab Emirates,2020-06-27,0.00992857142857143
ARE,United Arab Emirates,2020-06-28,0.009571428571428574
ARE,United Arab Emirates,2020-06-29,0.009214285714285717
ARE,United Arab Emirates,2020-06-30,0.008928571428571433
ARE,United Arab Emirates,2020-07-01,0.008714285714285718
ARE,United Arab Emirates,2020-07-02,0.008428571428571433
ARE,United Arab Emirates,2020-07-03,0.008214285714285717
ARE,United Arab Emirates,2020-07-04,0.008142857142857146
ARE,United Arab Emirates,2020-07-05,0.008214285714285717
ARE,United Arab Emirates,2020-07-06,0.008357142857142858
ARE,United Arab Emirates,2020-07-07,0.0085
ARE,United Arab Emirates,2020-07-08,0.008714285714285714
ARE,United Arab Emirates,2020-07-09,0.009
ARE,United Arab Emirates,2020-07-10,0.009285714285714284
ARE,United Arab Emirates,2020-07-11,0.00957142857142857
ARE,United Arab Emirates,2020-07-12,0.009785714285714286
ARE,United Arab Emirates,2020-07-13,0.009928571428571429
ARE,United Arab Emirates,2020-07-14,0.01007142857142857
ARE,United Arab Emirates,2020-07-15,0.010142857142857143
ARE,United Arab Emirates,2020-07-16,0.010285714285714287
ARE,United Arab Emirates,2020-07-17,0.010357142857142858
ARE,United Arab Emirates,2020-07-18,0.010285714285714287
ARE,United Arab Emirates,2020-07-19,0.010071428571428573
ARE,United Arab Emirates,2020-07-20,0.009714285714285717
ARE,United Arab Emirates,2020-07-21,0.009357142857142859
ARE,United Arab Emirates,2020-07-22,0.00892857142857143
ARE,United Arab Emirates,2020-07-23,0.008500000000000002
ARE,United Arab Emirates,2020-07-24,0.008071428571428573
ARE,United Arab Emirates,2020-07-25,0.007642857142857146
ARE,United Arab Emirates,2020-07-26,0.007285714285714289
ARE,United Arab Emirates,2020-07-27,0.007000000000000002
ARE,United Arab Emirates,2020-07-28,0.006714285714285716
ARE,United Arab Emirates,2020-07-29,0.0065000000000000014
ARE,United Arab Emirates,2020-07-30,0.006285714285714288
ARE,United Arab Emirates,2020-07-31,0.006214285714285716
ARE,United Arab Emirates,2020-08-01,0.006214285714285716
ARE,United Arab Emirates,2020-08-02,0.006214285714285716
ARE,United Arab Emirates,2020-08-03,0.006285714285714288
ARE,United Arab Emirates,2020-08-04,0.006357142857142859
ARE,United Arab Emirates,2020-08-05,0.006357142857142859
ARE,United Arab Emirates,2020-08-06,0.006357142857142859
ARE,United Arab Emirates,2020-08-07,0.006214285714285716
ARE,United Arab Emirates,2020-08-08,0.006142857142857144
ARE,United Arab Emirates,2020-08-09,0.006071428571428573
ARE,United Arab Emirates,2020-08-10,0.00592857142857143
ARE,United Arab Emirates,2020-08-11,0.0057857142857142855
ARE,United Arab Emirates,2020-08-12,0.005642857142857143
ARE,United Arab Emirates,2020-08-13,0.0055
ARE,United Arab Emirates,2020-08-14,0.005214285714285715
ARE,United Arab Emirates,2020-08-15,0.005000000000000002
ARE,United Arab Emirates,2020-08-16,0.004785714285714287
ARE,United Arab Emirates,2020-08-17,0.004571428571428573
ARE,United Arab Emirates,2020-08-18,0.004357142857142859
ARE,United Arab Emirates,2020-08-19,0.004214285714285716
ARE,United Arab Emirates,2020-08-20,0.004071428571428573
ARE,United Arab Emirates,2020-08-21,0.004142857142857144
ARE,United Arab Emirates,2020-08-22,0.0041428571428571434
ARE,United Arab Emirates,2020-08-23,0.0041428571428571434
ARE,United Arab Emirates,2020-08-24,0.004214285714285714
ARE,United Arab Emirates,2020-08-25,0.004285714285714285
ARE,United Arab Emirates,2020-08-26,0.004357142857142856
ARE,United Arab Emirates,2020-08-27,0.0044285714285714275
ARE,United Arab Emirates,2020-08-28,0.004642857142857142
ARE,United Arab Emirates,2020-08-29,0.004714285714285713
ARE,United Arab Emirates,2020-08-30,0.004785714285714285
ARE,United Arab Emirates,2020-08-31,0.004857142857142858
ARE,United Arab Emirates,2020-09-01,0.004928571428571429
ARE,United Arab Emirates,2020-09-02,0.005071428571428572
ARE,United Arab Emirates,2020-09-03,0.005214285714285714
ARE,United Arab Emirates,2020-09-04,0.005285714285714285
ARE,United Arab Emirates,2020-09-05,0.005428571428571428
ARE,United Arab Emirates,2020-09-06,0.00557142857142857
ARE,United Arab Emirates,2020-09-07,0.005785714285714285
ARE,United Arab Emirates,2020-09-08,0.005999999999999999
ARE,United Arab Emirates,2020-09-09,0.006214285714285716
ARE,United Arab Emirates,2020-09-10,0.00642857142857143
ARE,United Arab Emirates,2020-09-11,0.006642857142857145
ARE,United Arab Emirates,2020-09-12,0.006928571428571431
ARE,United Arab Emirates,2020-09-13,0.007285714285714287
ARE,United Arab Emirates,2020-09-14,0.007642857142857144
ARE,United Arab Emirates,2020-09-15,0.008
ARE,United Arab Emirates,2020-09-16,0.008285714285714285
ARE,United Arab Emirates,2020-09-17,0.00857142857142857
ARE,United Arab Emirates,2020-09-18,0.008785714285714284
ARE,United Arab Emirates,2020-09-19,0.008928571428571428
ARE,United Arab Emirates,2020-09-20,0.009
ARE,United Arab Emirates,2020-09-21,0.009000000000000003
ARE,United Arab Emirates,2020-09-22,0.009000000000000003
ARE,United Arab Emirates,2020-09-23,0.009000000000000005
ARE,United Arab Emirates,2020-09-24,0.009071428571428576
ARE,United Arab Emirates,2020-09-25,0.009071428571428576
ARE,United Arab Emirates,2020-09-26,0.009071428571428576
ARE,United Arab Emirates,2020-09-27,0.009071428571428576
ARE,United Arab Emirates,2020-09-28,0.009071428571428574
ARE,United Arab Emirates,2020-09-29,0.009071428571428574
ARE,United Arab Emirates,2020-09-30,0.009071428571428572
ARE,United Arab Emirates,2020-10-01,0.009071428571428572
ARE,United Arab Emirates,2020-10-02,0.009142857142857142
ARE,United Arab Emirates,2020-10-03,0.009214285714285713
ARE,United Arab Emirates,2020-10-04,0.009357142857142856
ARE,United Arab Emirates,2020-10-05,0.009499999999999998
ARE,United Arab Emirates,2020-10-06,0.009714285714285713
ARG,Argentina,2020-03-17,0.11357142857142856
ARG,Argentina,2020-03-18,0.11075
ARG,Argentina,2020-03-19,0.10988888888888888
ARG,Argentina,2020-03-20,0.1099
ARG,Argentina,2020-03-21,0.10990909090909091
ARG,Argentina,2020-03-22,0.11258333333333333
ARG,Argentina,2020-03-23,0.11523076923076923
ARG,Argentina,2020-03-24,0.11692857142857142
ARG,Argentina,2020-03-25,0.118
ARG,Argentina,2020-03-26,0.12264285714285715
ARG,Argentina,2020-03-27,0.12742857142857142
ARG,Argentina,2020-03-28,0.1355
ARG,Argentina,2020-03-29,0.1402857142857143
ARG,Argentina,2020-03-30,0.14485714285714285
ARG,Argentina,2020-03-31,0.151
ARG,Argentina,2020-04-01,0.15507142857142858
ARG,Argentina,2020-04-02,0.15728571428571428
ARG,Argentina,2020-04-03,0.15635714285714286
ARG,Argentina,2020-04-04,0.15500000000000003
ARG,Argentina,2020-04-05,0.15264285714285714
ARG,Argentina,2020-04-06,0.14957142857142855
ARG,Argentina,2020-04-07,0.14564285714285713
ARG,Argentina,2020-04-08,0.1407142857142857
ARG,Argentina,2020-04-09,0.1335714285714286
ARG,Argentina,2020-04-10,0.12642857142857142
ARG,Argentina,2020-04-11,0.1172857142857143
ARG,Argentina,2020-04-12,0.11014285714285717
ARG,Argentina,2020-04-13,0.10285714285714287
ARG,Argentina,2020-04-14,0.09378571428571429
ARG,Argentina,2020-04-15,0.08842857142857141
ARG,Argentina,2020-04-16,0.08335714285714284
ARG,Argentina,2020-04-17,0.08092857142857143
ARG,Argentina,2020-04-18,0.07892857142857142
ARG,Argentina,2020-04-19,0.07564285714285712
ARG,Argentina,2020-04-20,0.07278571428571427
ARG,Argentina,2020-04-21,0.0712142857142857
ARG,Argentina,2020-04-22,0.06892857142857142
ARG,Argentina,2020-04-23,0.06814285714285716
ARG,Argentina,2020-04-24,0.06635714285714288
ARG,Argentina,2020-04-25,0.06457142857142859
ARG,Argentina,2020-04-26,0.06385714285714286
ARG,Argentina,2020-04-27,0.06314285714285715
ARG,Argentina,2020-04-28,0.06335714285714288
ARG,Argentina,2020-04-29,0.06300000000000001
ARG,Argentina,2020-04-30,0.06342857142857143
ARG,Argentina,2020-05-01,0.06400000000000002
ARG,Argentina,2020-05-02,0.06535714285714285
ARG,Argentina,2020-05-03,0.06571428571428571
ARG,Argentina,2020-05-04,0.06649999999999999
ARG,Argentina,2020-05-05,0.0667142857142857
ARG,Argentina,2020-05-06,0.06742857142857141
ARG,Argentina,2020-05-07,0.06764285714285713
