iso_code,country,date,yougov_avoiding_contact_with_tourists
ARE,United Arab Emirates,2020-03-18,51.0
ARE,United Arab Emirates,2020-03-25,57.0
ARE,United Arab Emirates,2020-04-01,62.0
ARE,United Arab Emirates,2020-04-07,58.0
ARE,United Arab Emirates,2020-04-14,64.0
ARE,United Arab Emirates,2020-04-22,63.0
ARE,United Arab Emirates,2020-04-29,60.0
ARE,United Arab Emirates,2020-05-04,60.0
ARE,United Arab Emirates,2020-06-03,60.0
ARE,United Arab Emirates,2020-06-10,59.0
ARE,United Arab Emirates,2020-06-17,54.0
ARE,United Arab Emirates,2020-07-05,60.0
ARE,United Arab Emirates,2020-07-13,62.0
ARE,United Arab Emirates,2020-07-21,51.0
ARE,United Arab Emirates,2020-07-29,58.0
ARE,United Arab Emirates,2020-08-11,57.0
ARE,United Arab Emirates,2020-08-24,53.0
ARE,United Arab Emirates,2020-09-30,49.0
ARE,United Arab Emirates,2020-10-07,55.0
ARE,United Arab Emirates,2020-10-14,51.0
ARE,United Arab Emirates,2020-11-02,47.0
ARE,United Arab Emirates,2020-11-11,50.0
ARE,United Arab Emirates,2020-11-30,50.0
ARE,United Arab Emirates,2020-12-16,50.0
ARE,United Arab Emirates,2020-12-23,50.0
ARE,United Arab Emirates,2020-12-29,50.0
ARE,United Arab Emirates,2021-01-05,53.0
ARE,United Arab Emirates,2021-01-13,49.0
ARE,United Arab Emirates,2021-02-01,51.0
ARE,United Arab Emirates,2021-02-14,50.0
ARE,United Arab Emirates,2021-03-16,48.0
ARE,United Arab Emirates,2021-04-21,52.0
ARE,United Arab Emirates,2021-04-27,52.0
ARE,United Arab Emirates,2021-05-17,45.0
ARE,United Arab Emirates,2021-05-24,46.0
ARE,United Arab Emirates,2021-05-31,47.0
ARE,United Arab Emirates,2021-06-15,46.0
ARE,United Arab Emirates,2021-07-13,44.0
AUS,Australia,2020-03-15,28.0
AUS,Australia,2020-03-22,44.0
AUS,Australia,2020-03-29,56.0
AUS,Australia,2020-05-22,55.0
AUS,Australia,2020-08-30,43.0
CAN,Canada,2020-03-17,38.0
CAN,Canada,2020-03-23,53.0
CAN,Canada,2020-03-30,60.0
CAN,Canada,2020-04-06,57.0
CAN,Canada,2020-04-13,54.0
CAN,Canada,2020-04-20,61.0
CAN,Canada,2020-04-27,58.0
CAN,Canada,2020-05-26,46.0
CAN,Canada,2020-06-11,41.0
CAN,Canada,2020-06-26,45.0
CAN,Canada,2020-07-07,44.0
CAN,Canada,2020-07-21,48.0
CAN,Canada,2020-08-04,48.0
CAN,Canada,2020-08-24,47.0
CAN,Canada,2020-09-01,45.0
CAN,Canada,2020-10-30,45.0
CAN,Canada,2020-11-27,50.0
CAN,Canada,2021-01-27,48.0
CAN,Canada,2021-02-28,45.0
CHN,China,2020-02-24,58.0
CHN,China,2020-03-02,59.0
CHN,China,2020-03-09,61.0
CHN,China,2020-03-16,55.0
CHN,China,2020-03-23,62.0
CHN,China,2020-03-30,64.0
CHN,China,2020-04-06,62.0
CHN,China,2020-04-13,61.0
CHN,China,2020-04-20,59.0
CHN,China,2020-04-27,62.0
CHN,China,2020-05-04,63.0
CHN,China,2020-05-26,54.0
CHN,China,2020-06-08,55.0
CHN,China,2020-06-22,50.0
CHN,China,2020-07-06,54.0
CHN,China,2020-07-20,46.0
CHN,China,2020-08-04,49.0
CHN,China,2020-08-17,48.0
CHN,China,2020-08-31,50.0
CHN,China,2020-09-14,45.0
CHN,China,2020-09-28,46.0
CHN,China,2020-10-12,48.0
DEU,Germany,2020-03-04,25.0
DEU,Germany,2020-03-16,26.0
DEU,Germany,2020-03-23,43.0
DEU,Germany,2020-03-30,40.0
DEU,Germany,2020-04-13,38.0
DEU,Germany,2020-04-20,36.0
DEU,Germany,2020-04-27,36.0
DEU,Germany,2020-05-04,36.0
DEU,Germany,2020-05-25,32.0
DEU,Germany,2020-06-18,33.0
DEU,Germany,2020-07-02,34.0
DEU,Germany,2020-07-16,35.0
DEU,Germany,2020-07-30,38.0
DEU,Germany,2020-08-13,40.0
DEU,Germany,2020-08-27,37.0
DEU,Germany,2020-09-10,35.0
DEU,Germany,2020-09-24,36.0
DEU,Germany,2020-10-08,37.0
DEU,Germany,2020-10-22,36.0
DEU,Germany,2020-11-04,39.0
DEU,Germany,2020-11-19,35.0
DEU,Germany,2020-12-04,38.0
DEU,Germany,2020-12-17,36.0
DEU,Germany,2020-12-31,37.0
DEU,Germany,2021-01-18,40.0
DEU,Germany,2021-01-28,38.0
DEU,Germany,2021-02-11,35.0
DEU,Germany,2021-02-26,38.0
DEU,Germany,2021-03-11,38.0
DEU,Germany,2021-03-25,34.0
DEU,Germany,2021-04-08,36.0
DEU,Germany,2021-04-23,35.0
DEU,Germany,2021-05-06,37.0
DEU,Germany,2021-05-20,33.0
DEU,Germany,2021-06-04,35.0
DEU,Germany,2021-06-17,34.0
DEU,Germany,2021-07-01,33.0
DEU,Germany,2021-07-15,34.0
DNK,Denmark,2020-03-16,39.0
DNK,Denmark,2020-03-23,40.0
DNK,Denmark,2020-03-29,50.0
DNK,Denmark,2020-04-05,48.0
DNK,Denmark,2020-04-12,39.0
DNK,Denmark,2020-04-19,56.0
DNK,Denmark,2020-04-26,39.0
DNK,Denmark,2020-05-03,36.0
DNK,Denmark,2020-05-25,30.0
DNK,Denmark,2020-06-18,36.0
DNK,Denmark,2020-09-13,31.0
DNK,Denmark,2020-09-23,31.0
DNK,Denmark,2020-10-12,23.0
DNK,Denmark,2020-11-05,27.0
DNK,Denmark,2020-11-18,33.0
DNK,Denmark,2020-12-02,29.0
DNK,Denmark,2021-01-13,33.0
DNK,Denmark,2021-02-14,32.0
DNK,Denmark,2021-02-28,35.0
DNK,Denmark,2021-03-12,30.0
DNK,Denmark,2021-03-29,28.0
DNK,Denmark,2021-04-12,32.0
DNK,Denmark,2021-05-10,30.0
DNK,Denmark,2021-06-07,27.0
ESP,Spain,2020-03-12,22.0
ESP,Spain,2020-03-19,43.0
ESP,Spain,2020-03-25,47.0
ESP,Spain,2020-04-02,46.0
ESP,Spain,2020-04-08,45.0
ESP,Spain,2020-04-16,44.0
ESP,Spain,2020-04-23,42.0
ESP,Spain,2020-04-30,45.0
ESP,Spain,2020-05-20,44.0
ESP,Spain,2020-05-28,46.0
ESP,Spain,2020-06-08,31.0
ESP,Spain,2020-06-12,40.0
ESP,Spain,2020-06-21,37.0
ESP,Spain,2020-06-25,42.0
ESP,Spain,2020-07-09,37.0
ESP,Spain,2020-07-16,44.0
ESP,Spain,2020-07-23,42.0
ESP,Spain,2020-07-30,46.0
ESP,Spain,2020-08-06,47.0
ESP,Spain,2020-08-25,45.0
ESP,Spain,2020-09-04,48.0
