iso_code,country,date,yougov_avoiding_crowded_places
ARE,United Arab Emirates,2020-03-18,72
ARE,United Arab Emirates,2020-03-25,77
ARE,United Arab Emirates,2020-04-01,81
ARE,United Arab Emirates,2020-04-07,77
ARE,United Arab Emirates,2020-04-14,82
ARE,United Arab Emirates,2020-04-22,81
ARE,United Arab Emirates,2020-04-29,79
ARE,United Arab Emirates,2020-05-04,79
ARE,United Arab Emirates,2020-06-03,80
ARE,United Arab Emirates,2020-06-10,75
ARE,United Arab Emirates,2020-06-17,78
ARE,United Arab Emirates,2020-07-05,76
ARE,United Arab Emirates,2020-07-13,79
ARE,United Arab Emirates,2020-07-21,74
ARE,United Arab Emirates,2020-07-29,74
ARE,United Arab Emirates,2020-08-11,73
ARE,United Arab Emirates,2020-08-24,71
ARE,United Arab Emirates,2020-09-30,70
ARE,United Arab Emirates,2020-10-07,72
ARE,United Arab Emirates,2020-10-14,74
ARE,United Arab Emirates,2020-11-02,73
AUS,Australia,2020-03-15,41
AUS,Australia,2020-03-22,66
AUS,Australia,2020-03-29,80
AUS,Australia,2020-05-22,76
AUS,Australia,2020-06-05,72
AUS,Australia,2020-06-19,70
AUS,Australia,2020-07-03,72
AUS,Australia,2020-08-02,71
AUS,Australia,2020-08-30,73
CAN,Canada,2020-03-17,60
CAN,Canada,2020-03-23,77
CAN,Canada,2020-03-30,85
CAN,Canada,2020-04-06,85
CAN,Canada,2020-04-13,78
CAN,Canada,2020-04-20,86
CAN,Canada,2020-04-27,84
CAN,Canada,2020-05-26,78
CAN,Canada,2020-06-11,76
CAN,Canada,2020-06-26,75
CAN,Canada,2020-07-07,73
CAN,Canada,2020-07-21,76
CAN,Canada,2020-08-04,75
CAN,Canada,2020-08-24,76
CAN,Canada,2020-09-01,74
CHN,China,2020-02-24,85
CHN,China,2020-03-02,85
CHN,China,2020-03-09,83
CHN,China,2020-03-16,78
CHN,China,2020-03-23,82
CHN,China,2020-03-30,80
CHN,China,2020-04-06,81
CHN,China,2020-04-13,83
CHN,China,2020-04-20,79
CHN,China,2020-04-27,83
CHN,China,2020-05-04,82
CHN,China,2020-05-26,77
CHN,China,2020-06-08,74
CHN,China,2020-06-22,73
CHN,China,2020-07-06,75
CHN,China,2020-07-20,68
CHN,China,2020-08-04,73
CHN,China,2020-08-17,69
CHN,China,2020-08-31,71
CHN,China,2020-09-14,68
CHN,China,2020-09-28,67
CHN,China,2020-10-12,65
DEU,Germany,2020-03-04,38
DEU,Germany,2020-03-16,46
DEU,Germany,2020-03-23,70
DEU,Germany,2020-03-30,70
DEU,Germany,2020-04-06,68
DEU,Germany,2020-04-13,65
DEU,Germany,2020-04-20,66
DEU,Germany,2020-04-27,62
DEU,Germany,2020-05-04,62
DEU,Germany,2020-05-25,58
DEU,Germany,2020-06-18,58
DEU,Germany,2020-07-02,59
DEU,Germany,2020-07-16,62
DEU,Germany,2020-07-30,61
DEU,Germany,2020-08-13,62
DEU,Germany,2020-08-27,61
DEU,Germany,2020-09-10,59
DEU,Germany,2020-09-24,60
DEU,Germany,2020-10-08,61
DEU,Germany,2020-10-22,61
DNK,Denmark,2020-03-16,68
DNK,Denmark,2020-03-23,70
DNK,Denmark,2020-03-29,83
DNK,Denmark,2020-04-05,86
DNK,Denmark,2020-04-12,79
DNK,Denmark,2020-04-19,86
DNK,Denmark,2020-04-26,79
DNK,Denmark,2020-05-03,78
DNK,Denmark,2020-05-25,65
DNK,Denmark,2020-06-18,69
DNK,Denmark,2020-09-13,65
DNK,Denmark,2020-09-23,66
DNK,Denmark,2020-10-12,58
ESP,Spain,2020-03-12,47
ESP,Spain,2020-03-19,85
ESP,Spain,2020-03-25,85
ESP,Spain,2020-04-02,83
ESP,Spain,2020-04-08,82
ESP,Spain,2020-04-16,82
ESP,Spain,2020-04-23,77
ESP,Spain,2020-04-30,79
ESP,Spain,2020-05-20,81
ESP,Spain,2020-05-28,82
ESP,Spain,2020-06-08,76
ESP,Spain,2020-06-12,77
ESP,Spain,2020-06-21,69
ESP,Spain,2020-06-25,75
ESP,Spain,2020-07-09,75
ESP,Spain,2020-07-16,76
ESP,Spain,2020-07-23,77
ESP,Spain,2020-07-30,79
ESP,Spain,2020-08-06,78
ESP,Spain,2020-08-25,78
ESP,Spain,2020-09-04,80
ESP,Spain,2020-09-10,81
ESP,Spain,2020-09-18,80
ESP,Spain,2020-09-23,79
ESP,Spain,2020-09-30,80
FIN,Finland,2020-03-16,44
FIN,Finland,2020-03-23,47
FIN,Finland,2020-03-29,68
FIN,Finland,2020-04-05,79
FIN,Finland,2020-04-12,71
FIN,Finland,2020-04-19,71
FIN,Finland,2020-04-26,77
FIN,Finland,2020-05-03,74
FIN,Finland,2020-06-20,57
FIN,Finland,2020-09-06,65
FIN,Finland,2020-09-20,59
FIN,Finland,2020-10-12,66
FRA,France,2020-03-10,39
FRA,France,2020-03-13,49
FRA,France,2020-03-20,82
FRA,France,2020-03-27,81
FRA,France,2020-04-10,80
FRA,France,2020-04-17,81
FRA,France,2020-04-24,80
FRA,France,2020-05-01,80
FRA,France,2020-05-20,73
FRA,France,2020-05-27,76
FRA,France,2020-06-04,70
FRA,France,2020-06-12,65
FRA,France,2020-06-17,65
FRA,France,2020-06-24,69
FRA,France,2020-07-01,67
FRA,France,2020-07-16,67
FRA,France,2020-07-22,68
FRA,France,2020-07-31,72
FRA,France,2020-08-07,70
FRA,France,2020-08-12,70
FRA,France,2020-09-02,67
FRA,France,2020-09-10,68
FRA,France,2020-09-22,68
FRA,France,2020-09-30,64
FRA,France,2020-10-22,69
FRA,France,2020-10-28,71
GBR,United Kingdom,2020-03-01,14
GBR,United Kingdom,2020-03-13,24
GBR,United Kingdom,2020-03-20,57
GBR,United Kingdom,2020-03-27,80
GBR,United Kingdom,2020-04-14,80
GBR,United Kingdom,2020-04-17,75
GBR,United Kingdom,2020-04-24,76
GBR,United Kingdom,2020-05-01,74
GBR,United Kingdom,2020-05-15,72
GBR,United Kingdom,2020-05-21,74
GBR,United Kingdom,2020-05-30,72
GBR,United Kingdom,2020-06-05,69
GBR,United Kingdom,2020-06-16,69
GBR,United Kingdom,2020-06-25,69
GBR,United Kingdom,2020-07-03,73
GBR,United Kingdom,2020-07-12,67
GBR,United Kingdom,2020-07-26,63
GBR,United Kingdom,2020-07-31,65
GBR,United Kingdom,2020-08-07,64
GBR,United Kingdom,2020-08-12,67
GBR,United Kingdom,2020-08-25,61
GBR,United Kingdom,2020-09-08,58
GBR,United Kingdom,2020-09-16,63
GBR,United Kingdom,2020-09-29,65
GBR,United Kingdom,2020-10-07,61
GBR,United Kingdom,2020-10-22,62
HKG,Hong Kong SAR China,2020-02-25,63
HKG,Hong Kong SAR China,2020-03-03,79
HKG,Hong Kong SAR China,2020-03-10,77
HKG,Hong Kong SAR China,2020-03-17,81
HKG,Hong Kong SAR China,2020-03-24,81
HKG,Hong Kong SAR China,2020-03-31,82
HKG,Hong Kong SAR China,2020-04-07,83
HKG,Hong Kong SAR China,2020-04-14,81
HKG,Hong Kong SAR China,2020-04-21,81
