iso_code,country,date,yougov_avoiding_going_to_work
ARE,United Arab Emirates,2020-03-18,16.0
ARE,United Arab Emirates,2020-03-25,28.0
ARE,United Arab Emirates,2020-04-01,44.0
ARE,United Arab Emirates,2020-04-07,33.0
ARE,United Arab Emirates,2020-04-14,49.0
ARE,United Arab Emirates,2020-04-22,48.0
ARE,United Arab Emirates,2020-04-29,44.0
ARE,United Arab Emirates,2020-05-04,45.0
ARE,United Arab Emirates,2020-06-03,36.0
ARE,United Arab Emirates,2020-06-10,36.0
ARE,United Arab Emirates,2020-06-17,28.0
ARE,United Arab Emirates,2020-07-05,30.0
ARE,United Arab Emirates,2020-07-13,29.0
ARE,United Arab Emirates,2020-07-21,20.0
ARE,United Arab Emirates,2020-07-29,26.0
ARE,United Arab Emirates,2020-08-11,23.0
ARE,United Arab Emirates,2020-08-24,23.0
ARE,United Arab Emirates,2020-09-30,19.0
ARE,United Arab Emirates,2020-10-07,21.0
ARE,United Arab Emirates,2020-10-14,22.0
ARE,United Arab Emirates,2020-11-02,18.0
ARE,United Arab Emirates,2020-11-11,18.0
ARE,United Arab Emirates,2020-11-30,17.0
ARE,United Arab Emirates,2020-12-16,18.0
ARE,United Arab Emirates,2020-12-23,18.0
ARE,United Arab Emirates,2020-12-29,17.0
ARE,United Arab Emirates,2021-01-05,18.0
ARE,United Arab Emirates,2021-01-13,16.0
ARE,United Arab Emirates,2021-02-01,17.0
ARE,United Arab Emirates,2021-02-14,22.0
ARE,United Arab Emirates,2021-03-16,19.0
ARE,United Arab Emirates,2021-04-21,19.0
ARE,United Arab Emirates,2021-04-27,19.0
AUS,Australia,2020-03-15,7.0
AUS,Australia,2020-03-22,20.0
AUS,Australia,2020-03-29,32.0
AUS,Australia,2020-05-22,33.0
AUS,Australia,2020-08-30,23.0
CAN,Canada,2020-03-17,11.0
CAN,Canada,2020-03-23,28.0
CAN,Canada,2020-03-30,36.0
CAN,Canada,2020-04-06,35.0
CAN,Canada,2020-04-13,29.0
CAN,Canada,2020-04-20,37.0
CAN,Canada,2020-04-27,36.0
CAN,Canada,2020-05-26,31.0
CAN,Canada,2020-06-11,23.0
CAN,Canada,2020-06-26,22.0
CAN,Canada,2020-07-07,23.0
CAN,Canada,2020-07-21,20.0
CAN,Canada,2020-08-04,21.0
CAN,Canada,2020-08-24,20.0
CAN,Canada,2020-09-01,20.0
CAN,Canada,2020-10-30,19.0
CAN,Canada,2020-11-27,23.0
CAN,Canada,2021-01-27,23.0
CAN,Canada,2021-02-28,19.0
CHN,China,2020-02-24,67.0
CHN,China,2020-03-02,66.0
CHN,China,2020-03-09,64.0
CHN,China,2020-03-16,57.0
CHN,China,2020-03-23,62.0
CHN,China,2020-03-30,61.0
CHN,China,2020-04-06,57.0
CHN,China,2020-04-13,56.0
CHN,China,2020-04-20,52.0
CHN,China,2020-04-27,55.0
CHN,China,2020-05-04,51.0
CHN,China,2020-05-26,44.0
CHN,China,2020-06-08,40.0
CHN,China,2020-06-22,36.0
CHN,China,2020-07-06,34.0
CHN,China,2020-07-20,30.0
CHN,China,2020-08-04,32.0
CHN,China,2020-08-17,32.0
CHN,China,2020-08-31,35.0
CHN,China,2020-09-14,25.0
CHN,China,2020-09-28,24.0
CHN,China,2020-10-12,22.0
DEU,Germany,2020-03-04,3.0
DEU,Germany,2020-03-16,6.0
DEU,Germany,2020-03-23,18.0
DEU,Germany,2020-03-30,22.0
DEU,Germany,2020-04-06,21.0
DEU,Germany,2020-04-13,22.0
DEU,Germany,2020-04-20,22.0
DEU,Germany,2020-04-27,22.0
DEU,Germany,2020-05-04,20.0
DEU,Germany,2020-05-25,16.0
DEU,Germany,2020-06-18,12.0
DEU,Germany,2020-07-02,11.0
DEU,Germany,2020-07-16,13.0
DEU,Germany,2020-07-30,11.0
DEU,Germany,2020-08-13,10.0
DEU,Germany,2020-08-27,10.0
DEU,Germany,2020-09-10,9.0
DEU,Germany,2020-09-24,9.0
DEU,Germany,2020-10-08,11.0
DEU,Germany,2020-10-22,10.0
DEU,Germany,2020-11-04,12.0
DEU,Germany,2020-11-19,12.0
DEU,Germany,2020-12-04,12.0
DEU,Germany,2020-12-17,16.0
DEU,Germany,2020-12-31,16.0
DEU,Germany,2021-01-18,17.0
DEU,Germany,2021-01-28,19.0
DEU,Germany,2021-02-11,19.0
DEU,Germany,2021-02-26,18.0
DEU,Germany,2021-03-11,16.0
DEU,Germany,2021-03-25,15.0
DEU,Germany,2021-04-08,16.0
DEU,Germany,2021-04-23,17.0
DEU,Germany,2021-05-06,16.0
DNK,Denmark,2020-03-16,32.0
DNK,Denmark,2020-03-23,32.0
DNK,Denmark,2020-03-29,47.0
DNK,Denmark,2020-04-05,42.0
DNK,Denmark,2020-04-12,39.0
DNK,Denmark,2020-04-19,48.0
DNK,Denmark,2020-04-26,32.0
DNK,Denmark,2020-05-03,26.0
DNK,Denmark,2020-05-25,20.0
DNK,Denmark,2020-06-18,17.0
DNK,Denmark,2020-09-13,14.0
DNK,Denmark,2020-09-23,16.0
DNK,Denmark,2020-10-12,14.0
DNK,Denmark,2020-11-05,15.0
DNK,Denmark,2020-11-18,17.0
DNK,Denmark,2020-12-02,15.0
DNK,Denmark,2021-01-13,23.0
DNK,Denmark,2021-02-14,26.0
DNK,Denmark,2021-02-28,21.0
DNK,Denmark,2021-03-12,19.0
DNK,Denmark,2021-03-29,17.0
DNK,Denmark,2021-04-12,19.0
DNK,Denmark,2021-05-10,13.0
ESP,Spain,2020-03-12,8.0
ESP,Spain,2020-03-19,49.0
ESP,Spain,2020-03-25,51.0
ESP,Spain,2020-04-02,51.0
ESP,Spain,2020-04-08,49.0
ESP,Spain,2020-04-16,49.0
ESP,Spain,2020-04-23,42.0
ESP,Spain,2020-04-30,43.0
ESP,Spain,2020-05-20,34.0
ESP,Spain,2020-05-28,32.0
ESP,Spain,2020-06-08,24.0
ESP,Spain,2020-06-12,22.0
ESP,Spain,2020-06-21,20.0
ESP,Spain,2020-06-25,20.0
ESP,Spain,2020-07-09,15.0
ESP,Spain,2020-07-16,16.0
ESP,Spain,2020-07-23,14.0
ESP,Spain,2020-07-30,15.0
ESP,Spain,2020-08-06,15.0
ESP,Spain,2020-08-25,13.0
ESP,Spain,2020-09-04,15.0
ESP,Spain,2020-09-10,15.0
ESP,Spain,2020-09-18,10.0
ESP,Spain,2020-09-23,16.0
ESP,Spain,2020-09-30,15.0
ESP,Spain,2020-10-16,13.0
ESP,Spain,2020-11-04,13.0
ESP,Spain,2020-11-16,15.0
ESP,Spain,2020-11-23,11.0
ESP,Spain,2020-12-02,14.0
ESP,Spain,2020-12-11,12.0
ESP,Spain,2020-12-18,13.0
ESP,Spain,2020-12-23,14.0
ESP,Spain,2021-01-07,15.0
ESP,Spain,2021-01-13,15.0
ESP,Spain,2021-01-20,18.0
ESP,Spain,2021-01-29,20.0
ESP,Spain,2021-02-05,19.0
ESP,Spain,2021-02-17,18.0
ESP,Spain,2021-03-03,15.0
ESP,Spain,2021-03-10,15.0
ESP,Spain,2021-03-18,14.0
ESP,Spain,2021-03-24,14.0
ESP,Spain,2021-04-01,12.0
ESP,Spain,2021-04-14,14.0
ESP,Spain,2021-04-21,14.0
ESP,Spain,2021-05-01,16.0
ESP,Spain,2021-05-07,15.0
FIN,Finland,2020-03-16,9.0
FIN,Finland,2020-03-23,10.0
FIN,Finland,2020-03-29,26.0
FIN,Finland,2020-04-05,30.0
FIN,Finland,2020-04-12,18.0
FIN,Finland,2020-04-19,17.0
FIN,Finland,2020-04-26,23.0
FIN,Finland,2020-05-03,17.0
FIN,Finland,2020-06-20,11.0
FIN,Finland,2020-09-06,13.0
FIN,Finland,2020-09-20,11.0
FIN,Finland,2020-10-12,12.0
FIN,Finland,2020-11-03,12.0
FIN,Finland,2020-11-12,11.0
FIN,Finland,2020-11-27,14.0
FIN,Finland,2021-01-18,14.0
FIN,Finland,2021-01-31,16.0
FIN,Finland,2021-02-14,16.0
FIN,Finland,2021-02-26,16.0
FIN,Finland,2021-03-15,15.0
FIN,Finland,2021-03-21,16.0
FIN,Finland,2021-04-11,19.0
FIN,Finland,2021-05-05,16.0
FRA,France,2020-03-10,3.0
FRA,France,2020-03-13,5.0
FRA,France,2020-03-20,37.0
FRA,France,2020-03-27,38.0
FRA,France,2020-04-03,41.0
FRA,France,2020-04-10,35.0
FRA,France,2020-04-17,35.0
FRA,France,2020-04-24,32.0
FRA,France,2020-05-01,31.0
FRA,France,2020-05-20,19.0
FRA,France,2020-05-27,22.0
FRA,France,2020-06-04,16.0
FRA,France,2020-06-12,12.0
FRA,France,2020-06-17,17.0
FRA,France,2020-06-24,10.0
FRA,France,2020-07-01,12.0
FRA,France,2020-07-16,11.0
FRA,France,2020-07-22,10.0
FRA,France,2020-07-31,8.0
FRA,France,2020-08-07,9.0
FRA,France,2020-08-12,9.0
FRA,France,2020-09-02,8.0
FRA,France,2020-09-10,9.0
FRA,France,2020-09-22,7.0
FRA,France,2020-09-30,7.0
FRA,France,2020-10-15,8.0
FRA,France,2020-10-22,10.0
FRA,France,2020-10-28,9.0
FRA,France,2020-11-04,13.0
FRA,France,2020-11-18,16.0
FRA,France,2020-11-25,17.0
FRA,France,2020-12-02,15.0
FRA,France,2020-12-09,12.0
FRA,France,2020-12-16,12.0
FRA,France,2021-01-06,13.0
FRA,France,2021-01-20,15.0
FRA,France,2021-01-27,10.0
FRA,France,2021-02-03,14.0
FRA,France,2021-02-12,13.0
FRA,France,2021-02-16,13.0
FRA,France,2021-02-23,13.0
FRA,France,2021-03-10,13.0
FRA,France,2021-03-17,11.0
FRA,France,2021-03-24,13.0
FRA,France,2021-03-31,15.0
FRA,France,2021-04-08,15.0
FRA,France,2021-04-14,16.0
FRA,France,2021-04-21,12.0
FRA,France,2021-04-28,14.0
GBR,United Kingdom,2020-03-01,2.0
GBR,United Kingdom,2020-03-13,4.0
GBR,United Kingdom,2020-03-20,20.0
GBR,United Kingdom,2020-03-27,38.0
GBR,United Kingdom,2020-04-03,39.0
GBR,United Kingdom,2020-04-14,38.0
GBR,United Kingdom,2020-04-17,38.0
GBR,United Kingdom,2020-04-24,36.0
GBR,United Kingdom,2020-05-01,34.0
GBR,United Kingdom,2020-05-15,36.0
GBR,United Kingdom,2020-05-21,33.0
GBR,United Kingdom,2020-05-30,30.0
GBR,United Kingdom,2020-06-05,25.0
GBR,United Kingdom,2020-06-16,27.0
GBR,United Kingdom,2020-06-25,26.0
GBR,United Kingdom,2020-07-03,24.0
GBR,United Kingdom,2020-07-12,23.0
GBR,United Kingdom,2020-07-26,18.0
GBR,United Kingdom,2020-07-31,19.0
GBR,United Kingdom,2020-08-07,21.0
GBR,United Kingdom,2020-08-12,19.0
GBR,United Kingdom,2020-08-25,17.0
GBR,United Kingdom,2020-09-08,13.0
GBR,United Kingdom,2020-09-16,14.0
GBR,United Kingdom,2020-09-29,17.0
