iso_code,country,date,yougov_confidence_in_health_authorities
AUS,Australia,2020-03-15,67.0
AUS,Australia,2020-03-22,70.0
AUS,Australia,2020-03-29,69.0
AUS,Australia,2020-04-05,77.0
AUS,Australia,2020-04-12,83.0
AUS,Australia,2020-04-19,86.0
AUS,Australia,2020-04-26,88.0
AUS,Australia,2020-05-03,88.0
AUS,Australia,2020-05-06,87.0
AUS,Australia,2020-05-16,88.0
AUS,Australia,2020-06-10,89.0
AUS,Australia,2020-06-26,83.0
AUS,Australia,2020-07-09,84.0
AUS,Australia,2020-07-22,83.0
AUS,Australia,2020-08-07,83.0
AUS,Australia,2020-08-21,79.0
AUS,Australia,2020-09-04,82.0
AUS,Australia,2020-09-19,79.0
BRA,Brazil,2020-05-02,51.0
BRA,Brazil,2020-05-21,47.0
BRA,Brazil,2020-06-28,39.0
BRA,Brazil,2020-07-25,38.0
BRA,Brazil,2020-08-08,41.0
BRA,Brazil,2020-08-21,43.0
BRA,Brazil,2020-09-04,45.0
BRA,Brazil,2020-09-19,43.0
CAN,Canada,2020-03-17,69.0
CAN,Canada,2020-03-23,79.0
CAN,Canada,2020-03-30,80.0
CAN,Canada,2020-04-06,80.0
CAN,Canada,2020-04-13,80.0
CAN,Canada,2020-04-20,80.0
CAN,Canada,2020-04-27,80.0
CAN,Canada,2020-05-06,79.0
CAN,Canada,2020-06-10,76.0
CAN,Canada,2020-06-26,77.0
CAN,Canada,2020-07-14,78.0
CAN,Canada,2020-09-03,75.0
CAN,Canada,2020-09-20,68.0
DEU,Germany,2020-03-16,53.0
DEU,Germany,2020-03-23,63.0
DEU,Germany,2020-03-30,67.0
DEU,Germany,2020-04-06,68.0
DEU,Germany,2020-04-13,71.0
DEU,Germany,2020-04-20,73.0
DEU,Germany,2020-04-27,73.0
DEU,Germany,2020-05-04,72.0
DEU,Germany,2020-05-14,71.0
DEU,Germany,2020-05-29,69.0
DEU,Germany,2020-06-10,70.0
DEU,Germany,2020-06-25,71.0
DEU,Germany,2020-07-09,71.0
DEU,Germany,2020-07-23,71.0
DEU,Germany,2020-08-07,65.0
DEU,Germany,2020-08-21,65.0
DEU,Germany,2020-09-03,67.0
DEU,Germany,2020-09-20,67.0
DNK,Denmark,2020-03-16,86.0
DNK,Denmark,2020-03-23,89.0
DNK,Denmark,2020-03-29,80.0
DNK,Denmark,2020-04-05,87.0
DNK,Denmark,2020-04-12,86.0
DNK,Denmark,2020-04-19,88.0
DNK,Denmark,2020-04-26,84.0
DNK,Denmark,2020-05-03,81.0
DNK,Denmark,2020-05-14,88.0
DNK,Denmark,2020-05-28,86.0
DNK,Denmark,2020-06-10,86.0
DNK,Denmark,2020-06-24,87.0
DNK,Denmark,2020-07-08,84.0
DNK,Denmark,2020-07-23,87.0
DNK,Denmark,2020-08-20,85.0
DNK,Denmark,2020-09-03,86.0
DNK,Denmark,2020-09-19,84.0
ESP,Spain,2020-03-12,75.0
ESP,Spain,2020-03-19,88.0
ESP,Spain,2020-03-25,86.0
ESP,Spain,2020-04-02,87.0
ESP,Spain,2020-04-08,87.0
ESP,Spain,2020-04-16,87.0
ESP,Spain,2020-04-23,88.0
ESP,Spain,2020-04-30,88.0
ESP,Spain,2020-05-07,86.0
ESP,Spain,2020-05-13,87.0
ESP,Spain,2020-05-28,85.0
ESP,Spain,2020-06-10,80.0
ESP,Spain,2020-06-24,80.0
ESP,Spain,2020-07-23,82.0
ESP,Spain,2020-08-07,76.0
ESP,Spain,2020-08-19,76.0
ESP,Spain,2020-09-04,74.0
ESP,Spain,2020-09-20,69.0
FIN,Finland,2020-03-16,78.0
FIN,Finland,2020-03-23,86.0
FIN,Finland,2020-03-29,83.0
FIN,Finland,2020-04-05,81.0
FIN,Finland,2020-04-12,73.0
FIN,Finland,2020-04-19,83.0
FIN,Finland,2020-04-26,78.0
FIN,Finland,2020-05-03,82.0
FIN,Finland,2020-05-30,82.0
FIN,Finland,2020-06-10,81.0
FIN,Finland,2020-06-25,81.0
FIN,Finland,2020-07-11,83.0
FIN,Finland,2020-07-24,81.0
FIN,Finland,2020-08-08,79.0
FIN,Finland,2020-08-20,78.0
FIN,Finland,2020-09-03,80.0
FIN,Finland,2020-09-20,78.0
FRA,France,2020-03-13,58.0
FRA,France,2020-03-20,67.0
FRA,France,2020-03-27,56.0
FRA,France,2020-04-03,59.0
FRA,France,2020-04-10,59.0
FRA,France,2020-04-17,59.0
FRA,France,2020-04-24,54.0
FRA,France,2020-05-01,52.0
FRA,France,2020-05-07,57.0
FRA,France,2020-05-14,57.0
FRA,France,2020-05-28,54.0
FRA,France,2020-06-10,60.0
FRA,France,2020-06-24,50.0
FRA,France,2020-07-09,52.0
FRA,France,2020-07-22,51.0
FRA,France,2020-08-07,49.0
FRA,France,2020-08-20,49.0
FRA,France,2020-09-03,47.0
FRA,France,2020-09-19,43.0
GBR,United Kingdom,2020-03-13,67.0
GBR,United Kingdom,2020-03-20,75.0
GBR,United Kingdom,2020-03-27,81.0
GBR,United Kingdom,2020-04-03,81.0
GBR,United Kingdom,2020-04-14,85.0
GBR,United Kingdom,2020-04-17,86.0
GBR,United Kingdom,2020-04-24,85.0
GBR,United Kingdom,2020-05-01,85.0
GBR,United Kingdom,2020-05-07,84.0
GBR,United Kingdom,2020-05-15,85.0
GBR,United Kingdom,2020-05-22,86.0
GBR,United Kingdom,2020-05-27,83.0
GBR,United Kingdom,2020-06-09,80.0
GBR,United Kingdom,2020-06-17,85.0
GBR,United Kingdom,2020-07-03,81.0
GBR,United Kingdom,2020-07-22,81.0
GBR,United Kingdom,2020-07-29,79.0
GBR,United Kingdom,2020-08-06,79.0
GBR,United Kingdom,2020-08-19,77.0
GBR,United Kingdom,2020-09-02,77.0
GBR,United Kingdom,2020-09-09,77.0
GBR,United Kingdom,2020-09-16,71.0
GBR,United Kingdom,2020-09-23,77.0
IDN,Indonesia,2020-05-30,61.0
IDN,Indonesia,2020-06-10,60.0
IDN,Indonesia,2020-06-25,60.0
IDN,Indonesia,2020-07-10,58.0
IDN,Indonesia,2020-07-23,59.0
IDN,Indonesia,2020-08-08,58.0
IDN,Indonesia,2020-08-21,59.0
IDN,Indonesia,2020-09-04,62.0
IDN,Indonesia,2020-09-19,58.0
IND,India,2020-03-16,77.0
IND,India,2020-03-20,83.0
IND,India,2020-03-27,88.0
IND,India,2020-04-03,87.0
IND,India,2020-04-10,87.0
IND,India,2020-04-17,89.0
IND,India,2020-04-24,87.0
IND,India,2020-05-01,87.0
IND,India,2020-05-07,78.0
IND,India,2020-05-15,73.0
IND,India,2020-06-03,74.0
IND,India,2020-06-10,64.0
IND,India,2020-06-25,65.0
IND,India,2020-07-09,67.0
IND,India,2020-07-23,68.0
IND,India,2020-08-07,67.0
IND,India,2020-08-21,71.0
IND,India,2020-09-02,63.0
IND,India,2020-09-16,63.0
ITA,Italy,2020-03-11,75.0
ITA,Italy,2020-03-19,82.0
ITA,Italy,2020-03-25,79.0
ITA,Italy,2020-04-02,78.0
ITA,Italy,2020-04-09,81.0
ITA,Italy,2020-04-16,76.0
ITA,Italy,2020-04-23,75.0
ITA,Italy,2020-04-30,76.0
ITA,Italy,2020-05-07,75.0
ITA,Italy,2020-05-13,75.0
ITA,Italy,2020-05-29,73.0
ITA,Italy,2020-06-10,72.0
ITA,Italy,2020-06-25,69.0
ITA,Italy,2020-07-08,68.0
ITA,Italy,2020-07-23,70.0
ITA,Italy,2020-08-07,70.0
ITA,Italy,2020-08-19,66.0
ITA,Italy,2020-09-03,64.0
ITA,Italy,2020-09-21,68.0
JPN,Japan,2020-03-17,42.0
JPN,Japan,2020-03-24,45.0
JPN,Japan,2020-03-30,45.0
JPN,Japan,2020-04-06,39.0
JPN,Japan,2020-04-13,44.0
JPN,Japan,2020-04-20,43.0
JPN,Japan,2020-04-27,41.0
JPN,Japan,2020-05-02,47.0
JPN,Japan,2020-05-04,48.0
JPN,Japan,2020-05-19,57.0
JPN,Japan,2020-06-17,53.0
JPN,Japan,2020-06-25,53.0
JPN,Japan,2020-07-14,48.0
JPN,Japan,2020-07-31,48.0
JPN,Japan,2020-08-07,41.0
JPN,Japan,2020-08-20,52.0
JPN,Japan,2020-09-09,50.0
JPN,Japan,2020-09-22,50.0
KOR,"Korea, Rep.",2020-05-03,86.0
KOR,"Korea, Rep.",2020-05-21,86.0
KOR,"Korea, Rep.",2020-06-17,76.0
KOR,"Korea, Rep.",2020-06-29,76.0
KOR,"Korea, Rep.",2020-07-15,77.0
KOR,"Korea, Rep.",2020-07-31,76.0
KOR,"Korea, Rep.",2020-09-03,77.0
KOR,"Korea, Rep.",2020-09-22,74.0
MEX,Mexico,2020-03-17,32.0
MEX,Mexico,2020-03-23,34.0
MEX,Mexico,2020-03-30,42.0
MEX,Mexico,2020-04-06,41.0
MEX,Mexico,2020-04-13,47.0
MEX,Mexico,2020-04-20,48.0
MEX,Mexico,2020-04-27,51.0
MEX,Mexico,2020-05-06,48.0
MEX,Mexico,2020-05-29,43.0
MEX,Mexico,2020-06-11,36.0
MEX,Mexico,2020-06-26,37.0
MEX,Mexico,2020-08-08,40.0
MEX,Mexico,2020-08-21,41.0
MEX,Mexico,2020-09-04,41.0
MEX,Mexico,2020-09-21,38.0
MYS,Malaysia,2020-05-30,91.0
MYS,Malaysia,2020-06-10,93.0
MYS,Malaysia,2020-06-26,94.0
MYS,Malaysia,2020-07-10,92.0
MYS,Malaysia,2020-07-23,92.0
MYS,Malaysia,2020-08-08,92.0
MYS,Malaysia,2020-08-21,92.0
MYS,Malaysia,2020-09-03,93.0
MYS,Malaysia,2020-09-21,89.0
NLD,Netherlands,2020-05-20,81.0
NLD,Netherlands,2020-06-15,80.0
NLD,Netherlands,2020-06-25,77.0
NLD,Netherlands,2020-07-14,81.0
NLD,Netherlands,2020-07-31,75.0
NLD,Netherlands,2020-08-07,75.0
NLD,Netherlands,2020-09-09,76.0
NLD,Netherlands,2020-09-22,66.0
NOR,Norway,2020-03-16,56.0
NOR,Norway,2020-03-23,71.0
NOR,Norway,2020-03-29,79.0
NOR,Norway,2020-04-05,83.0
NOR,Norway,2020-04-12,78.0
NOR,Norway,2020-04-19,82.0
NOR,Norway,2020-04-26,82.0
NOR,Norway,2020-05-03,84.0
NOR,Norway,2020-05-15,84.0
NOR,Norway,2020-05-28,83.0
NOR,Norway,2020-06-10,85.0
NOR,Norway,2020-06-25,84.0
NOR,Norway,2020-08-07,83.0
NOR,Norway,2020-08-20,82.0
NOR,Norway,2020-09-03,84.0
NOR,Norway,2020-09-20,81.0
PHL,Philippines,2020-05-29,63.0
PHL,Philippines,2020-06-26,58.0
PHL,Philippines,2020-07-09,59.0
PHL,Philippines,2020-07-24,56.0
PHL,Philippines,2020-08-07,56.0
PHL,Philippines,2020-08-21,57.0
PHL,Philippines,2020-09-03,60.0
PHL,Philippines,2020-09-22,55.0
SGP,Singapore,2020-05-28,84.0
SGP,Singapore,2020-06-10,84.0
SGP,Singapore,2020-06-25,84.0
SGP,Singapore,2020-07-09,79.0
SGP,Singapore,2020-07-24,78.0
SGP,Singapore,2020-08-21,84.0
SGP,Singapore,2020-09-04,81.0
SGP,Singapore,2020-09-17,82.0
SWE,Sweden,2020-03-16,46.0
SWE,Sweden,2020-03-23,52.0
SWE,Sweden,2020-03-29,68.0
SWE,Sweden,2020-04-05,56.0
SWE,Sweden,2020-04-12,58.0
SWE,Sweden,2020-04-19,67.0
SWE,Sweden,2020-04-26,66.0
SWE,Sweden,2020-05-03,73.0
SWE,Sweden,2020-05-14,71.0
SWE,Sweden,2020-05-30,64.0
SWE,Sweden,2020-06-10,67.0
SWE,Sweden,2020-06-25,65.0
SWE,Sweden,2020-07-10,65.0
SWE,Sweden,2020-07-22,65.0
SWE,Sweden,2020-08-20,69.0
SWE,Sweden,2020-09-03,70.0
SWE,Sweden,2020-09-23,69.0
TWN,Taiwan,2020-06-04,91.0
TWN,Taiwan,2020-06-10,91.0
TWN,Taiwan,2020-06-25,89.0
TWN,Taiwan,2020-07-25,88.0
TWN,Taiwan,2020-08-08,83.0
TWN,Taiwan,2020-08-20,81.0
TWN,Taiwan,2020-09-03,83.0
TWN,Taiwan,2020-09-20,81.0
USA,United States,2020-03-17,57.0
USA,United States,2020-03-23,63.0
USA,United States,2020-03-30,63.0
USA,United States,2020-04-06,59.0
USA,United States,2020-04-13,62.0
USA,United States,2020-04-20,62.0
USA,United States,2020-04-27,60.0
USA,United States,2020-05-06,58.0
USA,United States,2020-05-29,50.0
USA,United States,2020-06-11,49.0
USA,United States,2020-06-26,46.0
USA,United States,2020-08-07,44.0
USA,United States,2020-08-21,47.0
USA,United States,2020-09-03,44.0
USA,United States,2020-09-18,47.0
VNM,Vietnam,2020-05-14,95.0
VNM,Vietnam,2020-05-30,97.0
