iso_code,country,date,yougov_education_fears
ARE,United Arab Emirates,2020-05-11,56.0
ARE,United Arab Emirates,2020-05-18,60.0
ARE,United Arab Emirates,2020-05-25,60.0
ARE,United Arab Emirates,2020-06-01,59.0
ARE,United Arab Emirates,2020-06-08,59.0
ARE,United Arab Emirates,2020-06-15,57.0
ARE,United Arab Emirates,2020-06-22,55.0
ARE,United Arab Emirates,2020-06-29,58.0
AUS,Australia,2020-05-11,24.0
AUS,Australia,2020-05-18,24.0
AUS,Australia,2020-05-25,25.0
AUS,Australia,2020-06-01,23.0
AUS,Australia,2020-06-08,24.0
AUS,Australia,2020-06-15,23.0
AUS,Australia,2020-06-22,24.0
AUS,Australia,2020-06-29,25.0
CAN,Canada,2020-05-12,25.0
CAN,Canada,2020-05-19,26.0
CAN,Canada,2020-05-26,27.0
CAN,Canada,2020-06-02,28.0
CAN,Canada,2020-06-09,30.0
CAN,Canada,2020-06-16,28.0
CAN,Canada,2020-06-23,30.0
CAN,Canada,2020-06-30,25.0
CHN,China,2020-05-12,39.0
CHN,China,2020-05-19,41.0
CHN,China,2020-05-26,38.0
CHN,China,2020-06-02,38.0
CHN,China,2020-06-09,37.0
CHN,China,2020-06-16,41.0
CHN,China,2020-06-23,41.0
CHN,China,2020-06-30,38.0
DEU,Germany,2020-05-11,25.0
DEU,Germany,2020-05-19,24.0
DEU,Germany,2020-05-26,24.0
DEU,Germany,2020-06-02,24.0
DEU,Germany,2020-06-09,24.0
DEU,Germany,2020-06-16,25.0
DEU,Germany,2020-06-23,25.0
DEU,Germany,2020-06-30,26.0
DNK,Denmark,2020-05-11,19.0
DNK,Denmark,2020-05-15,18.0
DNK,Denmark,2020-05-22,18.0
DNK,Denmark,2020-05-28,17.0
DNK,Denmark,2020-06-04,17.0
DNK,Denmark,2020-06-11,17.0
DNK,Denmark,2020-06-18,16.0
DNK,Denmark,2020-06-25,16.0
ESP,Spain,2020-05-07,39.0
ESP,Spain,2020-05-14,42.0
ESP,Spain,2020-05-21,40.0
ESP,Spain,2020-05-28,40.0
ESP,Spain,2020-06-04,43.0
ESP,Spain,2020-06-11,42.0
ESP,Spain,2020-06-18,43.0
ESP,Spain,2020-06-25,42.0
FIN,Finland,2020-05-11,12.0
FIN,Finland,2020-05-15,16.0
FIN,Finland,2020-05-22,15.0
FIN,Finland,2020-05-28,11.0
FIN,Finland,2020-06-04,11.0
FIN,Finland,2020-06-11,11.0
FIN,Finland,2020-06-18,12.0
FIN,Finland,2020-06-25,14.0
FRA,France,2020-05-08,30.0
FRA,France,2020-05-15,30.0
FRA,France,2020-05-22,31.0
FRA,France,2020-05-29,31.0
FRA,France,2020-06-05,32.0
FRA,France,2020-06-12,32.0
FRA,France,2020-06-19,29.0
FRA,France,2020-06-26,31.0
GBR,United Kingdom,2020-05-08,19.0
GBR,United Kingdom,2020-05-15,19.0
GBR,United Kingdom,2020-05-22,19.0
GBR,United Kingdom,2020-05-29,17.0
