iso_code,country,date,yougov_fear_of_catching
ARE,United Arab Emirates,2020-05-02,76
ARE,United Arab Emirates,2020-05-21,80
ARE,United Arab Emirates,2020-06-29,70
ARE,United Arab Emirates,2020-07-25,70
ARE,United Arab Emirates,2020-08-08,68
ARE,United Arab Emirates,2020-08-21,57
AUS,Australia,2020-02-24,67
AUS,Australia,2020-03-02,68
AUS,Australia,2020-03-09,68
AUS,Australia,2020-03-16,66
AUS,Australia,2020-03-23,69
AUS,Australia,2020-03-30,67
AUS,Australia,2020-04-06,68
AUS,Australia,2020-04-13,68
AUS,Australia,2020-04-20,69
AUS,Australia,2020-04-27,67
AUS,Australia,2020-05-04,66
AUS,Australia,2020-05-07,57
AUS,Australia,2020-05-14,59
AUS,Australia,2020-05-26,62
AUS,Australia,2020-05-28,57
AUS,Australia,2020-06-08,59
AUS,Australia,2020-06-10,54
AUS,Australia,2020-06-22,61
AUS,Australia,2020-06-24,50
AUS,Australia,2020-07-06,57
AUS,Australia,2020-07-20,56
AUS,Australia,2020-07-23,56
AUS,Australia,2020-08-04,59
AUS,Australia,2020-08-08,52
AUS,Australia,2020-08-17,56
AUS,Australia,2020-08-20,54
AUS,Australia,2020-08-31,59
BRA,Brazil,2020-05-03,76
BRA,Brazil,2020-05-21,80
BRA,Brazil,2020-06-17,72
BRA,Brazil,2020-06-29,72
BRA,Brazil,2020-07-15,77
BRA,Brazil,2020-07-31,77
CAN,Canada,2020-03-17,29
CAN,Canada,2020-03-23,39
CAN,Canada,2020-03-30,35
CAN,Canada,2020-04-06,45
CAN,Canada,2020-04-13,45
CAN,Canada,2020-04-20,46
CAN,Canada,2020-04-27,45
CAN,Canada,2020-05-29,45
CAN,Canada,2020-06-11,50
CAN,Canada,2020-06-26,51
CAN,Canada,2020-08-08,48
CAN,Canada,2020-08-21,49
CHN,China,2020-02-25,66
CHN,China,2020-03-03,63
CHN,China,2020-03-10,65
CHN,China,2020-03-17,65
CHN,China,2020-03-24,68
CHN,China,2020-03-31,67
CHN,China,2020-04-07,69
CHN,China,2020-04-14,66
CHN,China,2020-04-21,65
CHN,China,2020-04-28,67
CHN,China,2020-05-05,61
CHN,China,2020-05-17,63
CHN,China,2020-05-25,58
CHN,China,2020-06-08,59
CHN,China,2020-06-22,57
CHN,China,2020-07-06,54
CHN,China,2020-07-21,66
CHN,China,2020-08-04,66
CHN,China,2020-08-18,61
CHN,China,2020-08-20,64
CHN,China,2020-08-31,59
DEU,Germany,2020-03-11,67
DEU,Germany,2020-03-19,74
DEU,Germany,2020-03-25,72
DEU,Germany,2020-04-02,75
DEU,Germany,2020-04-09,71
DEU,Germany,2020-04-16,72
DEU,Germany,2020-04-23,67
DEU,Germany,2020-04-30,69
DEU,Germany,2020-05-07,61
DEU,Germany,2020-05-13,62
DEU,Germany,2020-05-26,58
DEU,Germany,2020-05-29,56
DEU,Germany,2020-06-02,58
DEU,Germany,2020-06-10,52
DEU,Germany,2020-06-17,56
DEU,Germany,2020-06-23,52
DEU,Germany,2020-06-25,52
DEU,Germany,2020-07-07,56
DEU,Germany,2020-07-08,52
DEU,Germany,2020-07-14,58
DEU,Germany,2020-07-21,59
DEU,Germany,2020-07-23,56
DEU,Germany,2020-07-28,61
DEU,Germany,2020-08-07,53
DEU,Germany,2020-08-18,64
DEU,Germany,2020-08-19,57
DEU,Germany,2020-08-25,59
DEU,Germany,2020-09-01,64
DEU,Germany,2020-09-09,60
DNK,Denmark,2020-03-16,27
DNK,Denmark,2020-03-23,27
DNK,Denmark,2020-03-29,39
DNK,Denmark,2020-04-05,42
