iso_code,country,date,yougov_finances_fears
ARE,United Arab Emirates,2020-05-11,78.0
ARE,United Arab Emirates,2020-05-18,79.0
ARE,United Arab Emirates,2020-05-25,77.0
ARE,United Arab Emirates,2020-06-01,77.0
ARE,United Arab Emirates,2020-06-08,75.0
ARE,United Arab Emirates,2020-06-15,74.0
ARE,United Arab Emirates,2020-06-22,75.0
ARE,United Arab Emirates,2020-06-29,76.0
AUS,Australia,2020-05-11,56.0
AUS,Australia,2020-05-18,59.0
AUS,Australia,2020-05-25,58.0
AUS,Australia,2020-06-01,56.0
AUS,Australia,2020-06-08,55.0
AUS,Australia,2020-06-15,55.0
AUS,Australia,2020-06-22,56.0
AUS,Australia,2020-06-29,57.0
CAN,Canada,2020-05-12,55.0
CAN,Canada,2020-05-19,55.0
CAN,Canada,2020-05-26,58.0
CAN,Canada,2020-06-02,53.0
CAN,Canada,2020-06-09,56.0
CAN,Canada,2020-06-16,56.0
CAN,Canada,2020-06-23,54.0
CAN,Canada,2020-06-30,53.0
CHN,China,2020-05-12,54.0
CHN,China,2020-05-19,55.0
CHN,China,2020-05-26,53.0
CHN,China,2020-06-02,54.0
CHN,China,2020-06-09,50.0
CHN,China,2020-06-16,55.0
CHN,China,2020-06-23,54.0
CHN,China,2020-06-30,52.0
DEU,Germany,2020-05-11,49.0
DEU,Germany,2020-05-19,49.0
DEU,Germany,2020-05-26,48.0
DEU,Germany,2020-06-02,47.0
DEU,Germany,2020-06-09,46.0
DEU,Germany,2020-06-16,46.0
DEU,Germany,2020-06-23,47.0
DEU,Germany,2020-06-30,47.0
DNK,Denmark,2020-05-11,32.0
DNK,Denmark,2020-05-15,28.0
DNK,Denmark,2020-05-22,28.0
DNK,Denmark,2020-05-28,26.0
DNK,Denmark,2020-06-04,26.0
DNK,Denmark,2020-06-11,26.0
DNK,Denmark,2020-06-18,23.0
DNK,Denmark,2020-06-25,27.0
ESP,Spain,2020-05-07,74.0
ESP,Spain,2020-05-14,73.0
ESP,Spain,2020-05-21,71.0
ESP,Spain,2020-05-28,70.0
ESP,Spain,2020-06-04,68.0
ESP,Spain,2020-06-11,70.0
ESP,Spain,2020-06-18,71.0
ESP,Spain,2020-06-25,69.0
FIN,Finland,2020-05-11,37.0
FIN,Finland,2020-05-15,38.0
FIN,Finland,2020-05-22,35.0
FIN,Finland,2020-05-28,30.0
FIN,Finland,2020-06-04,36.0
FIN,Finland,2020-06-11,35.0
FIN,Finland,2020-06-18,38.0
FIN,Finland,2020-06-25,32.0
FRA,France,2020-05-08,61.0
FRA,France,2020-05-15,57.0
FRA,France,2020-05-22,58.0
FRA,France,2020-05-29,59.0
FRA,France,2020-06-05,54.0
FRA,France,2020-06-12,57.0
FRA,France,2020-06-19,57.0
FRA,France,2020-06-26,56.0
GBR,United Kingdom,2020-05-08,48.0
GBR,United Kingdom,2020-05-15,49.0
GBR,United Kingdom,2020-05-22,47.0
GBR,United Kingdom,2020-05-29,44.0
GBR,United Kingdom,2020-06-05,45.0
GBR,United Kingdom,2020-06-12,45.0
GBR,United Kingdom,2020-06-19,44.0
GBR,United Kingdom,2020-06-26,44.0
HKG,Hong Kong SAR China,2020-05-12,59.0
HKG,Hong Kong SAR China,2020-05-19,58.0
HKG,Hong Kong SAR China,2020-05-26,61.0
HKG,Hong Kong SAR China,2020-06-02,59.0
HKG,Hong Kong SAR China,2020-06-09,59.0
HKG,Hong Kong SAR China,2020-06-16,57.0
HKG,Hong Kong SAR China,2020-06-23,57.0
HKG,Hong Kong SAR China,2020-06-30,57.0
IDN,Indonesia,2020-05-11,91.0
IDN,Indonesia,2020-05-18,90.0
IDN,Indonesia,2020-05-25,90.0
IDN,Indonesia,2020-06-01,90.0
IDN,Indonesia,2020-06-08,90.0
IDN,Indonesia,2020-06-15,89.0
IDN,Indonesia,2020-06-22,91.0
IDN,Indonesia,2020-06-29,90.0
IND,India,2020-05-11,71.0
IND,India,2020-05-18,70.0
IND,India,2020-05-25,70.0
IND,India,2020-06-01,75.0
IND,India,2020-06-08,73.0
IND,India,2020-06-15,74.0
IND,India,2020-06-22,70.0
IND,India,2020-06-29,74.0
ITA,Italy,2020-05-08,67.0
ITA,Italy,2020-05-15,68.0
