iso_code,country,date,yougov_friends_and_family_health_fears
ARE,United Arab Emirates,2020-05-11,73
ARE,United Arab Emirates,2020-05-18,72
ARE,United Arab Emirates,2020-05-25,71
ARE,United Arab Emirates,2020-06-01,70
ARE,United Arab Emirates,2020-06-08,70
ARE,United Arab Emirates,2020-06-15,69
ARE,United Arab Emirates,2020-06-22,69
AUS,Australia,2020-05-11,56
AUS,Australia,2020-05-18,56
AUS,Australia,2020-05-25,55
AUS,Australia,2020-06-01,54
AUS,Australia,2020-06-08,53
AUS,Australia,2020-06-15,53
AUS,Australia,2020-06-22,53
CAN,Canada,2020-05-12,60
CAN,Canada,2020-05-19,59
CAN,Canada,2020-05-26,56
CAN,Canada,2020-06-02,57
CAN,Canada,2020-06-09,55
CAN,Canada,2020-06-16,53
CAN,Canada,2020-06-23,58
CHN,China,2020-05-12,39
CHN,China,2020-05-19,38
CHN,China,2020-05-26,40
CHN,China,2020-06-02,43
CHN,China,2020-06-09,39
CHN,China,2020-06-16,42
CHN,China,2020-06-23,42
DEU,Germany,2020-05-11,61
DEU,Germany,2020-05-19,60
DEU,Germany,2020-05-26,60
DEU,Germany,2020-06-02,59
DEU,Germany,2020-06-09,58
DEU,Germany,2020-06-16,57
DEU,Germany,2020-06-23,57
DNK,Denmark,2020-05-11,53
DNK,Denmark,2020-05-15,53
DNK,Denmark,2020-05-22,50
DNK,Denmark,2020-05-28,53
DNK,Denmark,2020-06-04,44
DNK,Denmark,2020-06-11,49
DNK,Denmark,2020-06-18,43
ESP,Spain,2020-05-07,84
ESP,Spain,2020-05-14,86
ESP,Spain,2020-05-21,83
ESP,Spain,2020-05-28,81
ESP,Spain,2020-06-04,80
ESP,Spain,2020-06-11,80
ESP,Spain,2020-06-18,80
FIN,Finland,2020-05-11,59
FIN,Finland,2020-05-15,60
FIN,Finland,2020-05-22,56
FIN,Finland,2020-05-28,54
FIN,Finland,2020-06-04,54
FIN,Finland,2020-06-11,46
FIN,Finland,2020-06-18,44
FRA,France,2020-05-08,79
FRA,France,2020-05-15,78
FRA,France,2020-05-22,76
FRA,France,2020-05-29,71
FRA,France,2020-06-05,71
FRA,France,2020-06-12,71
FRA,France,2020-06-19,71
GBR,United Kingdom,2020-05-08,72
GBR,United Kingdom,2020-05-15,73
GBR,United Kingdom,2020-05-22,69
GBR,United Kingdom,2020-05-29,68
GBR,United Kingdom,2020-06-05,70
GBR,United Kingdom,2020-06-12,64
GBR,United Kingdom,2020-06-19,62
HKG,Hong Kong SAR China,2020-05-12,44
HKG,Hong Kong SAR China,2020-05-19,47
HKG,Hong Kong SAR China,2020-05-26,46
HKG,Hong Kong SAR China,2020-06-02,49
HKG,Hong Kong SAR China,2020-06-09,50
HKG,Hong Kong SAR China,2020-06-16,48
HKG,Hong Kong SAR China,2020-06-23,46
IDN,Indonesia,2020-05-11,91
IDN,Indonesia,2020-05-18,90
IDN,Indonesia,2020-05-25,90
IDN,Indonesia,2020-06-01,91
IDN,Indonesia,2020-06-08,91
IDN,Indonesia,2020-06-15,91
IDN,Indonesia,2020-06-22,91
IND,India,2020-05-11,56
IND,India,2020-05-18,55
IND,India,2020-05-25,58
IND,India,2020-06-01,62
IND,India,2020-06-08,61
IND,India,2020-06-15,64
IND,India,2020-06-22,62
ITA,Italy,2020-05-08,74
ITA,Italy,2020-05-15,75
ITA,Italy,2020-05-22,70
ITA,Italy,2020-05-29,70
ITA,Italy,2020-06-03,68
ITA,Italy,2020-06-10,66
ITA,Italy,2020-06-17,65
MEX,Mexico,2020-05-12,83
MEX,Mexico,2020-05-19,84
MEX,Mexico,2020-05-26,84
MEX,Mexico,2020-06-02,81
MEX,Mexico,2020-06-09,85
MEX,Mexico,2020-06-16,84
MEX,Mexico,2020-06-23,87
MYS,Malaysia,2020-05-11,85
MYS,Malaysia,2020-05-18,84
MYS,Malaysia,2020-05-25,82
MYS,Malaysia,2020-06-01,83
MYS,Malaysia,2020-06-08,80
MYS,Malaysia,2020-06-15,81
MYS,Malaysia,2020-06-22,79
NOR,Norway,2020-05-11,54
NOR,Norway,2020-05-15,53
NOR,Norway,2020-05-22,49
NOR,Norway,2020-05-29,49
NOR,Norway,2020-06-05,48
NOR,Norway,2020-06-12,48
NOR,Norway,2020-06-19,50
PHL,Philippines,2020-05-11,81
PHL,Philippines,2020-05-18,80
PHL,Philippines,2020-05-25,83
PHL,Philippines,2020-06-01,86
PHL,Philippines,2020-06-08,84
PHL,Philippines,2020-06-15,85
PHL,Philippines,2020-06-22,84
POL,Poland,2020-05-12,59
POL,Poland,2020-05-19,57
POL,Poland,2020-05-26,54
POL,Poland,2020-06-02,56
POL,Poland,2020-06-09,55
POL,Poland,2020-06-16,58
POL,Poland,2020-06-23,53
SAU,Saudi Arabia,2020-05-11,59
SAU,Saudi Arabia,2020-05-18,62
SAU,Saudi Arabia,2020-05-25,60
SAU,Saudi Arabia,2020-06-01,60
SAU,Saudi Arabia,2020-06-08,62
SAU,Saudi Arabia,2020-06-15,67
SAU,Saudi Arabia,2020-06-22,63
SGP,Singapore,2020-05-08,68
SGP,Singapore,2020-05-15,68
SGP,Singapore,2020-05-22,66
SGP,Singapore,2020-05-29,66
SGP,Singapore,2020-06-05,65
SGP,Singapore,2020-06-12,67
SGP,Singapore,2020-06-19,70
