iso_code,country,date,yougov_improving_personal_hygiene
ARE,United Arab Emirates,2020-03-18,79.0
ARE,United Arab Emirates,2020-03-25,78.0
ARE,United Arab Emirates,2020-04-01,77.0
ARE,United Arab Emirates,2020-04-07,78.0
ARE,United Arab Emirates,2020-04-14,79.0
ARE,United Arab Emirates,2020-04-22,78.0
ARE,United Arab Emirates,2020-04-29,78.0
ARE,United Arab Emirates,2020-05-04,77.0
ARE,United Arab Emirates,2020-06-03,76.0
ARE,United Arab Emirates,2020-06-10,75.0
ARE,United Arab Emirates,2020-06-17,75.0
ARE,United Arab Emirates,2020-07-05,74.0
ARE,United Arab Emirates,2020-07-13,75.0
ARE,United Arab Emirates,2020-07-21,70.0
ARE,United Arab Emirates,2020-07-29,71.0
ARE,United Arab Emirates,2020-08-11,70.0
ARE,United Arab Emirates,2020-08-24,68.0
ARE,United Arab Emirates,2020-09-30,67.0
ARE,United Arab Emirates,2020-10-07,71.0
ARE,United Arab Emirates,2020-10-14,70.0
ARE,United Arab Emirates,2020-11-02,66.0
ARE,United Arab Emirates,2020-11-11,67.0
ARE,United Arab Emirates,2020-11-30,73.0
ARE,United Arab Emirates,2020-12-16,71.0
ARE,United Arab Emirates,2020-12-23,66.0
ARE,United Arab Emirates,2020-12-29,70.0
ARE,United Arab Emirates,2021-01-05,71.0
ARE,United Arab Emirates,2021-01-13,64.0
ARE,United Arab Emirates,2021-02-01,66.0
ARE,United Arab Emirates,2021-02-14,69.0
ARE,United Arab Emirates,2021-03-16,66.0
ARE,United Arab Emirates,2021-04-21,69.0
ARE,United Arab Emirates,2021-04-27,70.0
ARE,United Arab Emirates,2021-05-17,61.0
ARE,United Arab Emirates,2021-05-24,66.0
ARE,United Arab Emirates,2021-05-31,67.0
ARE,United Arab Emirates,2021-06-15,63.0
ARE,United Arab Emirates,2021-07-13,63.0
ARE,United Arab Emirates,2021-08-02,68.0
ARE,United Arab Emirates,2021-08-10,58.0
ARE,United Arab Emirates,2021-08-22,61.0
ARE,United Arab Emirates,2021-08-30,65.0
ARE,United Arab Emirates,2021-09-06,61.0
ARE,United Arab Emirates,2021-09-27,65.0
AUS,Australia,2020-03-15,62.0
AUS,Australia,2020-03-22,76.0
AUS,Australia,2020-03-29,81.0
AUS,Australia,2020-04-05,81.0
AUS,Australia,2020-04-12,82.0
AUS,Australia,2020-04-19,81.0
AUS,Australia,2020-04-26,81.0
AUS,Australia,2020-05-03,75.0
AUS,Australia,2020-05-22,76.0
AUS,Australia,2020-06-05,72.0
AUS,Australia,2020-06-19,70.0
AUS,Australia,2020-07-03,70.0
AUS,Australia,2020-08-02,71.0
AUS,Australia,2020-08-30,71.0
AUS,Australia,2021-07-19,56.0
AUS,Australia,2021-08-16,55.0
CAN,Canada,2020-03-17,71.0
CAN,Canada,2020-03-23,76.0
CAN,Canada,2020-03-30,80.0
CAN,Canada,2020-04-06,79.0
CAN,Canada,2020-04-13,77.0
CAN,Canada,2020-04-20,82.0
CAN,Canada,2020-04-27,82.0
CAN,Canada,2020-05-26,73.0
CAN,Canada,2020-06-11,72.0
CAN,Canada,2020-06-26,71.0
CAN,Canada,2020-07-07,72.0
CAN,Canada,2020-07-21,70.0
CAN,Canada,2020-08-04,71.0
CAN,Canada,2020-08-24,70.0
CAN,Canada,2020-09-01,70.0
CAN,Canada,2020-10-30,67.0
CAN,Canada,2020-11-27,71.0
CAN,Canada,2021-01-27,67.0
CAN,Canada,2021-02-28,66.0
CHN,China,2020-02-24,84.0
CHN,China,2020-03-02,84.0
CHN,China,2020-03-09,85.0
CHN,China,2020-03-16,78.0
CHN,China,2020-03-23,83.0
CHN,China,2020-03-30,82.0
CHN,China,2020-04-06,81.0
CHN,China,2020-04-13,84.0
CHN,China,2020-04-20,81.0
CHN,China,2020-04-27,84.0
CHN,China,2020-05-04,85.0
CHN,China,2020-05-26,82.0
