iso_code,country,date,yougov_international_happiness
ARE,United Arab Emirates,2020-04-29,13.0
ARE,United Arab Emirates,2020-05-28,11.0
ARE,United Arab Emirates,2020-06-10,16.0
ARE,United Arab Emirates,2020-06-25,20.0
ARE,United Arab Emirates,2020-07-10,20.0
AUS,Australia,2020-04-22,10.0
AUS,Australia,2020-05-06,11.0
AUS,Australia,2020-05-16,18.0
AUS,Australia,2020-06-04,22.0
AUS,Australia,2020-06-10,27.0
AUS,Australia,2020-06-26,10.0
AUS,Australia,2020-07-09,1.0
AUS,Australia,2020-07-22,-11.0
BRA,Brazil,2020-05-02,-6.0
BRA,Brazil,2020-05-21,7.0
BRA,Brazil,2020-06-29,15.0
BRA,Brazil,2020-07-09,16.0
BRA,Brazil,2020-07-25,21.0
CAN,Canada,2020-04-30,-3.0
CAN,Canada,2020-05-16,3.0
CAN,Canada,2020-06-04,11.0
CAN,Canada,2020-06-10,14.0
CAN,Canada,2020-06-26,12.0
CAN,Canada,2020-07-14,12.0
CHN,China,2020-04-25,8.0
CHN,China,2020-05-07,6.0
CHN,China,2020-05-14,5.0
CHN,China,2020-05-29,8.0
CHN,China,2020-06-10,7.0
CHN,China,2020-06-24,2.0
CHN,China,2020-07-09,3.0
CHN,China,2020-07-23,3.0
DEU,Germany,2020-04-25,-11.0
DEU,Germany,2020-05-14,-2.0
DEU,Germany,2020-05-29,5.0
DEU,Germany,2020-06-10,5.0
DEU,Germany,2020-06-24,7.0
DEU,Germany,2020-07-09,5.0
DEU,Germany,2020-07-23,8.0
DNK,Denmark,2020-04-29,-4.0
DNK,Denmark,2020-05-14,7.0
DNK,Denmark,2020-05-29,11.0
DNK,Denmark,2020-06-10,10.0
DNK,Denmark,2020-06-24,12.0
DNK,Denmark,2020-07-08,6.0
DNK,Denmark,2020-07-23,9.0
ESP,Spain,2020-04-25,-15.0
ESP,Spain,2020-05-07,3.0
ESP,Spain,2020-05-13,-1.0
ESP,Spain,2020-05-28,16.0
ESP,Spain,2020-06-10,13.0
ESP,Spain,2020-06-24,14.0
ESP,Spain,2020-07-09,14.0
ESP,Spain,2020-07-23,2.0
FIN,Finland,2020-04-28,-7.0
FIN,Finland,2020-05-30,9.0
FIN,Finland,2020-06-10,13.0
FIN,Finland,2020-06-25,13.0
FIN,Finland,2020-07-11,8.0
FIN,Finland,2020-07-24,8.0
FRA,France,2020-04-25,-17.0
FRA,France,2020-05-07,-1.0
FRA,France,2020-05-14,17.0
FRA,France,2020-05-28,24.0
FRA,France,2020-06-10,22.0
FRA,France,2020-06-24,18.0
FRA,France,2020-07-09,9.0
FRA,France,2020-07-22,2.0
GBR,United Kingdom,2020-04-21,-17.0
GBR,United Kingdom,2020-05-07,-8.0
GBR,United Kingdom,2020-05-15,-6.0
GBR,United Kingdom,2020-05-22,2.0
GBR,United Kingdom,2020-05-27,-6.0
GBR,United Kingdom,2020-06-02,-2.0
GBR,United Kingdom,2020-06-09,2.0
GBR,United Kingdom,2020-06-17,3.0
GBR,United Kingdom,2020-07-03,1.0
GBR,United Kingdom,2020-07-22,11.0
HKG,Hong Kong SAR China,2020-05-17,-2.0
HKG,Hong Kong SAR China,2020-05-30,-7.0
HKG,Hong Kong SAR China,2020-06-10,-2.0
HKG,Hong Kong SAR China,2020-06-25,-3.0
HKG,Hong Kong SAR China,2020-07-09,-22.0
IDN,Indonesia,2020-04-29,10.0
IDN,Indonesia,2020-05-14,14.0
IDN,Indonesia,2020-05-30,15.0
IDN,Indonesia,2020-06-10,24.0
IDN,Indonesia,2020-06-25,27.0
IDN,Indonesia,2020-07-10,22.0
IDN,Indonesia,2020-07-23,27.0
IND,India,2020-04-22,13.0
IND,India,2020-05-07,10.0
IND,India,2020-05-15,6.0
IND,India,2020-06-03,21.0
IND,India,2020-06-10,11.0
IND,India,2020-06-25,10.0
IND,India,2020-07-09,7.0
