iso_code,country,date,yougov_job_loss_fears
ARE,United Arab Emirates,2020-05-11,68.0
ARE,United Arab Emirates,2020-05-18,69.0
ARE,United Arab Emirates,2020-05-25,68.0
ARE,United Arab Emirates,2020-06-01,68.0
ARE,United Arab Emirates,2020-06-08,65.0
ARE,United Arab Emirates,2020-06-15,65.0
ARE,United Arab Emirates,2020-06-22,65.0
ARE,United Arab Emirates,2020-06-29,66.0
AUS,Australia,2020-05-11,31.0
AUS,Australia,2020-05-18,30.0
AUS,Australia,2020-05-25,32.0
AUS,Australia,2020-06-01,29.0
AUS,Australia,2020-06-08,29.0
AUS,Australia,2020-06-15,29.0
AUS,Australia,2020-06-22,30.0
AUS,Australia,2020-06-29,31.0
CAN,Canada,2020-05-12,25.0
CAN,Canada,2020-05-19,26.0
CAN,Canada,2020-05-26,25.0
CAN,Canada,2020-06-02,26.0
CAN,Canada,2020-06-09,26.0
CAN,Canada,2020-06-16,25.0
CAN,Canada,2020-06-23,25.0
CAN,Canada,2020-06-30,24.0
CHN,China,2020-05-12,33.0
CHN,China,2020-05-19,34.0
CHN,China,2020-05-26,32.0
CHN,China,2020-06-02,32.0
CHN,China,2020-06-09,33.0
CHN,China,2020-06-16,32.0
CHN,China,2020-06-23,36.0
CHN,China,2020-06-30,33.0
DEU,Germany,2020-05-11,21.0
DEU,Germany,2020-05-19,21.0
DEU,Germany,2020-05-26,22.0
DEU,Germany,2020-06-02,20.0
DEU,Germany,2020-06-09,21.0
DEU,Germany,2020-06-16,20.0
DEU,Germany,2020-06-23,22.0
DEU,Germany,2020-06-30,20.0
DNK,Denmark,2020-05-11,16.0
DNK,Denmark,2020-05-15,13.0
DNK,Denmark,2020-05-22,13.0
DNK,Denmark,2020-05-28,13.0
DNK,Denmark,2020-06-04,14.0
DNK,Denmark,2020-06-11,11.0
DNK,Denmark,2020-06-18,14.0
DNK,Denmark,2020-06-25,13.0
ESP,Spain,2020-05-07,45.0
ESP,Spain,2020-05-14,48.0
ESP,Spain,2020-05-21,42.0
ESP,Spain,2020-05-28,42.0
ESP,Spain,2020-06-04,42.0
ESP,Spain,2020-06-11,44.0
