iso_code,country,date,yougov_personal_health_fears
ARE,United Arab Emirates,2020-05-11,55
ARE,United Arab Emirates,2020-05-18,55
ARE,United Arab Emirates,2020-05-25,55
ARE,United Arab Emirates,2020-06-01,54
ARE,United Arab Emirates,2020-06-08,57
ARE,United Arab Emirates,2020-06-15,53
ARE,United Arab Emirates,2020-06-22,54
ARE,United Arab Emirates,2020-06-29,54
AUS,Australia,2020-05-11,40
AUS,Australia,2020-05-18,40
AUS,Australia,2020-05-25,39
AUS,Australia,2020-06-01,37
AUS,Australia,2020-06-08,37
AUS,Australia,2020-06-15,36
AUS,Australia,2020-06-22,37
AUS,Australia,2020-06-29,39
CAN,Canada,2020-05-12,41
CAN,Canada,2020-05-19,42
CAN,Canada,2020-05-26,37
CAN,Canada,2020-06-02,41
CAN,Canada,2020-06-09,39
CAN,Canada,2020-06-16,36
CAN,Canada,2020-06-23,41
CAN,Canada,2020-06-30,40
CHN,China,2020-05-12,31
CHN,China,2020-05-19,34
CHN,China,2020-05-26,34
CHN,China,2020-06-02,33
CHN,China,2020-06-09,31
CHN,China,2020-06-16,32
CHN,China,2020-06-23,34
CHN,China,2020-06-30,34
DEU,Germany,2020-05-11,40
DEU,Germany,2020-05-19,41
DEU,Germany,2020-05-26,41
DEU,Germany,2020-06-02,36
DEU,Germany,2020-06-09,40
DEU,Germany,2020-06-16,37
DEU,Germany,2020-06-23,39
DEU,Germany,2020-06-30,41
DNK,Denmark,2020-05-11,30
DNK,Denmark,2020-05-15,33
DNK,Denmark,2020-05-22,29
DNK,Denmark,2020-05-28,31
DNK,Denmark,2020-06-04,26
DNK,Denmark,2020-06-11,28
DNK,Denmark,2020-06-18,25
DNK,Denmark,2020-06-25,30
ESP,Spain,2020-05-07,58
ESP,Spain,2020-05-14,60
ESP,Spain,2020-05-21,59
ESP,Spain,2020-05-28,55
ESP,Spain,2020-06-04,57
ESP,Spain,2020-06-11,60
ESP,Spain,2020-06-18,60
ESP,Spain,2020-06-25,61
FIN,Finland,2020-05-11,36
FIN,Finland,2020-05-15,33
FIN,Finland,2020-05-22,33
FIN,Finland,2020-05-28,32
FIN,Finland,2020-06-04,29
FIN,Finland,2020-06-11,27
FIN,Finland,2020-06-18,26
FIN,Finland,2020-06-25,26
FRA,France,2020-05-08,55
FRA,France,2020-05-15,53
FRA,France,2020-05-22,53
FRA,France,2020-05-29,46
FRA,France,2020-06-05,47
FRA,France,2020-06-12,46
FRA,France,2020-06-19,46
FRA,France,2020-06-26,49
GBR,United Kingdom,2020-05-08,48
GBR,United Kingdom,2020-05-15,48
GBR,United Kingdom,2020-05-22,46
GBR,United Kingdom,2020-05-29,44
GBR,United Kingdom,2020-06-05,47
GBR,United Kingdom,2020-06-12,41
GBR,United Kingdom,2020-06-19,41
GBR,United Kingdom,2020-06-26,41
HKG,Hong Kong SAR China,2020-05-12,40
HKG,Hong Kong SAR China,2020-05-19,41
HKG,Hong Kong SAR China,2020-05-26,42
HKG,Hong Kong SAR China,2020-06-02,44
HKG,Hong Kong SAR China,2020-06-09,43
HKG,Hong Kong SAR China,2020-06-16,44
HKG,Hong Kong SAR China,2020-06-23,42
HKG,Hong Kong SAR China,2020-06-30,41
IDN,Indonesia,2020-05-11,84
IDN,Indonesia,2020-05-18,80
IDN,Indonesia,2020-05-25,82
IDN,Indonesia,2020-06-01,85
IDN,Indonesia,2020-06-08,83
IDN,Indonesia,2020-06-15,82
IDN,Indonesia,2020-06-22,84
IDN,Indonesia,2020-06-29,83
IND,India,2020-05-11,45
IND,India,2020-05-18,42
IND,India,2020-05-25,47
IND,India,2020-06-01,52
IND,India,2020-06-08,49
IND,India,2020-06-15,52
