iso_code,country,date,yougov_refraining_from_touching_objects
ARE,United Arab Emirates,2020-03-18,56
ARE,United Arab Emirates,2020-03-25,63
ARE,United Arab Emirates,2020-04-01,69
ARE,United Arab Emirates,2020-04-07,64
ARE,United Arab Emirates,2020-04-14,71
ARE,United Arab Emirates,2020-04-22,70
ARE,United Arab Emirates,2020-04-29,68
ARE,United Arab Emirates,2020-05-04,69
ARE,United Arab Emirates,2020-06-03,67
ARE,United Arab Emirates,2020-06-10,65
ARE,United Arab Emirates,2020-06-17,63
ARE,United Arab Emirates,2020-07-05,67
ARE,United Arab Emirates,2020-07-13,68
ARE,United Arab Emirates,2020-07-21,59
ARE,United Arab Emirates,2020-07-29,66
AUS,Australia,2020-03-15,37
AUS,Australia,2020-03-22,53
AUS,Australia,2020-03-29,67
AUS,Australia,2020-04-05,69
AUS,Australia,2020-04-12,72
AUS,Australia,2020-04-19,69
AUS,Australia,2020-04-26,69
AUS,Australia,2020-05-03,67
AUS,Australia,2020-05-22,68
AUS,Australia,2020-06-05,60
AUS,Australia,2020-06-19,57
AUS,Australia,2020-07-03,59
CAN,Canada,2020-03-17,51
CAN,Canada,2020-03-23,60
CAN,Canada,2020-03-30,70
CAN,Canada,2020-04-06,72
CAN,Canada,2020-04-13,65
CAN,Canada,2020-04-20,74
CAN,Canada,2020-04-27,75
CAN,Canada,2020-05-26,66
CAN,Canada,2020-06-11,62
CAN,Canada,2020-06-26,60
CAN,Canada,2020-07-07,61
CAN,Canada,2020-07-21,60
CHN,China,2020-02-24,70
CHN,China,2020-03-02,72
CHN,China,2020-03-09,71
CHN,China,2020-03-16,67
CHN,China,2020-03-23,71
CHN,China,2020-03-30,73
CHN,China,2020-04-06,72
CHN,China,2020-04-13,73
CHN,China,2020-04-20,72
CHN,China,2020-04-27,71
CHN,China,2020-05-04,76
CHN,China,2020-05-26,64
CHN,China,2020-06-08,64
CHN,China,2020-06-22,62
CHN,China,2020-07-06,62
CHN,China,2020-07-20,59
DEU,Germany,2020-03-04,30
DEU,Germany,2020-03-16,35
DEU,Germany,2020-03-23,50
DEU,Germany,2020-03-30,51
DEU,Germany,2020-04-06,51
DEU,Germany,2020-04-13,54
DEU,Germany,2020-04-20,53
DEU,Germany,2020-04-27,52
DEU,Germany,2020-05-04,53
DEU,Germany,2020-05-25,44
DEU,Germany,2020-06-18,45
DEU,Germany,2020-07-02,41
DEU,Germany,2020-07-16,44
DEU,Germany,2020-07-30,43
DNK,Denmark,2020-03-16,40
DNK,Denmark,2020-03-23,41
DNK,Denmark,2020-03-29,46
DNK,Denmark,2020-04-05,59
DNK,Denmark,2020-04-12,47
DNK,Denmark,2020-04-19,53
DNK,Denmark,2020-04-26,52
DNK,Denmark,2020-05-03,52
DNK,Denmark,2020-05-25,48
DNK,Denmark,2020-06-18,49
ESP,Spain,2020-03-12,30
ESP,Spain,2020-03-19,58
