iso_code,country,date,yougov_stopping_sending_children
ARE,United Arab Emirates,2020-09-30,31.0
ARE,United Arab Emirates,2020-10-07,31.0
ARE,United Arab Emirates,2020-10-14,29.0
ARE,United Arab Emirates,2020-11-02,27.0
ARE,United Arab Emirates,2020-11-11,25.0
ARE,United Arab Emirates,2020-11-30,24.0
ARE,United Arab Emirates,2020-12-16,28.0
ARE,United Arab Emirates,2020-12-23,26.0
ARE,United Arab Emirates,2020-12-29,28.0
ARE,United Arab Emirates,2021-01-05,26.0
ARE,United Arab Emirates,2021-01-13,25.0
ARE,United Arab Emirates,2021-02-01,29.0
ARE,United Arab Emirates,2021-02-14,28.0
ARE,United Arab Emirates,2021-03-16,26.0
ARE,United Arab Emirates,2021-04-21,26.0
ARE,United Arab Emirates,2021-04-27,26.0
ARE,United Arab Emirates,2021-05-17,25.0
ARE,United Arab Emirates,2021-05-24,25.0
ARE,United Arab Emirates,2021-05-31,25.0
ARE,United Arab Emirates,2021-06-15,24.0
ARE,United Arab Emirates,2021-07-13,21.0
ARE,United Arab Emirates,2021-08-02,22.0
ARE,United Arab Emirates,2021-08-10,21.0
ARE,United Arab Emirates,2021-08-22,23.0
ARE,United Arab Emirates,2021-08-30,21.0
ARE,United Arab Emirates,2021-09-06,19.0
AUS,Australia,2020-03-15,2.0
AUS,Australia,2020-03-22,6.0
AUS,Australia,2020-03-29,13.0
AUS,Australia,2020-04-05,12.0
AUS,Australia,2020-04-12,16.0
AUS,Australia,2020-04-19,13.0
AUS,Australia,2020-04-26,17.0
AUS,Australia,2020-05-03,15.0
AUS,Australia,2020-05-22,8.0
AUS,Australia,2020-06-05,6.0
AUS,Australia,2020-06-19,6.0
AUS,Australia,2020-07-03,5.0
AUS,Australia,2020-08-02,6.0
AUS,Australia,2020-08-30,4.0
AUS,Australia,2021-07-19,6.0
AUS,Australia,2021-08-16,6.0
CAN,Canada,2020-03-17,5.0
CAN,Canada,2020-03-23,14.0
CAN,Canada,2020-03-30,14.0
CAN,Canada,2020-04-06,18.0
CAN,Canada,2020-04-13,10.0
CHN,China,2020-02-24,18.0
CHN,China,2020-03-02,22.0
CHN,China,2020-03-09,22.0
CHN,China,2020-03-16,19.0
CHN,China,2020-03-23,20.0
CHN,China,2020-03-30,22.0
CHN,China,2020-04-06,21.0
CHN,China,2020-04-13,20.0
CHN,China,2020-04-20,25.0
CHN,China,2020-04-27,22.0
CHN,China,2020-05-04,24.0
CHN,China,2020-05-26,18.0
CHN,China,2020-06-08,18.0
CHN,China,2020-06-22,14.0
CHN,China,2020-07-06,15.0
CHN,China,2020-07-20,12.0
CHN,China,2020-08-04,15.0
CHN,China,2020-08-17,13.0
CHN,China,2020-08-31,13.0
CHN,China,2020-09-14,7.0
CHN,China,2020-09-28,9.0
CHN,China,2020-10-12,9.0
DEU,Germany,2020-03-04,1.0
DEU,Germany,2020-03-16,3.0
DEU,Germany,2020-03-23,11.0
DEU,Germany,2020-03-30,11.0
DEU,Germany,2020-04-06,12.0
DEU,Germany,2020-04-13,12.0
DEU,Germany,2020-04-20,12.0
DEU,Germany,2020-04-27,10.0
DEU,Germany,2020-05-04,12.0
DEU,Germany,2020-05-25,11.0
DEU,Germany,2020-06-18,8.0
DEU,Germany,2020-07-02,6.0
DEU,Germany,2020-07-16,5.0
DEU,Germany,2020-07-30,5.0
DEU,Germany,2020-08-13,5.0
DEU,Germany,2020-08-27,4.0
DEU,Germany,2020-09-10,3.0
DEU,Germany,2020-09-24,3.0
DEU,Germany,2020-10-08,3.0
DEU,Germany,2020-10-22,3.0
DEU,Germany,2020-11-04,3.0
DEU,Germany,2020-11-19,3.0
DEU,Germany,2020-12-04,3.0
DEU,Germany,2020-12-17,7.0
DEU,Germany,2020-12-31,8.0
DEU,Germany,2021-01-18,11.0
DEU,Germany,2021-01-28,12.0
DEU,Germany,2021-02-11,11.0
DEU,Germany,2021-02-26,9.0
DEU,Germany,2021-03-11,7.0
DEU,Germany,2021-03-25,7.0
DEU,Germany,2021-04-08,6.0
DEU,Germany,2021-04-23,7.0
DEU,Germany,2021-05-06,7.0
DEU,Germany,2021-05-20,6.0
DEU,Germany,2021-06-04,5.0
DEU,Germany,2021-06-17,4.0
DEU,Germany,2021-07-01,3.0
DEU,Germany,2021-07-15,4.0
DEU,Germany,2021-07-27,4.0
DEU,Germany,2021-08-10,3.0
DEU,Germany,2021-08-24,3.0
DEU,Germany,2021-09-07,3.0
DNK,Denmark,2020-03-16,16.0
DNK,Denmark,2020-03-23,16.0
DNK,Denmark,2020-03-29,17.0
DNK,Denmark,2020-04-05,23.0
DNK,Denmark,2020-04-12,16.0
DNK,Denmark,2020-04-19,18.0
DNK,Denmark,2020-04-26,12.0
DNK,Denmark,2020-05-03,14.0
DNK,Denmark,2020-05-25,7.0
DNK,Denmark,2020-06-18,4.0
DNK,Denmark,2020-09-13,3.0
DNK,Denmark,2020-09-23,2.0
DNK,Denmark,2020-10-12,2.0
DNK,Denmark,2020-11-05,2.0
DNK,Denmark,2020-11-18,2.0
DNK,Denmark,2020-12-02,3.0
DNK,Denmark,2021-01-13,11.0
DNK,Denmark,2021-02-14,8.0
DNK,Denmark,2021-02-28,7.0
DNK,Denmark,2021-03-12,3.0
DNK,Denmark,2021-03-29,4.0
DNK,Denmark,2021-04-12,4.0
DNK,Denmark,2021-05-10,3.0
DNK,Denmark,2021-06-07,2.0
DNK,Denmark,2021-07-05,2.0
DNK,Denmark,2021-08-13,2.0
DNK,Denmark,2021-08-28,2.0
DNK,Denmark,2021-09-12,1.0
ESP,Spain,2020-03-12,6.0
ESP,Spain,2020-03-19,21.0
ESP,Spain,2020-03-25,23.0
ESP,Spain,2020-04-02,25.0
ESP,Spain,2020-04-08,22.0
ESP,Spain,2020-04-16,23.0
ESP,Spain,2020-04-23,22.0
ESP,Spain,2020-04-30,20.0
ESP,Spain,2020-05-20,20.0
ESP,Spain,2020-05-28,17.0
ESP,Spain,2020-06-08,12.0
ESP,Spain,2020-06-12,17.0
ESP,Spain,2020-06-21,14.0
ESP,Spain,2020-06-25,13.0
ESP,Spain,2020-07-09,9.0
ESP,Spain,2020-07-16,11.0
ESP,Spain,2020-07-23,11.0
ESP,Spain,2020-07-30,11.0
ESP,Spain,2020-08-06,10.0
ESP,Spain,2020-08-25,7.0
ESP,Spain,2020-09-04,6.0
ESP,Spain,2020-09-10,5.0
ESP,Spain,2020-09-18,3.0
ESP,Spain,2020-09-23,4.0
ESP,Spain,2020-09-30,4.0
ESP,Spain,2020-10-16,2.0
ESP,Spain,2020-11-04,3.0
ESP,Spain,2020-11-16,3.0
ESP,Spain,2020-11-23,3.0
ESP,Spain,2020-12-02,3.0
ESP,Spain,2020-12-11,2.0
