iso_code,country,date,yougov_support_cancel_large_events
AUS,Australia,2020-03-08,39
AUS,Australia,2020-03-15,58
AUS,Australia,2020-03-22,75
AUS,Australia,2020-03-29,82
AUS,Australia,2020-04-05,84
AUS,Australia,2020-04-12,85
AUS,Australia,2020-04-19,84
AUS,Australia,2020-04-26,84
AUS,Australia,2020-05-03,78
AUS,Australia,2020-06-05,70
AUS,Australia,2020-06-19,66
AUS,Australia,2020-07-03,65
CAN,Canada,2020-03-17,76
CAN,Canada,2020-03-23,84
CAN,Canada,2020-03-30,86
CAN,Canada,2020-04-06,86
CAN,Canada,2020-04-13,83
CAN,Canada,2020-04-20,84
CAN,Canada,2020-04-27,82
CAN,Canada,2020-05-06,79
CAN,Canada,2020-05-26,65
CAN,Canada,2020-06-11,60
CAN,Canada,2020-06-26,61
CAN,Canada,2020-07-07,61
CAN,Canada,2020-07-21,66
DEU,Germany,2020-03-04,47
DEU,Germany,2020-03-16,71
DEU,Germany,2020-03-23,81
DEU,Germany,2020-03-30,79
DEU,Germany,2020-04-06,77
DEU,Germany,2020-04-13,76
DEU,Germany,2020-04-20,75
DEU,Germany,2020-04-27,73
DEU,Germany,2020-05-04,69
DEU,Germany,2020-05-25,58
DEU,Germany,2020-06-18,57
DEU,Germany,2020-07-02,57
DEU,Germany,2020-07-16,60
DEU,Germany,2020-07-30,59
ESP,Spain,2020-03-12,77
ESP,Spain,2020-03-19,87
ESP,Spain,2020-03-25,88
ESP,Spain,2020-04-02,85
ESP,Spain,2020-04-08,86
ESP,Spain,2020-04-16,88
ESP,Spain,2020-04-23,85
ESP,Spain,2020-04-30,83
ESP,Spain,2020-05-20,79
ESP,Spain,2020-05-28,73
ESP,Spain,2020-06-08,65
ESP,Spain,2020-06-12,72
ESP,Spain,2020-06-21,61
ESP,Spain,2020-06-25,70
ESP,Spain,2020-07-09,72
ESP,Spain,2020-07-16,71
ESP,Spain,2020-07-23,74
ESP,Spain,2020-07-30,76
FRA,France,2020-03-10,45
FRA,France,2020-03-13,61
FRA,France,2020-03-20,82
FRA,France,2020-03-27,84
FRA,France,2020-04-03,82
FRA,France,2020-04-10,77
FRA,France,2020-04-17,78
FRA,France,2020-04-24,76
FRA,France,2020-05-01,76
FRA,France,2020-05-20,59
FRA,France,2020-05-27,62
FRA,France,2020-06-04,54
FRA,France,2020-06-12,47
FRA,France,2020-06-17,49
FRA,France,2020-06-24,53
FRA,France,2020-07-01,54
FRA,France,2020-07-16,59
FRA,France,2020-07-22,59
GBR,United Kingdom,2020-03-01,36
GBR,United Kingdom,2020-03-13,56
GBR,United Kingdom,2020-03-20,81
GBR,United Kingdom,2020-03-27,86
GBR,United Kingdom,2020-04-03,88
GBR,United Kingdom,2020-04-14,87
GBR,United Kingdom,2020-04-17,87
GBR,United Kingdom,2020-04-24,86
GBR,United Kingdom,2020-05-01,83
GBR,United Kingdom,2020-05-30,75
GBR,United Kingdom,2020-06-05,72
GBR,United Kingdom,2020-06-16,69
GBR,United Kingdom,2020-06-25,71
GBR,United Kingdom,2020-07-03,71
GBR,United Kingdom,2020-07-12,60
GBR,United Kingdom,2020-07-26,61
GBR,United Kingdom,2020-07-31,66
HKG,Hong Kong SAR China,2020-02-25,73
HKG,Hong Kong SAR China,2020-04-07,72
HKG,Hong Kong SAR China,2020-04-14,72
HKG,Hong Kong SAR China,2020-04-21,72
HKG,Hong Kong SAR China,2020-04-28,68
HKG,Hong Kong SAR China,2020-05-05,71
HKG,Hong Kong SAR China,2020-06-08,65
HKG,Hong Kong SAR China,2020-06-22,59
HKG,Hong Kong SAR China,2020-07-06,56
IDN,Indonesia,2020-04-06,73
IDN,Indonesia,2020-04-13,74
IDN,Indonesia,2020-04-20,74
IDN,Indonesia,2020-04-27,72
IDN,Indonesia,2020-05-04,72
IND,India,2020-03-16,60
IND,India,2020-03-20,66
IND,India,2020-03-27,76
IND,India,2020-04-03,76
ITA,Italy,2020-03-11,81
ITA,Italy,2020-03-19,84
ITA,Italy,2020-03-25,81
ITA,Italy,2020-04-03,80
ITA,Italy,2020-04-09,81
ITA,Italy,2020-04-16,78
ITA,Italy,2020-04-23,77
ITA,Italy,2020-04-30,76
ITA,Italy,2020-05-26,56
ITA,Italy,2020-06-02,49
ITA,Italy,2020-06-10,46
ITA,Italy,2020-06-17,40
ITA,Italy,2020-06-23,44
ITA,Italy,2020-07-07,44
ITA,Italy,2020-07-14,43
ITA,Italy,2020-07-21,44
ITA,Italy,2020-07-28,43
JPN,Japan,2020-02-24,36
JPN,Japan,2020-04-06,59
JPN,Japan,2020-04-13,60
JPN,Japan,2020-04-20,59
JPN,Japan,2020-04-27,54
JPN,Japan,2020-05-22,60
JPN,Japan,2020-06-08,54
JPN,Japan,2020-06-22,53
JPN,Japan,2020-07-06,53
MEX,Mexico,2020-03-17,74
MEX,Mexico,2020-03-23,81
MEX,Mexico,2020-03-30,82
MEX,Mexico,2020-04-06,83
MEX,Mexico,2020-04-13,80
MEX,Mexico,2020-04-20,81
MEX,Mexico,2020-04-27,79
MEX,Mexico,2020-05-06,77
MYS,Malaysia,2020-02-24,60
MYS,Malaysia,2020-04-06,85
MYS,Malaysia,2020-04-13,83
MYS,Malaysia,2020-04-20,82
MYS,Malaysia,2020-04-27,85
MYS,Malaysia,2020-05-04,83
MYS,Malaysia,2020-05-25,81
MYS,Malaysia,2020-06-08,79
MYS,Malaysia,2020-06-22,80
MYS,Malaysia,2020-07-06,73
PHL,Philippines,2020-02-24,50
PHL,Philippines,2020-04-06,74
PHL,Philippines,2020-04-13,74
PHL,Philippines,2020-04-20,72
PHL,Philippines,2020-04-27,71
PHL,Philippines,2020-05-04,75
PHL,Philippines,2020-05-25,76
