iso_code,country,date,yougov_support_quarantine_any_location
AUS,Australia,2020-03-08,38.0
AUS,Australia,2020-03-15,35.0
AUS,Australia,2020-03-22,46.0
AUS,Australia,2020-03-29,58.0
AUS,Australia,2020-04-05,52.0
AUS,Australia,2020-04-12,55.0
AUS,Australia,2020-04-19,56.0
AUS,Australia,2020-04-26,52.0
AUS,Australia,2020-05-03,50.0
AUS,Australia,2020-06-05,49.0
AUS,Australia,2020-06-19,49.0
AUS,Australia,2020-07-03,54.0
AUS,Australia,2020-08-02,56.0
AUS,Australia,2020-08-30,47.0
AUS,Australia,2021-07-19,48.0
AUS,Australia,2021-08-16,45.0
CAN,Canada,2020-03-17,37.0
CAN,Canada,2020-03-23,45.0
CAN,Canada,2020-03-30,48.0
CAN,Canada,2020-04-06,51.0
CAN,Canada,2020-04-13,45.0
CAN,Canada,2020-04-20,45.0
CAN,Canada,2020-04-27,48.0
CAN,Canada,2020-05-06,42.0
CAN,Canada,2020-05-26,33.0
CAN,Canada,2020-06-11,31.0
CAN,Canada,2020-06-26,31.0
CAN,Canada,2020-07-07,36.0
CAN,Canada,2020-07-21,36.0
CAN,Canada,2020-08-04,33.0
CAN,Canada,2020-08-19,33.0
CAN,Canada,2020-09-01,31.0
CAN,Canada,2020-10-30,32.0
CAN,Canada,2020-11-27,32.0
CAN,Canada,2021-01-27,31.0
CAN,Canada,2021-02-28,28.0
DEU,Germany,2020-03-04,12.0
DEU,Germany,2020-03-16,19.0
DEU,Germany,2020-03-23,32.0
DEU,Germany,2020-03-30,24.0
DEU,Germany,2020-04-06,20.0
DEU,Germany,2020-04-13,17.0
DEU,Germany,2020-04-20,14.0
DEU,Germany,2020-04-27,15.0
DEU,Germany,2020-05-04,15.0
DEU,Germany,2020-05-25,15.0
DEU,Germany,2020-06-18,13.0
DEU,Germany,2020-07-02,12.0
DEU,Germany,2020-07-16,14.0
DEU,Germany,2020-07-30,15.0
DEU,Germany,2020-08-13,14.0
DEU,Germany,2020-08-27,12.0
DEU,Germany,2020-09-10,12.0
DEU,Germany,2020-09-24,12.0
DEU,Germany,2020-10-08,12.0
DEU,Germany,2020-10-22,12.0
DEU,Germany,2020-11-04,12.0
DEU,Germany,2020-11-19,13.0
DEU,Germany,2020-12-04,12.0
DEU,Germany,2020-12-17,17.0
DEU,Germany,2020-12-31,14.0
DEU,Germany,2021-01-18,15.0
DEU,Germany,2021-01-28,15.0
DEU,Germany,2021-02-11,13.0
DEU,Germany,2021-02-26,13.0
DEU,Germany,2021-03-11,11.0
DEU,Germany,2021-03-25,12.0
DEU,Germany,2021-04-08,14.0
DEU,Germany,2021-04-23,13.0
DEU,Germany,2021-05-06,12.0
DEU,Germany,2021-05-20,11.0
DEU,Germany,2021-06-04,11.0
DEU,Germany,2021-06-17,10.0
DEU,Germany,2021-07-01,11.0
DEU,Germany,2021-07-15,8.0
DEU,Germany,2021-07-27,11.0
DEU,Germany,2021-08-10,8.0
DEU,Germany,2021-08-24,9.0
DEU,Germany,2021-09-07,9.0
DEU,Germany,2021-09-21,8.0
ESP,Spain,2020-03-12,31.0
ESP,Spain,2020-03-19,57.0
ESP,Spain,2020-03-25,59.0
ESP,Spain,2020-04-02,50.0
ESP,Spain,2020-04-08,45.0
ESP,Spain,2020-04-16,47.0
ESP,Spain,2020-04-23,45.0
ESP,Spain,2020-04-30,42.0
ESP,Spain,2020-05-20,32.0
ESP,Spain,2020-05-28,32.0
ESP,Spain,2020-06-08,24.0
ESP,Spain,2020-06-12,28.0
ESP,Spain,2020-06-21,31.0
ESP,Spain,2020-06-25,37.0
ESP,Spain,2020-07-09,44.0
ESP,Spain,2020-07-16,41.0
ESP,Spain,2020-07-23,33.0
ESP,Spain,2020-07-30,35.0
ESP,Spain,2020-08-06,43.0
ESP,Spain,2020-08-25,32.0
ESP,Spain,2020-09-04,33.0
ESP,Spain,2020-09-10,29.0
ESP,Spain,2020-09-18,34.0
ESP,Spain,2020-09-23,31.0
ESP,Spain,2020-09-30,29.0
ESP,Spain,2020-10-16,24.0
ESP,Spain,2020-11-04,25.0
ESP,Spain,2020-11-16,28.0
ESP,Spain,2020-11-23,25.0
ESP,Spain,2020-12-02,25.0
ESP,Spain,2020-12-11,25.0
ESP,Spain,2020-12-18,26.0
ESP,Spain,2020-12-23,24.0
ESP,Spain,2021-01-07,30.0
ESP,Spain,2021-01-13,27.0
ESP,Spain,2021-01-20,29.0
ESP,Spain,2021-01-29,31.0
ESP,Spain,2021-02-05,31.0
ESP,Spain,2021-02-17,27.0
ESP,Spain,2021-03-03,27.0
ESP,Spain,2021-03-10,28.0
ESP,Spain,2021-03-18,25.0
ESP,Spain,2021-03-24,24.0
ESP,Spain,2021-04-01,24.0
ESP,Spain,2021-04-14,25.0
ESP,Spain,2021-04-21,27.0
ESP,Spain,2021-05-01,26.0
ESP,Spain,2021-05-07,28.0
ESP,Spain,2021-05-14,26.0
ESP,Spain,2021-05-21,24.0
ESP,Spain,2021-05-30,24.0
ESP,Spain,2021-06-06,23.0
ESP,Spain,2021-06-11,22.0
ESP,Spain,2021-06-16,20.0
ESP,Spain,2021-06-23,23.0
ESP,Spain,2021-07-02,27.0
ESP,Spain,2021-07-09,23.0
ESP,Spain,2021-07-19,21.0
ESP,Spain,2021-07-22,21.0
ESP,Spain,2021-07-27,22.0
ESP,Spain,2021-08-03,23.0
ESP,Spain,2021-08-10,22.0
ESP,Spain,2021-08-19,20.0
ESP,Spain,2021-08-26,22.0
ESP,Spain,2021-09-02,21.0
ESP,Spain,2021-09-07,20.0
ESP,Spain,2021-09-14,18.0
ESP,Spain,2021-09-23,17.0
FRA,France,2020-03-10,28.0
FRA,France,2020-03-13,30.0
FRA,France,2020-03-20,53.0
FRA,France,2020-03-27,52.0
FRA,France,2020-04-03,44.0
FRA,France,2020-04-10,40.0
FRA,France,2020-04-17,38.0
FRA,France,2020-04-24,32.0
FRA,France,2020-05-01,30.0
FRA,France,2020-05-20,25.0
FRA,France,2020-05-27,24.0
FRA,France,2020-06-04,20.0
FRA,France,2020-06-12,17.0
FRA,France,2020-06-17,21.0
FRA,France,2020-06-24,22.0
FRA,France,2020-07-01,25.0
FRA,France,2020-07-16,26.0
FRA,France,2020-07-22,24.0
FRA,France,2020-07-31,27.0
FRA,France,2020-08-07,24.0
FRA,France,2020-08-12,25.0
FRA,France,2020-09-02,20.0
FRA,France,2020-09-10,19.0
FRA,France,2020-09-22,17.0
FRA,France,2020-09-30,20.0
FRA,France,2020-10-15,18.0
FRA,France,2020-10-22,22.0
FRA,France,2020-10-28,27.0
FRA,France,2020-11-04,24.0
FRA,France,2020-11-18,22.0
FRA,France,2020-11-25,23.0
FRA,France,2020-12-02,22.0
