iso_code,country,date,yougov_support_quarantine_international_flights
AUS,Australia,2020-03-08,59.0
AUS,Australia,2020-03-15,62.0
AUS,Australia,2020-03-22,78.0
AUS,Australia,2020-03-29,84.0
CAN,Canada,2020-03-17,67.0
CAN,Canada,2020-03-23,78.0
CAN,Canada,2020-03-30,82.0
CAN,Canada,2020-04-06,81.0
CAN,Canada,2020-04-13,61.0
DEU,Germany,2020-03-04,32.0
DEU,Germany,2020-03-16,50.0
DEU,Germany,2020-03-23,69.0
DEU,Germany,2020-03-30,63.0
DEU,Germany,2020-04-06,64.0
DEU,Germany,2020-04-13,66.0
DEU,Germany,2020-04-20,65.0
DEU,Germany,2020-04-27,62.0
DEU,Germany,2020-05-04,58.0
DEU,Germany,2020-05-25,44.0
DEU,Germany,2020-06-18,40.0
DEU,Germany,2020-07-02,43.0
ESP,Spain,2020-03-12,43.0
ESP,Spain,2020-03-19,69.0
ESP,Spain,2020-03-25,70.0
ESP,Spain,2020-04-02,66.0
ESP,Spain,2020-04-08,68.0
ESP,Spain,2020-04-16,65.0
ESP,Spain,2020-04-23,66.0
ESP,Spain,2020-04-30,63.0
ESP,Spain,2020-05-20,57.0
ESP,Spain,2020-05-28,45.0
ESP,Spain,2020-06-08,38.0
ESP,Spain,2020-06-12,45.0
ESP,Spain,2020-06-21,38.0
ESP,Spain,2020-06-25,43.0
FRA,France,2020-03-10,44.0
FRA,France,2020-03-13,49.0
FRA,France,2020-03-20,71.0
FRA,France,2020-03-27,74.0
GBR,United Kingdom,2020-03-01,43.0
GBR,United Kingdom,2020-03-13,41.0
GBR,United Kingdom,2020-03-20,63.0
GBR,United Kingdom,2020-03-27,74.0
GBR,United Kingdom,2020-04-14,67.0
GBR,United Kingdom,2020-04-17,67.0
GBR,United Kingdom,2020-04-24,65.0
GBR,United Kingdom,2020-05-01,66.0
GBR,United Kingdom,2020-05-30,60.0
GBR,United Kingdom,2020-06-05,53.0
GBR,United Kingdom,2020-06-16,54.0
GBR,United Kingdom,2020-06-25,54.0
GBR,United Kingdom,2020-07-03,53.0
GBR,United Kingdom,2020-07-12,46.0
HKG,Hong Kong SAR China,2020-02-25,57.0
HKG,Hong Kong SAR China,2020-03-03,57.0
HKG,Hong Kong SAR China,2020-03-10,54.0
HKG,Hong Kong SAR China,2020-03-17,60.0
HKG,Hong Kong SAR China,2020-03-24,66.0
HKG,Hong Kong SAR China,2020-03-31,66.0
IDN,Indonesia,2020-02-24,45.0
IDN,Indonesia,2020-03-02,48.0
IDN,Indonesia,2020-03-09,47.0
IDN,Indonesia,2020-03-16,50.0
IDN,Indonesia,2020-03-23,59.0
IDN,Indonesia,2020-03-30,65.0
IND,India,2020-03-16,55.0
IND,India,2020-03-20,57.0
IND,India,2020-03-27,73.0
IND,India,2020-04-03,73.0
ITA,Italy,2020-03-11,54.0
ITA,Italy,2020-03-19,65.0
ITA,Italy,2020-03-25,64.0
ITA,Italy,2020-04-03,63.0
ITA,Italy,2020-04-09,65.0
ITA,Italy,2020-04-16,60.0
ITA,Italy,2020-04-23,59.0
ITA,Italy,2020-04-30,54.0
ITA,Italy,2020-05-26,42.0
ITA,Italy,2020-06-02,35.0
ITA,Italy,2020-06-10,33.0
ITA,Italy,2020-06-17,34.0
ITA,Italy,2020-06-23,37.0
JPN,Japan,2020-03-17,26.0
JPN,Japan,2020-03-24,35.0
JPN,Japan,2020-03-30,42.0
MEX,Mexico,2020-03-17,55.0
MEX,Mexico,2020-03-23,66.0
MEX,Mexico,2020-03-30,66.0
MEX,Mexico,2020-04-06,69.0
MYS,Malaysia,2020-02-24,52.0
MYS,Malaysia,2020-03-02,59.0
MYS,Malaysia,2020-03-09,60.0
MYS,Malaysia,2020-03-16,68.0
MYS,Malaysia,2020-03-23,75.0
MYS,Malaysia,2020-03-30,75.0
PHL,Philippines,2020-02-24,56.0
PHL,Philippines,2020-03-02,56.0
PHL,Philippines,2020-03-09,57.0
PHL,Philippines,2020-03-16,65.0
PHL,Philippines,2020-03-23,72.0
PHL,Philippines,2020-03-30,72.0
SGP,Singapore,2020-02-21,55.0
SGP,Singapore,2020-02-28,47.0
SGP,Singapore,2020-03-06,52.0
SGP,Singapore,2020-03-13,45.0
SGP,Singapore,2020-03-20,64.0
SGP,Singapore,2020-03-27,65.0
THA,Thailand,2020-02-24,48.0
THA,Thailand,2020-03-02,52.0
THA,Thailand,2020-03-09,58.0
THA,Thailand,2020-03-16,55.0
THA,Thailand,2020-03-23,59.0
THA,Thailand,2020-03-30,67.0
TWN,Taiwan,2020-02-25,41.0
TWN,Taiwan,2020-03-03,51.0
TWN,Taiwan,2020-03-10,49.0
TWN,Taiwan,2020-03-17,46.0
TWN,Taiwan,2020-03-24,52.0
TWN,Taiwan,2020-03-31,49.0
USA,United States,2020-03-02,46.0
USA,United States,2020-03-17,52.0
USA,United States,2020-03-23,58.0
USA,United States,2020-03-30,68.0
USA,United States,2020-04-06,63.0
VNM,Vietnam,2020-03-30,77.0
VNM,Vietnam,2020-04-06,79.0
