iso_code,country,date,yougov_support_stopping_international_flights
AUS,Australia,2020-03-08,49
AUS,Australia,2020-03-15,59
AUS,Australia,2020-03-22,77
AUS,Australia,2020-03-29,80
CAN,Canada,2020-03-17,63
CAN,Canada,2020-03-23,71
CAN,Canada,2020-03-30,76
CAN,Canada,2020-04-06,77
CAN,Canada,2020-04-13,58
DEU,Germany,2020-03-04,29
DEU,Germany,2020-03-16,50
DEU,Germany,2020-03-23,66
DEU,Germany,2020-03-30,60
DEU,Germany,2020-04-06,58
DEU,Germany,2020-04-13,58
DEU,Germany,2020-04-20,55
DEU,Germany,2020-04-27,56
DEU,Germany,2020-05-04,52
DEU,Germany,2020-05-25,38
DEU,Germany,2020-06-18,37
DEU,Germany,2020-07-02,36
ESP,Spain,2020-03-12,47
ESP,Spain,2020-03-19,74
ESP,Spain,2020-03-25,73
ESP,Spain,2020-04-02,72
ESP,Spain,2020-04-08,71
ESP,Spain,2020-04-16,68
ESP,Spain,2020-04-23,69
ESP,Spain,2020-04-30,66
ESP,Spain,2020-05-20,47
ESP,Spain,2020-05-28,41
ESP,Spain,2020-06-08,35
ESP,Spain,2020-06-12,36
ESP,Spain,2020-06-21,36
ESP,Spain,2020-06-25,45
FRA,France,2020-03-10,41
FRA,France,2020-03-13,49
FRA,France,2020-03-20,75
FRA,France,2020-03-27,75
GBR,United Kingdom,2020-03-01,36
GBR,United Kingdom,2020-03-13,41
GBR,United Kingdom,2020-03-20,63
GBR,United Kingdom,2020-03-27,72
GBR,United Kingdom,2020-04-03,71
GBR,United Kingdom,2020-04-14,62
GBR,United Kingdom,2020-04-17,62
GBR,United Kingdom,2020-04-24,57
GBR,United Kingdom,2020-05-01,55
GBR,United Kingdom,2020-05-30,46
GBR,United Kingdom,2020-06-05,41
GBR,United Kingdom,2020-06-16,38
GBR,United Kingdom,2020-06-25,42
GBR,United Kingdom,2020-07-03,44
GBR,United Kingdom,2020-07-12,34
HKG,Hong Kong SAR China,2020-02-25,50
HKG,Hong Kong SAR China,2020-03-03,49
HKG,Hong Kong SAR China,2020-03-10,46
HKG,Hong Kong SAR China,2020-03-17,50
HKG,Hong Kong SAR China,2020-03-24,56
HKG,Hong Kong SAR China,2020-03-31,61
IDN,Indonesia,2020-02-24,48
IDN,Indonesia,2020-03-02,52
IDN,Indonesia,2020-03-09,56
IDN,Indonesia,2020-03-16,64
IDN,Indonesia,2020-03-23,73
IDN,Indonesia,2020-03-30,79
IND,India,2020-03-16,57
IND,India,2020-03-20,63
IND,India,2020-03-27,77
IND,India,2020-04-03,76
ITA,Italy,2020-03-11,53
ITA,Italy,2020-03-19,61
ITA,Italy,2020-03-25,58
ITA,Italy,2020-04-03,56
ITA,Italy,2020-04-09,58
ITA,Italy,2020-04-16,51
ITA,Italy,2020-04-23,49
ITA,Italy,2020-04-30,45
ITA,Italy,2020-05-26,31
ITA,Italy,2020-06-02,23
ITA,Italy,2020-06-10,22
ITA,Italy,2020-06-17,25
ITA,Italy,2020-06-23,28
JPN,Japan,2020-03-17,31
JPN,Japan,2020-03-24,40
JPN,Japan,2020-03-30,45
MEX,Mexico,2020-03-17,60
MEX,Mexico,2020-03-23,69
MEX,Mexico,2020-03-30,68
MEX,Mexico,2020-04-06,70
MYS,Malaysia,2020-02-24,47
MYS,Malaysia,2020-03-02,57
MYS,Malaysia,2020-03-09,63
MYS,Malaysia,2020-03-16,71
MYS,Malaysia,2020-03-23,79
MYS,Malaysia,2020-03-30,78
PHL,Philippines,2020-02-24,53
PHL,Philippines,2020-03-02,50
PHL,Philippines,2020-03-09,46
PHL,Philippines,2020-03-16,61
PHL,Philippines,2020-03-23,71
PHL,Philippines,2020-03-30,75
SGP,Singapore,2020-02-21,47
SGP,Singapore,2020-02-28,37
SGP,Singapore,2020-03-06,46
SGP,Singapore,2020-03-13,38
SGP,Singapore,2020-03-20,56
SGP,Singapore,2020-03-27,63
THA,Thailand,2020-02-24,47
THA,Thailand,2020-03-02,52
THA,Thailand,2020-03-09,53
THA,Thailand,2020-03-16,54
THA,Thailand,2020-03-23,64
THA,Thailand,2020-03-30,73
TWN,Taiwan,2020-02-25,31
TWN,Taiwan,2020-03-03,50
TWN,Taiwan,2020-03-10,45
TWN,Taiwan,2020-03-17,41
TWN,Taiwan,2020-03-24,47
TWN,Taiwan,2020-03-31,46
USA,United States,2020-03-02,42
USA,United States,2020-03-17,54
USA,United States,2020-03-23,60
USA,United States,2020-03-30,66
USA,United States,2020-04-06,64
VNM,Vietnam,2020-03-30,76
VNM,Vietnam,2020-04-06,77
