iso_code,country,date,yougov_support_temporarily_close_schools
AUS,Australia,2020-03-08,26.0
AUS,Australia,2020-03-15,41.0
AUS,Australia,2020-03-22,46.0
AUS,Australia,2020-03-29,67.0
AUS,Australia,2020-04-05,67.0
AUS,Australia,2020-04-12,65.0
AUS,Australia,2020-04-19,59.0
AUS,Australia,2020-04-26,61.0
AUS,Australia,2020-05-03,55.0
AUS,Australia,2020-06-05,41.0
AUS,Australia,2020-06-19,39.0
AUS,Australia,2020-07-03,39.0
AUS,Australia,2020-08-02,45.0
AUS,Australia,2020-08-30,31.0
CAN,Canada,2020-03-17,66.0
CAN,Canada,2020-03-23,81.0
CAN,Canada,2020-03-30,83.0
CAN,Canada,2020-04-06,86.0
CAN,Canada,2020-04-13,79.0
CAN,Canada,2020-04-20,80.0
CAN,Canada,2020-04-27,74.0
CAN,Canada,2020-05-06,69.0
CAN,Canada,2020-05-26,53.0
CAN,Canada,2020-06-11,45.0
CAN,Canada,2020-06-26,37.0
CAN,Canada,2020-07-07,35.0
CAN,Canada,2020-07-21,42.0
CAN,Canada,2020-08-04,38.0
CAN,Canada,2020-08-19,36.0
CAN,Canada,2020-09-01,33.0
CAN,Canada,2020-10-30,35.0
CAN,Canada,2020-11-27,38.0
CAN,Canada,2021-01-27,37.0
CAN,Canada,2021-02-28,31.0
DEU,Germany,2020-03-04,25.0
DEU,Germany,2020-03-16,60.0
DEU,Germany,2020-03-23,78.0
DEU,Germany,2020-03-30,73.0
DEU,Germany,2020-04-06,66.0
DEU,Germany,2020-04-13,61.0
DEU,Germany,2020-04-20,56.0
DEU,Germany,2020-04-27,52.0
DEU,Germany,2020-05-04,46.0
DEU,Germany,2020-05-25,21.0
DEU,Germany,2020-06-18,23.0
DEU,Germany,2020-07-02,16.0
DEU,Germany,2020-07-16,16.0
DEU,Germany,2020-07-30,16.0
DEU,Germany,2020-08-13,15.0
DEU,Germany,2020-08-27,14.0
DEU,Germany,2020-09-10,10.0
DEU,Germany,2020-09-24,13.0
DEU,Germany,2020-10-08,14.0
DEU,Germany,2020-10-22,15.0
DEU,Germany,2020-11-04,21.0
DEU,Germany,2020-11-19,27.0
DEU,Germany,2020-12-04,25.0
DEU,Germany,2020-12-17,50.0
DEU,Germany,2020-12-31,41.0
DEU,Germany,2021-01-18,44.0
DEU,Germany,2021-01-28,43.0
DEU,Germany,2021-02-11,39.0
DEU,Germany,2021-02-26,29.0
DEU,Germany,2021-03-11,23.0
DEU,Germany,2021-03-25,34.0
DEU,Germany,2021-04-08,34.0
DEU,Germany,2021-04-23,37.0
DEU,Germany,2021-05-06,28.0
DEU,Germany,2021-05-20,19.0
DEU,Germany,2021-06-04,17.0
DEU,Germany,2021-06-17,12.0
DEU,Germany,2021-07-01,12.0
ESP,Spain,2020-03-12,52.0
ESP,Spain,2020-03-19,83.0
ESP,Spain,2020-03-25,82.0
ESP,Spain,2020-04-02,81.0
ESP,Spain,2020-04-08,78.0
ESP,Spain,2020-04-16,82.0
ESP,Spain,2020-04-23,76.0
ESP,Spain,2020-04-30,73.0
ESP,Spain,2020-05-20,60.0
ESP,Spain,2020-05-28,54.0
ESP,Spain,2020-06-08,38.0
ESP,Spain,2020-06-12,42.0
ESP,Spain,2020-06-21,35.0
ESP,Spain,2020-06-25,41.0
ESP,Spain,2020-07-09,32.0
ESP,Spain,2020-07-16,36.0
ESP,Spain,2020-07-23,35.0
ESP,Spain,2020-07-30,35.0
ESP,Spain,2020-08-06,36.0
ESP,Spain,2020-08-25,36.0
ESP,Spain,2020-09-04,31.0
ESP,Spain,2020-09-10,26.0
ESP,Spain,2020-09-18,29.0
ESP,Spain,2020-09-23,26.0
ESP,Spain,2020-09-30,23.0
ESP,Spain,2020-10-16,22.0
ESP,Spain,2020-11-04,25.0
ESP,Spain,2020-11-16,24.0
ESP,Spain,2020-11-23,22.0
ESP,Spain,2020-12-02,18.0
ESP,Spain,2020-12-11,16.0
ESP,Spain,2020-12-18,21.0
ESP,Spain,2020-12-23,19.0
ESP,Spain,2021-01-07,28.0
ESP,Spain,2021-01-13,28.0
ESP,Spain,2021-01-20,31.0
ESP,Spain,2021-01-29,37.0
ESP,Spain,2021-02-05,29.0
ESP,Spain,2021-02-17,22.0
ESP,Spain,2021-03-03,18.0
ESP,Spain,2021-03-10,17.0
ESP,Spain,2021-03-18,17.0
ESP,Spain,2021-03-24,16.0
ESP,Spain,2021-04-01,17.0
ESP,Spain,2021-04-14,15.0
ESP,Spain,2021-04-21,15.0
ESP,Spain,2021-05-01,11.0
ESP,Spain,2021-05-07,11.0
ESP,Spain,2021-05-14,10.0
ESP,Spain,2021-05-21,10.0
ESP,Spain,2021-05-30,12.0
ESP,Spain,2021-06-06,11.0
ESP,Spain,2021-06-11,7.0
ESP,Spain,2021-06-16,9.0
ESP,Spain,2021-06-23,9.0
ESP,Spain,2021-07-02,10.0
FRA,France,2020-03-10,26.0
FRA,France,2020-03-13,49.0
FRA,France,2020-03-20,81.0
FRA,France,2020-03-27,80.0
FRA,France,2020-04-03,76.0
FRA,France,2020-04-10,70.0
FRA,France,2020-04-17,67.0
FRA,France,2020-04-24,57.0
FRA,France,2020-05-01,61.0
FRA,France,2020-05-20,41.0
FRA,France,2020-05-27,37.0
FRA,France,2020-06-04,26.0
FRA,France,2020-06-12,19.0
FRA,France,2020-06-17,23.0
FRA,France,2020-06-24,25.0
FRA,France,2020-07-01,21.0
FRA,France,2020-07-16,18.0
FRA,France,2020-07-22,15.0
FRA,France,2020-07-31,15.0
FRA,France,2020-08-07,14.0
FRA,France,2020-08-12,12.0
FRA,France,2020-09-02,11.0
FRA,France,2020-09-10,13.0
FRA,France,2020-09-22,10.0
FRA,France,2020-09-30,16.0
FRA,France,2020-10-15,12.0
FRA,France,2020-10-22,14.0
FRA,France,2020-10-28,23.0
FRA,France,2020-11-04,33.0
FRA,France,2020-11-18,24.0
FRA,France,2020-11-25,17.0
FRA,France,2020-12-02,13.0
FRA,France,2020-12-09,17.0
