iso_code,country,date,yougov_support_work_from_home
AUS,Australia,2020-03-08,54.0
AUS,Australia,2020-03-15,64.0
AUS,Australia,2020-03-22,77.0
AUS,Australia,2020-03-29,81.0
AUS,Australia,2020-04-05,82.0
AUS,Australia,2020-04-12,82.0
AUS,Australia,2020-04-19,82.0
AUS,Australia,2020-04-26,83.0
AUS,Australia,2020-05-03,74.0
AUS,Australia,2020-06-05,71.0
AUS,Australia,2020-06-19,72.0
AUS,Australia,2020-07-03,69.0
AUS,Australia,2020-08-02,73.0
AUS,Australia,2020-08-30,63.0
AUS,Australia,2021-07-19,60.0
AUS,Australia,2021-08-16,56.0
CAN,Canada,2020-03-17,75.0
CAN,Canada,2020-03-23,81.0
CAN,Canada,2020-03-30,84.0
CAN,Canada,2020-04-06,83.0
CAN,Canada,2020-04-13,81.0
CAN,Canada,2020-04-20,80.0
CAN,Canada,2020-04-27,78.0
CAN,Canada,2020-05-06,76.0
CAN,Canada,2020-05-26,59.0
CAN,Canada,2020-06-11,60.0
CAN,Canada,2020-06-26,56.0
CAN,Canada,2020-07-07,61.0
CAN,Canada,2020-07-21,60.0
CAN,Canada,2020-08-04,62.0
CAN,Canada,2020-08-19,56.0
CAN,Canada,2020-09-01,57.0
CAN,Canada,2020-10-30,57.0
CAN,Canada,2020-11-27,64.0
CAN,Canada,2021-01-27,60.0
CAN,Canada,2021-02-28,57.0
DEU,Germany,2020-03-04,39.0
DEU,Germany,2020-03-16,63.0
DEU,Germany,2020-03-23,75.0
DEU,Germany,2020-03-30,72.0
DEU,Germany,2020-04-06,69.0
DEU,Germany,2020-04-13,68.0
DEU,Germany,2020-04-20,65.0
DEU,Germany,2020-04-27,65.0
DEU,Germany,2020-05-04,63.0
DEU,Germany,2020-05-25,49.0
DEU,Germany,2020-06-18,47.0
DEU,Germany,2020-07-02,47.0
DEU,Germany,2020-07-16,48.0
DEU,Germany,2020-07-30,48.0
DEU,Germany,2020-08-13,50.0
DEU,Germany,2020-08-27,48.0
DEU,Germany,2020-09-10,48.0
DEU,Germany,2020-09-24,51.0
DEU,Germany,2020-10-08,54.0
DEU,Germany,2020-10-22,54.0
DEU,Germany,2020-11-04,58.0
DEU,Germany,2020-11-19,53.0
DEU,Germany,2020-12-04,54.0
DEU,Germany,2020-12-17,62.0
DEU,Germany,2020-12-31,55.0
DEU,Germany,2021-01-18,62.0
DEU,Germany,2021-01-28,62.0
DEU,Germany,2021-02-11,62.0
