iso_code,country,date,yougov_wearing_mask_in_public
ARE,United Arab Emirates,2020-03-18,39.0
ARE,United Arab Emirates,2020-03-25,44.0
ARE,United Arab Emirates,2020-04-01,63.0
ARE,United Arab Emirates,2020-04-07,54.0
ARE,United Arab Emirates,2020-04-14,79.0
ARE,United Arab Emirates,2020-04-22,80.0
ARE,United Arab Emirates,2020-04-29,78.0
ARE,United Arab Emirates,2020-05-04,80.0
ARE,United Arab Emirates,2020-06-03,81.0
ARE,United Arab Emirates,2020-06-10,79.0
ARE,United Arab Emirates,2020-06-17,80.0
ARE,United Arab Emirates,2020-07-05,79.0
ARE,United Arab Emirates,2020-07-13,81.0
ARE,United Arab Emirates,2020-07-21,80.0
ARE,United Arab Emirates,2020-07-29,79.0
ARE,United Arab Emirates,2020-08-11,77.0
ARE,United Arab Emirates,2020-08-24,75.0
ARE,United Arab Emirates,2020-09-30,76.0
ARE,United Arab Emirates,2020-10-07,78.0
ARE,United Arab Emirates,2020-10-14,77.0
ARE,United Arab Emirates,2020-11-02,76.0
ARE,United Arab Emirates,2020-11-11,76.0
ARE,United Arab Emirates,2020-11-30,78.0
ARE,United Arab Emirates,2020-12-16,79.0
ARE,United Arab Emirates,2020-12-23,75.0
ARE,United Arab Emirates,2020-12-29,77.0
ARE,United Arab Emirates,2021-01-05,78.0
ARE,United Arab Emirates,2021-01-13,74.0
ARE,United Arab Emirates,2021-02-01,73.0
ARE,United Arab Emirates,2021-02-14,74.0
ARE,United Arab Emirates,2021-03-16,74.0
ARE,United Arab Emirates,2021-04-21,75.0
ARE,United Arab Emirates,2021-04-27,75.0
ARE,United Arab Emirates,2021-05-17,68.0
ARE,United Arab Emirates,2021-05-24,74.0
ARE,United Arab Emirates,2021-05-31,71.0
ARE,United Arab Emirates,2021-06-15,70.0
ARE,United Arab Emirates,2021-07-13,69.0
AUS,Australia,2020-03-15,10.0
AUS,Australia,2020-03-22,13.0
AUS,Australia,2020-03-29,20.0
AUS,Australia,2020-04-05,23.0
AUS,Australia,2020-04-12,26.0
AUS,Australia,2020-04-19,27.0
